dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,37.728069,25.786348,0.000058,0.005786,0.289309,14.465436,5.800285
0.020000,37.728035,25.786366,0.000096,0.001915,-0.193565,-24.143678,5.800323
0.020000,37.727959,25.786406,0.000182,0.004308,0.119677,15.662084,5.800409
0.020000,37.727823,25.786477,0.000336,0.007659,0.167539,2.393116,5.800560
0.020000,37.727611,25.786588,0.000575,0.011967,0.215389,2.392468,5.800797
0.020000,37.727306,25.786748,0.000919,0.017231,0.263217,2.391400,5.801138
0.020000,37.727327,25.786737,0.000943,0.001181,-0.802539,-53.287771,5.801602
0.020000,37.730066,25.785307,0.004034,0.154541,7.668026,423.528231,5.802209
0.020000,37.733535,25.783498,0.007945,0.195558,2.050870,-280.857786,5.802976
0.020000,37.737818,25.781270,0.012774,0.241428,2.293476,12.130279,5.803924
0.020000,37.743004,25.778579,0.018616,0.292130,2.535089,12.080676,5.805071
0.020000,37.749179,25.775384,0.025569,0.347632,2.775135,12.002315,5.806436
0.020000,37.756432,25.771645,0.033729,0.407984,3.017589,12.122668,5.808038
0.020000,37.764850,25.767324,0.043191,0.473130,3.257311,11.986108,5.809897
0.020000,37.774524,25.762383,0.054053,0.543107,3.498829,12.075919,5.812032
0.020000,37.785542,25.756787,0.066411,0.617894,3.739360,12.026539,5.814461
0.020000,37.797953,25.750524,0.080313,0.695090,3.859788,6.021409,5.817195
0.020000,37.811762,25.743606,0.095758,0.772263,3.858651,-0.056879,5.820233
0.020000,37.826976,25.736044,0.112748,0.849467,3.860211,0.078020,5.823577
0.020000,37.843600,25.727853,0.131280,0.926637,3.858476,-0.086737,5.827225
0.020000,37.861643,25.719049,0.151356,1.003805,3.858436,-0.001993,5.831178
0.020000,37.881112,25.709647,0.172977,1.081012,3.860306,0.093465,5.835436
0.020000,37.902015,25.699666,0.196140,1.158191,3.858975,-0.066534,5.839998
0.020000,37.924362,25.689125,0.220849,1.235427,3.861801,0.141302,5.844864
0.020000,37.948163,25.678044,0.247103,1.312702,3.863740,0.096961,5.850033
0.020000,37.973427,25.666444,0.274903,1.390002,3.864988,0.062406,5.855504
0.020000,38.000166,25.654349,0.304251,1.467370,3.868439,0.172536,5.861276
0.020000,38.028392,25.641782,0.335147,1.544816,3.872281,0.192101,5.867348
0.020000,38.058115,25.628770,0.367594,1.622360,3.877194,0.245659,5.873718
0.020000,38.089350,25.615338,0.401594,1.700016,3.882784,0.279490,5.880382
0.020000,38.122109,25.601513,0.437151,1.777822,3.890299,0.375756,5.887340
0.020000,38.156406,25.587326,0.474267,1.855791,3.898443,0.407172,5.894586
0.020000,38.192256,25.572806,0.512946,1.933961,3.908508,0.503239,5.902118
0.020000,38.229674,25.557984,0.553193,2.012338,3.918859,0.517578,5.909931
0.020000,38.268676,25.542892,0.595012,2.090986,3.932391,0.676614,5.918019
0.020000,38.309277,25.527564,0.638411,2.169915,3.946467,0.703783,5.926378
0.020000,38.351495,25.512034,0.683394,2.249177,3.963122,0.832745,5.935000
0.020000,38.395347,25.496337,0.729971,2.328821,3.982185,0.953140,5.943878
0.020000,38.440850,25.480510,0.778148,2.408866,4.002224,1.001977,5.953004
0.020000,38.488023,25.464589,0.827935,2.489364,4.024894,1.133498,5.962370
0.020000,38.536885,25.448613,0.879343,2.570377,4.050684,1.289469,5.971964
0.020000,38.587455,25.432619,0.932381,2.651923,4.077299,1.330756,5.981777
