dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,37.258883,24.891471,0.000058,0.005800,0.289978,14.498899,5.799968
0.020000,37.258883,24.891471,0.000290,0.017399,0.579956,14.498899,5.800003
0.020000,37.258883,24.891471,0.000812,0.034797,0.869934,14.498899,5.800082
0.020000,37.258883,24.891471,0.001740,0.057996,1.159912,14.498899,5.800222
0.020000,37.258883,24.891471,0.003190,0.086993,1.449890,14.498899,5.800442
0.020000,37.258883,24.891471,0.005278,0.121791,1.739868,14.498899,5.800758
0.020000,37.258883,24.891471,0.008119,0.162388,2.029846,14.498899,5.801189
0.020000,37.260223,24.890770,0.011831,0.208784,2.319824,14.498899,5.801751
0.020000,37.264388,24.888596,0.016529,0.260980,2.609802,14.498899,5.802463
0.020000,37.269531,24.885917,0.022328,0.318976,2.899780,14.498899,5.803341
0.020000,37.275758,24.882681,0.029346,0.382771,3.189758,14.498899,5.804406
0.020000,37.283173,24.878838,0.037697,0.452366,3.479736,14.498899,5.805673
0.020000,37.291881,24.874340,0.047498,0.527760,3.769714,14.498899,5.807161
0.020000,37.301989,24.869140,0.058866,0.608954,4.059692,14.498899,5.808889
0.020000,37.313603,24.863192,0.071915,0.695947,4.349670,14.498899,5.810874
0.020000,37.326833,24.856452,0.086761,0.788740,4.639648,14.498899,5.813135
0.020000,37.341733,24.848906,0.103464,0.881533,4.639648,0.000000,5.815682
0.020000,37.358312,24.840566,0.122023,0.974326,4.639648,-0.000000,5.818515
0.020000,37.376576,24.831446,0.142437,1.067119,4.639648,0.000000,5.821636
0.020000,37.396533,24.821562,0.164707,1.159912,4.639648,0.000000,5.825046
0.020000,37.418191,24.810931,0.188834,1.252705,4.639648,0.000000,5.828746
0.020000,37.441558,24.799573,0.214816,1.345498,4.639648,0.000000,5.832737
0.020000,37.466646,24.787507,0.242654,1.438291,4.639648,0.000000,5.837021
0.020000,37.493462,24.774755,0.272347,1.531084,4.639648,-0.000000,5.841598
0.020000,37.522018,24.761341,0.303897,1.623877,4.639648,0.000000,5.846469
0.020000,37.552324,24.747290,0.337302,1.716670,4.639648,0.000000,5.851636
0.020000,37.584393,24.732629,0.372564,1.809463,4.639648,0.000000,5.857099
0.020000,37.618236,24.717385,0.409681,1.902256,4.639648,0.000000,5.862859
0.020000,37.653864,24.701590,0.448654,1.995048,4.639648,0.000000,5.868917
0.020000,37.691291,24.685274,0.489483,2.087841,4.639648,0.000000,5.875273
0.020000,37.730530,24.668472,0.532168,2.180634,4.639648,-0.000000,5.881927
0.020000,37.771592,24.651218,0.576708,2.273427,4.639648,0.000000,5.888878
0.020000,37.814493,24.633549,0.623105,2.366220,4.639648,-0.000000,5.896127
0.020000,37.859244,24.615504,0.671357,2.459013,4.639648,0.000000,5.903671
0.020000,37.905859,24.597123,0.721465,2.551806,4.639648,-0.000000,5.911511
0.020000,37.954351,24.578449,0.773429,2.644599,4.639648,0.000000,5.919643
0.020000,38.004734,24.559523,0.827249,2.737392,4.639648,0.000000,5.928065
0.020000,38.057019,24.540392,0.882925,2.830185,4.639648,-0.000000,5.936774
0.020000,38.111220,24.521102,0.940457,2.922978,4.639648,0.000000,5.945766
0.020000,38.167349,24.501702,0.999844,3.015771,4.639648,-0.000000,5.955036
0.020000,38.225418,24.482240,1.061087,3.108564,4.639648,0.000000,5.964580
0.020000,38.285437,24.462770,1.124187,3.201357,4.639648,-0.000000,5.974391
0.020000,38.347419,24.443341,1.189142,3.294150,4.639648,0.000000,5.984463
0.020000,38.411371,24.424009,1.255953,3.386943,4.639648,-0.000000,5.994786
0.020000,38.477304,24.404827,1.324619,3.479736,4.639648,0.000000,6.005352
0.020000,38.545226,24.385852,1.395142,3.572529,4.639648,0.000000,6.016151
0.020000,38.615143,24.367139,1.467521,3.665322,4.639648,-0.000000,6.027172
0.020000,38.687062,24.348745,1.541755,3.758115,4.639648,0.000000,6.038403
0.020000,38.760988,24.330727,1.617845,3.850907,4.639648,-0.000000,6.049831
0.020000,38.836924,24.313144,1.695791,3.943700,4.639648,0.000000,6.061441
0.020000,38.914874,24.296053,1.775593,4.036493,4.639648,0.000000,6.073217
0.020000,38.994838,24.279510,1.857251,4.129286,4.639648,-0.000000,6.085144
0.020000,39.076816,24.263574,1.940765,4.222079,4.639648,0.000000,6.097202
0.020000,39.160808,24.248300,2.026134,4.314872,4.639648,0.000000,6.109375
0.020000,39.246810,24.233745,2.113359,4.407665,4.639648,0.000000,6.121642
0.020000,39.334817,24.219961,2.202441,4.500458,4.639648,0.000000,6.133981
0.020000,39.424826,24.207002,2.293378,4.593251,4.639648,-0.000000,6.146373
0.020000,39.516828,24.194919,2.386171,4.686044,4.639648,0.000000,6.158793
0.020000,39.610816,24.183762,2.480820,4.778837,4.639648,0.000000,6.171220
0.020000,39.706781,24.173577,2.577324,4.871630,4.639648,0.000000,6.183630
0.020000,39.804713,24.164408,2.675685,4.964423,4.639648,0.000000,6.195997
0.020000,39.904600,24.156299,2.775901,5.057216,4.639648,-0.000000,6.208299
0.020000,40.006431,24.149286,2.877973,5.150009,4.639648,0.000000,6.220508
0.020000,40.110192,24.143407,2.981901,5.242802,4.639648,0.000000,6.232601
0.020000,40.215812,24.138695,3.087627,5.329795,4.349670,-14.498899,6.244545
0.020000,40.323162,24.135180,3.195035,5.410989,4.059692,-14.498899,6.256304
0.020000,40.432110,24.132883,3.304009,5.486383,3.769714,-14.498899,6.267841
0.020000,40.542528,24.131816,3.414433,5.555978,3.479736,-14.498899,6.279123
0.020000,40.654285,24.131980,3.526190,5.619773,3.189758,-14.498899,0.006935
0.020000,40.767251,24.133371,3.639166,5.677769,2.899780,-14.498899,0.017616
0.020000,40.881298,24.135975,3.753243,5.729965,2.609802,-14.498899,0.027956
0.020000,40.996299,24.139769,3.868306,5.776361,2.319824,-14.498899,0.037930
0.020000,41.112125,24.144725,3.984239,5.816958,2.029846,-14.498899,0.047517
0.020000,41.228654,24.150807,4.100926,5.851756,1.739868,-14.498899,0.056697
0.020000,41.345759,24.157973,4.218252,5.880753,1.449890,-14.498899,0.065453
0.020000,41.463320,24.166174,4.336099,5.903952,1.159912,-14.498899,0.073772
0.020000,41.581216,24.175359,4.454352,5.921350,0.869934,-14.498899,0.081640
0.020000,41.699327,24.185468,4.572895,5.932949,0.579956,-14.498899,0.089048
0.020000,41.817535,24.196441,4.691612,5.938749,0.289978,-14.498899,0.095990
0.020000,41.935676,24.208206,4.810337,5.933823,-0.246278,-26.812785,0.102455
0.020000,42.053586,24.220690,4.928907,5.923098,-0.536256,-14.498899,0.108440
0.020000,42.171152,24.233822,5.047203,5.906574,-0.826234,-14.498899,0.113944
0.020000,42.288261,24.247526,5.165112,5.884249,-1.116212,-14.498899,0.118968
0.020000,42.404802,24.261730,5.282515,5.856126,-1.406190,-14.498899,0.123514
0.020000,42.520665,24.276358,5.399299,5.822202,-1.696168,-14.498899,0.127589
0.020000,42.635742,24.291336,5.515345,5.782479,-1.986146,-14.498899,0.131197
0.020000,42.749921,24.306590,5.630540,5.736957,-2.276124,-14.498899,0.134347
0.020000,42.863097,24.322046,5.744766,5.685635,-2.566102,-14.498899,0.137047
0.020000,42.975159,24.337634,5.857907,5.628513,-2.856079,-14.498899,0.139309
0.020000,43.086001,24.353283,5.969848,5.565592,-3.146057,-14.498899,0.141142
0.020000,43.195514,24.368927,6.080473,5.496871,-3.436035,-14.498899,0.142561
0.020000,43.303590,24.384499,6.189665,5.422351,-3.726013,-14.498899,0.143578
0.020000,43.410121,24.399938,6.297309,5.342031,-4.015991,-14.498899,0.144210
