dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,36.789412,23.996742,0.000058,0.005800,0.289978,14.498899,5.799968
0.020000,36.789443,23.996726,0.000093,0.001775,-0.201237,-24.560738,5.800003
0.020000,36.789514,23.996689,0.000173,0.003993,0.110927,15.608198,5.800082
0.020000,36.789640,23.996623,0.000315,0.007099,0.155300,2.218638,5.800222
0.020000,36.789836,23.996520,0.000537,0.011093,0.199676,2.218781,5.800442
0.020000,36.790119,23.996372,0.000857,0.015974,0.244056,2.219010,5.800758
0.020000,36.790505,23.996170,0.001292,0.021743,0.288442,2.219337,5.801189
0.020000,36.792349,23.995206,0.003373,0.104049,4.115319,191.343833,5.801751
0.020000,36.797151,23.992699,0.008790,0.270863,8.340708,211.269426,5.802463
0.020000,36.803082,23.989610,0.015477,0.334362,3.174946,-258.288068,5.803341
0.020000,36.810263,23.985877,0.023570,0.404634,3.513579,16.931617,5.804406
0.020000,36.818815,23.981445,0.033202,0.481611,3.848873,16.764724,5.805673
0.020000,36.828859,23.976257,0.044507,0.565257,4.182280,16.670325,5.807161
0.020000,36.840519,23.970259,0.057620,0.655627,4.518505,16.811268,5.808889
0.020000,36.853918,23.963397,0.072674,0.752696,4.853446,16.747055,5.810874
0.020000,36.869184,23.955619,0.089806,0.856623,5.196377,17.146532,5.813135
0.020000,36.886379,23.946911,0.109081,0.963755,5.356600,8.011148,5.815682
0.020000,36.905516,23.937284,0.130503,1.071087,5.366559,0.497958,5.818515
0.020000,36.926602,23.926756,0.154071,1.178404,5.365866,-0.034644,5.821636
0.020000,36.949646,23.915343,0.179786,1.285774,5.368505,0.131966,5.825046
0.020000,36.974661,23.903065,0.207652,1.393275,5.375045,0.326971,5.828746
0.020000,37.001654,23.889944,0.237666,1.500690,5.370752,-0.214631,5.832737
0.020000,37.030642,23.876001,0.269832,1.608332,5.382109,0.567831,5.837021
0.020000,37.061635,23.861264,0.304151,1.715917,5.379258,-0.142556,5.841598
0.020000,37.094646,23.845757,0.340622,1.823574,5.382816,0.177898,5.846469
0.020000,37.129688,23.829510,0.379248,1.931280,5.385329,0.125671,5.851636
0.020000,37.166778,23.812553,0.420030,2.039104,5.391189,0.292977,5.857099
0.020000,37.205927,23.794919,0.462967,2.146859,5.387759,-0.171492,5.862859
0.020000,37.247151,23.776643,0.508061,2.254685,5.391271,0.175618,5.868917
0.020000,37.290465,23.757761,0.555312,2.362550,5.393251,0.098976,5.875273
0.020000,37.335884,23.738312,0.604720,2.470398,5.392401,-0.042485,5.881927
0.020000,37.383422,23.718338,0.656283,2.578176,5.388902,-0.174938,5.888878
0.020000,37.433095,23.697880,0.710004,2.686057,5.394055,0.257658,5.896127
0.020000,37.484916,23.676984,0.765880,2.793776,5.385946,-0.405444,5.903671
0.020000,37.538900,23.655698,0.823909,2.901444,5.383411,-0.126764,5.911511
0.020000,37.595059,23.634070,0.884089,3.008997,5.377650,-0.288049,5.919643
0.020000,37.653408,23.612151,0.946419,3.116502,5.375254,-0.119786,5.928065
0.020000,37.713957,23.589997,1.010894,3.223743,5.362049,-0.660292,5.936774
0.020000,37.776718,23.567661,1.077511,3.330848,5.355268,-0.339024,5.945766
0.020000,37.841701,23.545200,1.146265,3.437739,5.344518,-0.537504,5.955036
0.020000,37.908913,23.522675,1.217152,3.544338,5.329968,-0.727496,5.964580
0.020000,37.978362,23.500145,1.290164,3.650580,5.312076,-0.894612,5.974391
0.020000,38.050054,23.477673,1.365295,3.756556,5.298831,-0.662266,5.984463
0.020000,38.123991,23.455322,1.442536,3.862064,5.275375,-1.172793,5.994786
0.020000,38.200174,23.433158,1.521878,3.967120,5.252807,-1.128392,6.005352
0.020000,38.278605,23.411246,1.603313,4.071711,5.229535,-1.163569,6.016151
0.020000,38.359279,23.389654,1.686826,4.175690,5.198971,-1.528198,6.027172
0.020000,38.442193,23.368448,1.772409,4.279104,5.170721,-1.412499,6.038403
0.020000,38.527337,23.347697,1.860045,4.381813,5.135445,-1.763843,6.049831
0.020000,38.614701,23.327467,1.949721,4.483798,5.099259,-1.809302,6.061441
0.020000,38.704274,23.307827,2.041422,4.585039,5.062047,-1.860590,6.073217
0.020000,38.796039,23.288844,2.135129,4.685390,5.017514,-2.226628,6.085144
0.020000,38.889978,23.270582,2.230827,4.784873,4.974188,-2.166328,6.097202
0.020000,38.986070,23.253108,2.328495,4.883417,4.927186,-2.350092,6.109375
0.020000,39.084292,23.236483,2.428114,4.980954,4.876822,-2.518202,6.121642
0.020000,39.184618,23.220770,2.529663,5.077436,4.824096,-2.636275,6.133981
0.020000,39.287019,23.206027,2.633120,5.172846,4.770540,-2.677839,6.146373
0.020000,39.391464,23.192310,2.738462,5.267119,4.713630,-2.845489,6.158793
0.020000,39.497921,23.179672,2.845667,5.360222,4.655154,-2.923789,6.171220
0.020000,39.606355,23.168163,2.954709,5.452136,4.595687,-2.973364,6.183630
0.020000,39.716729,23.157830,3.065566,5.542807,4.533584,-3.105127,6.195997
0.020000,39.829004,23.148714,3.178210,5.632245,4.471890,-3.084706,6.208299
0.020000,39.943142,23.140854,3.292619,5.720414,4.408444,-3.172302,6.220508
0.020000,40.059102,23.134283,3.408765,5.807310,4.344783,-3.183071,6.232601
0.020000,40.176779,23.129033,3.526559,5.889697,4.119353,-11.271491,6.244545
0.020000,40.296003,23.125129,3.645847,5.964403,3.735294,-19.202929,6.256304
0.020000,40.416607,23.122586,3.766477,6.031520,3.355871,-18.971146,6.267841
0.020000,40.538424,23.121407,3.888300,6.091149,2.981434,-18.721864,6.279123
0.020000,40.661292,23.121588,4.011168,6.143397,2.612404,-18.451516,0.006935
0.020000,40.785050,23.123111,4.134936,6.188380,2.249173,-18.161544,0.017616
0.020000,40.909542,23.125953,4.259460,6.226221,1.892030,-17.857156,0.027956
0.020000,41.034615,23.130079,4.384601,6.257041,1.541022,-17.550403,0.037930
0.020000,41.160119,23.135449,4.510220,6.280960,1.195912,-17.255503,0.047517
0.020000,41.285910,23.142014,4.636183,6.298112,0.857633,-16.913936,0.056697
0.020000,41.411847,23.149719,4.762355,6.308613,0.525046,-16.629329,0.065453
0.020000,41.537793,23.158506,4.888606,6.312585,0.198587,-16.322978,0.073772
0.020000,41.663614,23.168307,5.014810,6.310153,-0.121608,-16.009757,0.081640
0.020000,41.789184,23.179055,5.140838,6.301426,-0.436342,-15.736662,0.089048
0.020000,41.914376,23.190675,5.266568,6.286510,-0.745800,-15.472924,0.095990
0.020000,42.039018,23.203088,5.391827,6.262926,-1.179205,-21.670223,0.102455
0.020000,42.162941,23.216209,5.516443,6.230813,-1.605645,-21.321999,0.108440
0.020000,42.286034,23.229957,5.640301,6.192878,-1.896741,-14.554809,0.113944
0.020000,42.408184,23.244251,5.763285,6.149203,-2.183752,-14.350573,0.118968
0.020000,42.529286,23.259011,5.885282,6.099890,-2.465641,-14.094425,0.123514
0.020000,42.649234,23.274154,6.006183,6.045008,-2.744122,-13.924061,0.127589
0.020000,42.767925,23.289603,6.125875,5.984638,-3.018500,-13.718881,0.131197
0.020000,42.885260,23.305278,6.244252,5.918850,-3.289387,-13.544346,0.134347
0.020000,43.001139,23.321104,6.361207,5.847719,-3.556534,-13.357355,0.137047
0.020000,43.115464,23.337006,6.476633,5.771308,-3.820572,-13.201894,0.139309
0.020000,43.228140,23.352914,6.590427,5.689681,-4.081359,-13.039376,0.141142
0.020000,43.339072,23.368760,6.702485,5.602900,-4.339031,-12.883618,0.142561
0.020000,43.448166,23.384479,6.812705,5.511026,-4.593723,-12.734605,0.143578
0.020000,43.555329,23.400010,6.920987,5.414113,-4.845612,-12.594446,0.144210
0.020000,43.660468,23.415295,7.027232,5.312220,-5.094657,-12.452240,0.144472
0.020000,43.763492,23.430282,7.131340,5.205400,-5.341031,-12.318674,0.144382
0.020000,43.864357,23.444928,7.233263,5.096153,-5.462347,-6.065808,0.143958
0.020000,43.963077,23.459204,7.333010,4.987372,-5.439027,1.166003,0.143217
0.020000,44.059675,23.473085,7.430600,4.879472,-5.395031,2.199791,0.142177
0.020000,44.154169,23.486550,7.526048,4.772428,-5.352186,2.142254,0.140855
0.020000,44.246579,23.499581,7.619373,4.666221,-5.310327,2.092964,0.139267
0.020000,44.336924,23.512162,7.710589,4.560834,-5.269378,2.047453,0.137431
0.020000,44.425221,23.524283,7.799714,4.456246,-5.229388,1.999495,0.135360
0.020000,44.511486,23.535933,7.886763,4.352439,-5.190351,1.951813,0.133072
0.020000,44.595737,23.547106,7.971751,4.249404,-5.151752,1.929983,0.130581
0.020000,44.677987,23.557798,8.054693,4.147117,-5.114339,1.870626,0.127902
0.020000,44.758252,23.568005,8.135605,4.045570,-5.077337,1.850121,0.125050
0.020000,44.836545,23.577729,8.214500,3.944748,-5.041119,1.810879,0.122039
0.020000,44.912881,23.586971,8.291392,3.844635,-5.005662,1.772871,0.118883
0.020000,44.987271,23.595734,8.366297,3.745228,-4.970347,1.765756,0.115596
0.020000,45.059728,23.604023,8.439227,3.646500,-4.936380,1.698346,0.112191
0.020000,45.130265,23.611846,8.510196,3.548449,-4.902572,1.690395,0.108683
0.020000,45.198892,23.619210,8.579217,3.451059,-4.869477,1.654755,0.105083
0.020000,45.265621,23.626125,8.646304,3.354318,-4.837084,1.619652,0.101406
0.020000,45.330463,23.632602,8.711468,3.258220,-4.804856,1.611391,0.097663
0.020000,45.393428,23.638651,8.774723,3.162741,-4.773968,1.544374,0.093867
0.020000,45.454526,23.644285,8.836080,3.067876,-4.743247,1.536087,0.090029
0.020000,45.513768,23.649519,8.895553,2.973611,-4.713264,1.499129,0.086163
0.020000,45.571162,23.654364,8.953151,2.879929,-4.684098,1.458301,0.082279
0.020000,45.626719,23.658838,9.008888,2.786828,-4.655050,1.452420,0.078389
0.020000,45.680447,23.662954,9.062773,2.694277,-4.627563,1.374342,0.074504
0.020000,45.732355,23.666728,9.114819,2.602273,-4.600167,1.369808,0.070634
0.020000,45.782453,23.670176,9.165035,2.510800,-4.573662,1.325217,0.066791
0.020000,45.830748,23.673315,9.213431,2.419839,-4.548058,1.280243,0.062983
0.020000,45.877248,23.676160,9.260019,2.329381,-4.522904,1.257660,0.059222
0.020000,45.921963,23.678728,9.304807,2.239402,-4.498965,1.196988,0.055517
0.020000,45.964898,23.681036,9.347805,2.149893,-4.475438,1.176352,0.051877
0.020000,46.006063,23.683100,9.389022,2.060835,-4.452883,1.127707,0.048310
0.020000,46.045465,23.684937,9.428466,1.972209,-4.431298,1.079292,0.044826
0.020000,46.083110,23.686561,9.466146,1.883999,-4.410487,1.040534,0.041433
0.020000,46.119005,23.687991,9.502070,1.796191,-4.390447,1.002007,0.038138
0.020000,46.153158,23.689239,9.536245,1.708765,-4.371286,0.958021,0.034950
0.020000,46.185574,23.690323,9.568679,1.621701,-4.353171,0.905787,0.031875
0.020000,46.216259,23.691256,9.599379,1.534987,-4.335726,0.872241,0.028921
0.020000,46.245220,23.692053,9.628351,1.448595,-4.319578,0.807410,0.026093
0.020000,46.272462,23.692727,9.655601,1.362521,-4.303739,0.791933,0.023398
0.020000,46.297991,23.693292,9.681136,1.276733,-4.289359,0.718984,0.020841
0.020000,46.321810,23.693760,9.704960,1.191220,-4.275646,0.685639,0.018429
0.020000,46.343926,23.694143,9.727079,1.105965,-4.262790,0.642825,0.016166
0.020000,46.364343,23.694451,9.747498,1.020945,-4.250990,0.589984,0.014057
0.020000,46.383064,23.694696,9.766221,0.936145,-4.240011,0.548973,0.012106
0.020000,46.400094,23.694887,9.783252,0.851544,-4.230021,0.499512,0.010318
0.020000,46.415436,23.695033,9.798595,0.767127,-4.220883,0.456877,0.008695
0.020000,46.429093,23.695142,9.812252,0.682872,-4.212706,0.408873,0.007241
0.020000,46.441112,23.695221,9.824272,0.600989,-4.094158,5.927385,0.005954
0.020000,46.451594,23.695278,9.834753,0.524064,-3.846282,12.393793,0.004826
0.020000,46.460643,23.695317,9.843803,0.452470,-3.579705,13.328847,0.003849
0.020000,46.468366,23.695343,9.851526,0.386184,-3.314258,13.272340,0.003011
0.020000,46.474870,23.695361,9.858030,0.325189,-3.049782,13.223819,0.002304
0.020000,46.480260,23.695372,9.863419,0.269466,-2.786120,13.183108,0.001716
0.020000,46.484640,23.695378,9.867799,0.219007,-2.522988,13.156569,0.001238
0.020000,46.488116,23.695382,9.871275,0.173794,-2.260613,13.118784,0.000857
0.020000,46.490792,23.695384,9.873952,0.133826,-1.998425,13.109387,0.000564
0.020000,46.492774,23.695384,9.875934,0.099090,-1.736816,13.080464,0.000346
0.020000,46.494166,23.695385,9.877325,0.069583,-1.475337,13.073911,0.000194
0.020000,46.495072,23.695385,9.878231,0.045302,-1.214057,13.064039,0.000094
0.020000,46.495596,23.695385,9.878756,0.026243,-0.952910,13.057325,0.000036
0.020000,46.495845,23.695385,9.879004,0.012407,-0.691847,13.053151,0.000009
0.020000,46.495920,23.695385,9.879080,0.003790,-0.430829,13.050901,0.000001
0.020000,46.495928,23.695385,9.879088,0.000393,-0.169830,13.049963,6.283185
0.020000,46.495928,23.695385,9.879088,0.000000,-0.019666,7.508184,6.283185
