dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.322369,7.022208,0.000058,0.005801,0.290037,14.501857,1.569408
0.020000,11.322369,7.022168,0.000098,0.001996,-0.190234,-24.013540,1.569447
0.020000,11.322369,7.022078,0.000188,0.004492,0.124784,15.750895,1.569536
0.020000,11.322369,7.021918,0.000348,0.007987,0.174782,2.499865,1.569694
0.020000,11.322368,7.021668,0.000597,0.012486,0.224907,2.506283,1.569942
0.020000,11.322368,7.021309,0.000957,0.017990,0.275243,2.516800,1.570298
0.020000,11.322368,7.020818,0.001447,0.024508,0.325892,2.532455,1.570783
0.020000,11.322367,7.023812,0.004440,0.149663,6.257730,296.591866,1.571418
0.020000,11.322363,7.027695,0.008324,0.194177,2.225698,-201.601563,1.572223
0.020000,11.322354,7.032490,0.013118,0.239721,2.277209,2.575537,1.573220
0.020000,11.322336,7.038285,0.018914,0.289774,2.502643,11.271717,1.574431
0.020000,11.322306,7.045175,0.025804,0.344505,2.736555,11.695598,1.575879
0.020000,11.322258,7.053252,0.033881,0.403826,2.966060,11.475253,1.577587
0.020000,11.322185,7.062606,0.043236,0.467752,3.196270,11.510497,1.579581
0.020000,11.322079,7.073328,0.053958,0.536101,3.417489,11.060917,1.581886
0.020000,11.321928,7.085505,0.066135,0.608894,3.639627,11.106899,1.584531
0.020000,11.321720,7.099174,0.079806,0.683542,3.732429,4.640095,1.587535
0.020000,11.321440,7.114325,0.094960,0.757674,3.706572,-1.292837,1.590908
0.020000,11.321075,7.130947,0.111586,0.831323,3.682462,-1.205503,1.594662
0.020000,11.320606,7.149024,0.129669,0.904162,3.641925,-2.026837,1.598811
0.020000,11.320015,7.168541,0.149195,0.976286,3.606202,-1.786181,1.603369
0.020000,11.319280,7.189479,0.170146,1.047535,3.562469,-2.186609,1.608352
0.020000,11.318380,7.211820,0.192505,1.117944,3.520428,-2.102088,1.613781
0.020000,11.317291,7.235539,0.216249,1.187200,3.462840,-2.879366,1.619675
0.020000,11.315984,7.260612,0.241356,1.255378,3.408904,-2.696831,1.626058
0.020000,11.314433,7.287011,0.267801,1.322228,3.342461,-3.322139,1.632953
0.020000,11.312606,7.314706,0.295556,1.387744,3.275809,-3.332600,1.640390
0.020000,11.310472,7.343661,0.324589,1.451657,3.195666,-4.007145,1.648398
0.020000,11.307996,7.373837,0.354867,1.513888,3.111524,-4.207083,1.657011
0.020000,11.305140,7.405193,0.386352,1.574273,3.019253,-4.613564,1.666266
0.020000,11.301867,7.437680,0.419004,1.632594,2.916044,-5.160454,1.676203
0.020000,11.298136,7.471248,0.452778,1.688725,2.806567,-5.473849,1.686868
0.020000,11.293904,7.505836,0.487624,1.742291,2.678292,-6.413735,1.698307
0.020000,11.289126,7.541383,0.523491,1.793325,2.551687,-6.330269,1.710575
0.020000,11.283757,7.577816,0.560318,1.841351,2.401306,-7.519060,1.723730
0.020000,11.277750,7.615059,0.598042,1.886203,2.242627,-7.933911,1.737833
0.020000,11.271055,7.653025,0.636594,1.927588,2.069257,-8.668523,1.752954
0.020000,11.263624,7.691621,0.675899,1.965260,1.883594,-9.283148,1.769167
0.020000,11.255409,7.730745,0.715876,1.998853,1.679628,-10.198289,1.786551
0.020000,11.246359,7.770287,0.756440,2.028201,1.467422,-10.610304,1.805193
0.020000,11.236428,7.810125,0.797497,2.052870,1.233444,-11.698934,1.825182
