dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.332785,7.020805,0.000058,0.005801,0.290037,14.501857,1.569408
0.020000,12.332785,7.020805,0.000290,0.017402,0.580074,14.501857,1.569447
0.020000,12.332785,7.020805,0.000812,0.034804,0.870111,14.501857,1.569536
0.020000,12.332785,7.020805,0.001740,0.058007,1.160149,14.501857,1.569694
0.020000,12.332785,7.020805,0.003190,0.087011,1.450186,14.501857,1.569942
0.020000,12.332785,7.020805,0.005279,0.121816,1.740223,14.501857,1.570298
0.020000,12.332785,7.020805,0.008121,0.162421,2.030260,14.501857,1.570783
0.020000,12.332783,7.024440,0.011834,0.208827,2.320297,14.501857,1.571418
0.020000,12.332779,7.029136,0.016532,0.261033,2.610334,14.501857,1.572223
0.020000,12.332767,7.034938,0.022333,0.319041,2.900371,14.501857,1.573220
0.020000,12.332746,7.041958,0.029352,0.382849,3.190409,14.501857,1.574431
0.020000,12.332710,7.050311,0.037705,0.452458,3.480446,14.501857,1.575879
0.020000,12.332652,7.060113,0.047508,0.527868,3.770483,14.501857,1.577587
0.020000,12.332563,7.071482,0.058878,0.609078,4.060520,14.501857,1.579581
0.020000,12.332433,7.084533,0.071929,0.696089,4.350557,14.501857,1.581886
0.020000,12.332249,7.099382,0.086779,0.788901,4.640594,14.501857,1.584531
0.020000,12.331995,7.116086,0.103485,0.881713,4.640594,-0.000000,1.587535
0.020000,12.331653,7.134645,0.122048,0.974525,4.640594,0.000000,1.590908
0.020000,12.331204,7.155060,0.142466,1.067337,4.640594,0.000000,1.594662
0.020000,12.330626,7.177327,0.164741,1.160149,4.640594,-0.000000,1.598811
0.020000,12.329895,7.201447,0.188872,1.252960,4.640594,0.000000,1.603369
0.020000,12.328985,7.227417,0.214860,1.345772,4.640594,-0.000000,1.608352
0.020000,12.327864,7.255239,0.242703,1.438584,4.640594,0.000000,1.613781
0.020000,12.326500,7.284907,0.272403,1.531396,4.640594,-0.000000,1.619675
0.020000,12.324858,7.316421,0.303959,1.624208,4.640594,0.000000,1.626058
0.020000,12.322898,7.349775,0.337371,1.717020,4.640594,0.000000,1.632953
0.020000,12.320577,7.384967,0.372640,1.809832,4.640594,0.000000,1.640390
0.020000,12.317848,7.421992,0.409764,1.902644,4.640594,0.000000,1.648398
0.020000,12.314659,7.460842,0.448745,1.995456,4.640594,0.000000,1.657011
0.020000,12.310956,7.501510,0.489583,2.088267,4.640594,-0.000000,1.666266
0.020000,12.306676,7.543988,0.532276,2.181079,4.640594,0.000000,1.676203
0.020000,12.301753,7.588265,0.576826,2.273891,4.640594,-0.000000,1.686868
0.020000,12.296117,7.634326,0.623232,2.366703,4.640594,0.000000,1.698307
0.020000,12.289688,7.682158,0.671494,2.459515,4.640594,0.000000,1.710575
0.020000,12.282381,7.731741,0.721612,2.552327,4.640594,-0.000000,1.723730
0.020000,12.274103,7.783052,0.773587,2.645139,4.640594,0.000000,1.737833
0.020000,12.264754,7.836064,0.827418,2.737951,4.640594,0.000000,1.752954
0.020000,12.254226,7.890747,0.883105,2.830763,4.640594,-0.000000,1.769167
0.020000,12.242399,7.947060,0.940648,2.923574,4.640594,0.000000,1.786551
0.020000,12.229146,8.004962,1.000048,3.016386,4.640594,0.000000,1.805193
0.020000,12.214328,8.064397,1.061304,3.109198,4.640594,-0.000000,1.825182
0.020000,12.197797,8.125305,1.124416,3.202010,4.640594,0.000000,1.846614
0.020000,12.179392,8.187609,1.189384,3.294822,4.640594,0.000000,1.869589
0.020000,12.158942,8.251227,1.256209,3.387634,4.640594,-0.000000,1.894210
0.020000,12.136265,8.316053,1.324890,3.480446,4.640594,0.000000,1.920576
0.020000,12.111168,8.381972,1.395427,3.573258,4.640594,0.000000,1.948787
0.020000,12.083448,8.448844,1.467820,3.666070,4.640594,-0.000000,1.978934
0.020000,12.052894,8.516513,1.542069,3.758881,4.640594,0.000000,2.011095
0.020000,12.019319,8.584743,1.618117,3.845893,4.350557,-14.501857,2.045301
0.020000,11.982567,8.653231,1.695847,3.927103,4.060520,-14.501857,2.081525
0.020000,11.942502,8.721655,1.775143,4.002513,3.770483,-14.501857,2.119697
0.020000,11.899012,8.789683,1.855890,4.072122,3.480446,-14.501857,2.159696
0.020000,11.852018,8.856972,1.937970,4.135930,3.190409,-14.501857,2.201346
0.020000,11.801477,8.923177,2.021269,4.193937,2.900371,-14.501857,2.244413
0.020000,11.747388,8.987959,2.105670,4.246144,2.610334,-14.501857,2.288607
0.020000,11.689799,9.050992,2.191057,4.292550,2.320297,-14.501857,2.333589
0.020000,11.628805,9.111973,2.277314,4.333155,2.030260,-14.501857,2.378984
0.020000,11.564547,9.170629,2.364325,4.367959,1.740223,-14.501857,2.424397
