dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.343200,7.019402,0.000058,0.005801,0.290037,14.501857,1.569408
0.020000,13.343200,7.019442,0.000098,0.001996,-0.190234,-24.013540,1.569447
0.020000,13.343200,7.019532,0.000188,0.004492,0.124784,15.750895,1.569536
0.020000,13.343201,7.019691,0.000348,0.007987,0.174782,2.499865,1.569694
0.020000,13.343201,7.019941,0.000597,0.012486,0.224907,2.506283,1.569942
0.020000,13.343201,7.020301,0.000957,0.017990,0.275243,2.516800,1.570298
0.020000,13.343201,7.020791,0.001447,0.024508,0.325892,2.532455,1.570783
0.020000,13.343200,7.025067,0.005724,0.213819,9.465536,456.982186,1.571418
0.020000,13.343194,7.030577,0.011234,0.275501,3.084122,-319.070691,1.572223
0.020000,13.343181,7.037387,0.018044,0.340497,3.249760,8.281900,1.573220
0.020000,13.343156,7.045630,0.026287,0.412150,3.582669,16.645423,1.574431
0.020000,13.343113,7.055446,0.036102,0.490797,3.932375,17.485312,1.575879
0.020000,13.343045,7.066975,0.047631,0.576430,4.281629,17.462702,1.577587
0.020000,13.342941,7.080358,0.061015,0.669208,4.638909,17.864027,1.579581
0.020000,13.342788,7.095738,0.076396,0.769042,4.991703,17.639688,1.581886
0.020000,13.342570,7.113260,0.093919,0.876157,5.355712,18.200448,1.584531
0.020000,13.342270,7.132999,0.113660,0.987044,5.544350,9.431904,1.587535
0.020000,13.341865,7.154964,0.135629,1.098469,5.571287,1.346823,1.590908
0.020000,13.341333,7.179172,0.159843,1.210662,5.609639,1.917591,1.594662
0.020000,13.340646,7.205630,0.186309,1.323332,5.633517,1.193912,1.598811
0.020000,13.339776,7.234353,0.215046,1.436821,5.674434,2.045858,1.603369
0.020000,13.338689,7.265356,0.246068,1.551110,5.714445,2.000573,1.608352
0.020000,13.337347,7.298659,0.279398,1.666485,5.768726,2.714006,1.613781
0.020000,13.335710,7.334276,0.315052,1.782736,5.812584,2.192927,1.619675
0.020000,13.333733,7.372229,0.353057,1.900249,5.875646,3.153107,1.626058
0.020000,13.331364,7.412539,0.393436,2.018947,5.934872,2.961267,1.632953
0.020000,13.328548,7.455229,0.436219,2.139150,6.010162,3.764527,1.640390
0.020000,13.325224,7.500323,0.481435,2.260803,6.082645,3.624126,1.648398
0.020000,13.321323,7.547846,0.529119,2.384171,6.168403,4.287932,1.657011
0.020000,13.316771,7.597828,0.579307,2.509428,6.262859,4.722796,1.666266
0.020000,13.311484,7.650296,0.632041,2.636695,6.363354,5.024738,1.676203
0.020000,13.305371,7.705283,0.687367,2.766283,6.479394,5.801980,1.686868
0.020000,13.298331,7.762816,0.745330,2.898134,6.592538,5.657215,1.698307
