dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,36.790665,25.786856,0.000058,0.005779,0.288945,14.447250,0.481818
0.020000,36.790669,25.786858,0.000063,0.000270,-0.275438,-28.219162,0.481813
0.020000,36.790680,25.786864,0.000075,0.000608,0.016891,14.616439,0.481801
0.020000,36.790699,25.786874,0.000097,0.001081,0.023667,0.338803,0.481779
0.020000,36.790729,25.786889,0.000131,0.001691,0.030473,0.340325,0.481746
0.020000,36.790773,25.786912,0.000180,0.002437,0.037329,0.342818,0.481697
0.020000,36.792052,25.787581,0.001624,0.072209,3.488600,172.563517,0.481632
0.020000,36.795407,25.789334,0.005409,0.189273,5.853202,118.230133,0.481546
0.020000,36.799654,25.791553,0.010200,0.239564,2.514514,-166.934413,0.481436
0.020000,36.804897,25.794292,0.016116,0.295779,2.810775,14.813037,0.481301
0.020000,36.811243,25.797606,0.023275,0.357926,3.107329,14.827721,0.481137
0.020000,36.818796,25.801548,0.031795,0.426008,3.404106,14.838815,0.480940
0.020000,36.827663,25.806173,0.041795,0.500031,3.701167,14.853060,0.480708
0.020000,36.837949,25.811536,0.053395,0.580007,3.998806,14.881932,0.480438
0.020000,36.849761,25.817689,0.066714,0.665940,4.296633,14.891387,0.480125
0.020000,36.863205,25.824688,0.081871,0.757842,4.595091,14.922894,0.479766
0.020000,36.878337,25.832557,0.098926,0.852765,4.746182,7.554541,0.479358
0.020000,36.895157,25.841295,0.117882,0.947754,4.749448,0.163301,0.478900
0.020000,36.913670,25.850901,0.138738,1.042821,4.753336,0.194423,0.478391
0.020000,36.933877,25.861373,0.161497,1.137971,4.757487,0.207526,0.477828
0.020000,36.955782,25.872708,0.186162,1.233209,4.761919,0.221587,0.477210
0.020000,36.979389,25.884904,0.212733,1.328550,4.767018,0.254961,0.476536
0.020000,37.004701,25.897959,0.241212,1.423995,4.772246,0.261391,0.475802
0.020000,37.031722,25.911869,0.271604,1.519556,4.778068,0.291117,0.475008
0.020000,37.060456,25.926631,0.303908,1.615236,4.784010,0.297084,0.474149
0.020000,37.090909,25.942242,0.338129,1.711049,4.790647,0.331843,0.473224
0.020000,37.123086,25.958697,0.374269,1.807001,4.797576,0.346470,0.472230
0.020000,37.156991,25.975992,0.412331,1.903096,4.804771,0.359728,0.471164
0.020000,37.192632,25.994123,0.452318,1.999349,4.812634,0.393156,0.470023
0.020000,37.230013,26.013084,0.494233,2.095762,4.820656,0.401134,0.468804
0.020000,37.269142,26.032870,0.538080,2.192346,4.829221,0.428252,0.467504
0.020000,37.310026,26.053473,0.583863,2.289112,4.838282,0.453038,0.466118
