dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,37.258883,24.891471,0.000058,0.005779,0.288945,14.447250,0.481818
0.020000,37.258883,24.891471,0.000289,0.017337,0.577890,14.447250,0.481813
0.020000,37.258883,24.891471,0.000809,0.034673,0.866835,14.447250,0.481801
0.020000,37.258883,24.891471,0.001734,0.057789,1.155780,14.447250,0.481779
0.020000,37.258883,24.891471,0.003178,0.086683,1.444725,14.447250,0.481746
0.020000,37.258883,24.891471,0.005259,0.121357,1.733670,14.447250,0.481697
0.020000,37.260104,24.892109,0.008090,0.161809,2.022615,14.447250,0.481632
0.020000,37.263381,24.893822,0.011789,0.208040,2.311560,14.447250,0.481546
0.020000,37.267530,24.895990,0.016470,0.260050,2.600505,14.447250,0.481436
0.020000,37.272652,24.898666,0.022249,0.317839,2.889450,14.447250,0.481301
0.020000,37.278851,24.901902,0.029241,0.381407,3.178395,14.447250,0.481137
0.020000,37.286228,24.905752,0.037563,0.450754,3.467340,14.447250,0.480940
0.020000,37.294887,24.910270,0.047329,0.525880,3.756285,14.447250,0.480708
0.020000,37.304931,24.915506,0.058656,0.606784,4.045230,14.447250,0.480438
0.020000,37.316462,24.921513,0.071658,0.693468,4.334175,14.447250,0.480125
0.020000,37.329585,24.928344,0.086452,0.785930,4.623120,14.447250,0.479766
0.020000,37.344350,24.936023,0.103096,0.878393,4.623120,0.000000,0.479358
0.020000,37.360761,24.944548,0.121588,0.970855,4.623120,0.000000,0.478900
0.020000,37.378816,24.953917,0.141930,1.063318,4.623120,-0.000000,0.478391
0.020000,37.398519,24.964127,0.164121,1.155780,4.623120,0.000000,0.477828
0.020000,37.419870,24.975176,0.188161,1.248242,4.623120,0.000000,0.477210
0.020000,37.442871,24.987059,0.214050,1.340705,4.623120,0.000000,0.476536
0.020000,37.467524,24.999774,0.241789,1.433167,4.623120,0.000000,0.475802
0.020000,37.493831,25.013316,0.271377,1.525630,4.623120,0.000000,0.475008
0.020000,37.521794,25.027682,0.302814,1.618092,4.623120,0.000000,0.474149
0.020000,37.551415,25.042866,0.336101,1.710554,4.623120,0.000000,0.473224
0.020000,37.582698,25.058864,0.371237,1.803017,4.623120,0.000000,0.472230
0.020000,37.615644,25.075670,0.408221,1.895479,4.623120,0.000000,0.471164
0.020000,37.650256,25.093278,0.447056,1.987942,4.623120,-0.000000,0.470023
0.020000,37.686539,25.111682,0.487739,2.080404,4.623120,0.000000,0.468804
0.020000,37.724496,25.130875,0.530272,2.172866,4.623120,0.000000,0.467504
0.020000,37.764129,25.150848,0.574654,2.265329,4.623120,0.000000,0.466118
0.020000,37.805443,25.171595,0.620885,2.357791,4.623120,0.000000,0.464643
0.020000,37.848443,25.193107,0.668965,2.450254,4.623120,0.000000,0.463076
0.020000,37.893133,25.215373,0.718895,2.542716,4.623120,0.000000,0.461411
0.020000,37.939517,25.238385,0.770674,2.635178,4.623120,0.000000,0.459646
0.020000,37.987602,25.262132,0.824302,2.727641,4.623120,0.000000,0.457775
0.020000,38.037391,25.286601,0.879780,2.820103,4.623120,0.000000,0.455795
0.020000,38.088892,25.311781,0.937106,2.912566,4.623120,0.000000,0.453699
0.020000,38.142110,25.337659,0.996282,3.005028,4.623120,0.000000,0.451484
0.020000,38.197051,25.364220,1.057308,3.097490,4.623120,0.000000,0.449144
0.020000,38.253723,25.391450,1.120182,3.189953,4.623120,0.000000,0.446673
0.020000,38.312133,25.419333,1.184906,3.282415,4.623120,0.000000,0.444067
