dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,37.727100,23.996086,0.000058,0.005779,0.288945,14.447250,0.481818
0.020000,37.727096,23.996084,0.000063,0.000270,-0.275438,-28.219162,0.481813
0.020000,37.727085,23.996078,0.000075,0.000608,0.016891,14.616439,0.481801
0.020000,37.727066,23.996068,0.000097,0.001081,0.023667,0.338803,0.481779
0.020000,37.727036,23.996052,0.000131,0.001691,0.030473,0.340325,0.481746
0.020000,37.726993,23.996030,0.000180,0.002437,0.037329,0.342818,0.481697
0.020000,37.728155,23.996637,0.001491,0.065564,3.156344,155.950748,0.481632
0.020000,37.731355,23.998310,0.005102,0.180576,5.750611,129.713327,0.481546
0.020000,37.735406,24.000427,0.009673,0.228528,2.397572,-167.651934,0.481436
0.020000,37.740407,24.003039,0.015315,0.282111,2.679132,14.077986,0.481301
0.020000,37.746459,24.006199,0.022142,0.341321,2.960539,14.070340,0.481137
0.020000,37.753660,24.009957,0.030265,0.406154,3.241628,14.054470,0.480940
0.020000,37.762111,24.014366,0.039797,0.476601,3.522355,14.036315,0.480708
0.020000,37.771912,24.019476,0.050850,0.552659,3.802881,14.026319,0.480438
0.020000,37.783163,24.025337,0.063536,0.634313,4.082712,13.991536,0.480125
0.020000,37.795964,24.032000,0.077967,0.721555,4.362131,13.970986,0.479766
0.020000,37.810364,24.039489,0.094198,0.811559,4.500183,6.902568,0.479358
0.020000,37.826364,24.047801,0.112228,0.901492,4.496659,-0.176163,0.478900
0.020000,37.843963,24.056933,0.132055,0.991352,4.492982,-0.183856,0.478391
0.020000,37.863161,24.066882,0.153678,1.081128,4.488805,-0.208849,0.477828
0.020000,37.883957,24.077643,0.177094,1.170811,4.484144,-0.233086,0.477210
0.020000,37.906353,24.089214,0.202302,1.260398,4.479360,-0.239178,0.476536
0.020000,37.930347,24.101589,0.229300,1.349877,4.473939,-0.271061,0.475802
0.020000,37.955940,24.114764,0.258084,1.439243,4.468317,-0.281067,0.475008
0.020000,37.983131,24.128733,0.288654,1.528484,4.462041,-0.313836,0.474149
0.020000,38.011921,24.143491,0.321006,1.617597,4.455649,-0.319606,0.473224
0.020000,38.042309,24.159031,0.355137,1.706572,4.448754,-0.344738,0.472230
0.020000,38.074296,24.175348,0.391045,1.795399,4.441325,-0.371447,0.471164
0.020000,38.107881,24.192434,0.428727,1.884073,4.433736,-0.379457,0.470023
0.020000,38.143066,24.210280,0.468179,1.972583,4.425499,-0.411831,0.468804
0.020000,38.179849,24.228880,0.509397,2.060923,4.416969,-0.426529,0.467504
0.020000,38.218232,24.248223,0.552379,2.149084,4.408092,-0.443847,0.466118
0.020000,38.258215,24.268301,0.597120,2.237057,4.398612,-0.473987,0.464643
0.020000,38.299798,24.289104,0.643616,2.324832,4.388785,-0.491362,0.463076
0.020000,38.342983,24.310621,0.691865,2.412405,4.378612,-0.508614,0.461411
0.020000,38.387769,24.332840,0.741860,2.499761,4.367814,-0.539929,0.459646
0.020000,38.434159,24.355749,0.793598,2.586897,4.356820,-0.549673,0.457775
0.020000,38.482152,24.379336,0.847074,2.673802,4.345236,-0.579203,0.455795
0.020000,38.531751,24.403586,0.902283,2.760463,4.333049,-0.609378,0.453699
0.020000,38.582955,24.428485,0.959221,2.846878,4.320758,-0.614539,0.451484
0.020000,38.635768,24.454017,1.017881,2.933032,4.307664,-0.654673,0.449144
0.020000,38.690190,24.480166,1.078260,3.018920,4.294404,-0.663035,0.446673
0.020000,38.746224,24.506915,1.140350,3.104526,4.280323,-0.704056,0.444067
0.020000,38.803871,24.534244,1.204147,3.189849,4.266129,-0.709677,0.441320
0.020000,38.863133,24.562135,1.269645,3.274875,4.251301,-0.741414,0.438425
0.020000,38.924013,24.590566,1.336836,3.359591,4.235831,-0.773512,0.435378
0.020000,38.986514,24.619517,1.405716,3.443995,4.220169,-0.783081,0.432170
0.020000,39.050637,24.648963,1.476278,3.528070,4.203772,-0.819840,0.428797
0.020000,39.116386,24.678881,1.548514,3.611811,4.187056,-0.835811,0.425251
0.020000,39.183765,24.709246,1.622418,3.695207,4.169772,-0.864195,0.421525
0.020000,39.252775,24.740029,1.697983,3.778248,4.152057,-0.885761,0.417614
0.020000,39.323421,24.771203,1.775202,3.860923,4.133785,-0.913593,0.413508
0.020000,39.395707,24.802738,1.854066,3.943228,4.115202,-0.929156,0.409201
0.020000,39.469585,24.834580,1.934514,4.022414,3.959301,-7.795033,0.404689
0.020000,39.544959,24.866656,2.016430,4.095764,3.667514,-14.589371,0.399970
0.020000,39.621732,24.898891,2.099696,4.163302,3.376886,-14.531369,0.395044
0.020000,39.699808,24.931212,2.184197,4.225056,3.087707,-14.458963,0.389910
0.020000,39.779089,24.963546,2.269818,4.281052,2.799795,-14.395616,0.384569
0.020000,39.859477,24.995823,2.356444,4.331324,2.513623,-14.308568,0.379022
0.020000,39.940877,25.027973,2.443962,4.375904,2.229016,-14.230348,0.373271
0.020000,40.023188,25.059927,2.532259,4.414826,1.946092,-14.146239,0.367318
0.020000,40.106314,25.091621,2.621221,4.448125,1.664959,-14.056645,0.361166
0.020000,40.190155,25.122988,2.710738,4.475842,1.385842,-13.955846,0.354820
0.020000,40.274613,25.153967,2.800698,4.498013,1.108563,-13.863963,0.348283
0.020000,40.359588,25.184499,2.890992,4.514682,0.833447,-13.755797,0.341561
0.020000,40.444980,25.214525,2.981510,4.525887,0.560234,-13.660626,0.334661
0.020000,40.530690,25.243992,3.072143,4.531672,0.289243,-13.549542,0.327589
0.020000,40.616616,25.272847,3.162785,4.532080,0.020388,-13.442772,0.320354
0.020000,40.702608,25.301027,3.253277,4.524579,-0.375032,-19.771001,0.312968
0.020000,40.788515,25.328472,3.343461,4.509230,-0.767459,-19.621361,0.305446
0.020000,40.874235,25.355142,3.433234,4.488658,-1.028580,-13.056057,0.297799
0.020000,40.959665,25.381002,3.522492,4.462907,-1.287587,-12.950343,0.290039
0.020000,41.044702,25.406019,3.611133,4.432016,-1.544543,-12.847764,0.282178
0.020000,41.129242,25.430165,3.699053,4.396025,-1.799541,-12.749916,0.274230
0.020000,41.213180,25.453417,3.786153,4.354973,-2.052580,-12.651944,0.266209
0.020000,41.296413,25.475753,3.872331,4.308895,-2.303890,-12.565506,0.258129
0.020000,41.378836,25.497158,3.957487,4.257827,-2.553446,-12.477780,0.250007
0.020000,41.460343,25.517618,4.041523,4.201798,-2.801417,-12.398588,0.241859
0.020000,41.540829,25.537126,4.124340,4.140839,-3.047947,-12.326467,0.233701
0.020000,41.620189,25.555677,4.205839,4.074973,-3.293290,-12.267156,0.225552
0.020000,41.698317,25.573271,4.285924,4.004229,-3.537240,-12.197533,0.217427
0.020000,41.775107,25.589911,4.364496,3.928618,-3.780534,-12.164700,0.209346
0.020000,41.850454,25.605605,4.441460,3.848165,-4.022659,-12.106249,0.201328
0.020000,41.924250,25.620362,4.516717,3.762874,-4.264540,-12.094019,0.193390
0.020000,41.996440,25.634206,4.590223,3.675283,-4.379541,-5.750061,0.185547
0.020000,42.067019,25.647172,4.661982,3.587981,-4.365089,0.722623,0.177805
0.020000,42.135983,25.659294,4.732003,3.501047,-4.346718,0.918542,0.170174
0.020000,42.203328,25.670606,4.800293,3.414470,-4.328867,0.892525,0.162658
0.020000,42.269054,25.681143,4.866857,3.328218,-4.312585,0.814131,0.155266
0.020000,42.333155,25.690939,4.931703,3.242290,-4.296402,0.809131,0.148003
0.020000,42.395631,25.700026,4.994836,3.156656,-4.281680,0.736078,0.140875
0.020000,42.456478,25.708439,5.056262,3.071315,-4.267063,0.730849,0.133888
0.020000,42.515695,25.716209,5.115987,2.986236,-4.253966,0.654869,0.127047
0.020000,42.573280,25.723369,5.174015,2.901408,-4.241368,0.629922,0.120357
0.020000,42.629231,25.729951,5.230352,2.816820,-4.229411,0.597839,0.113823
0.020000,42.683546,25.735985,5.285001,2.732449,-4.218559,0.542612,0.107449
0.020000,42.736223,25.741502,5.337966,2.648279,-4.208505,0.502655,0.101240
0.020000,42.787262,25.746531,5.389252,2.564305,-4.198686,0.490971,0.095198
0.020000,42.836661,25.751102,5.438862,2.480506,-4.189952,0.436693,0.089328
0.020000,42.884419,25.755242,5.486800,2.396871,-4.181761,0.409567,0.083633
0.020000,42.930536,25.758980,5.533067,2.313387,-4.174189,0.378579,0.078115
0.020000,42.975010,25.762342,5.577668,2.230036,-4.167559,0.331514,0.072778
0.020000,43.017840,25.765354,5.620605,2.146817,-4.160945,0.330721,0.067623
0.020000,43.059027,25.768040,5.661879,2.063708,-4.155437,0.275374,0.062654
0.020000,43.098569,25.770426,5.701493,1.980711,-4.149851,0.279318,0.057872
0.020000,43.136467,25.772535,5.739449,1.897798,-4.145643,0.210407,0.053279
0.020000,43.172719,25.774388,5.775749,1.814981,-4.140869,0.238670,0.048877
0.020000,43.207326,25.776008,5.810393,1.732241,-4.136993,0.193814,0.044668
0.020000,43.240287,25.777415,5.843385,1.649561,-4.134030,0.148140,0.040652
0.020000,43.271603,25.778629,5.874724,1.566954,-4.130340,0.184503,0.036831
0.020000,43.301272,25.779668,5.904412,1.484394,-4.127979,0.118045,0.033206
0.020000,43.329296,25.780551,5.932449,1.401889,-4.125263,0.135807,0.029778
0.020000,43.355674,25.781294,5.958838,1.319422,-4.123337,0.096285,0.026549
0.020000,43.380406,25.781913,5.983578,1.236998,-4.121215,0.106135,0.023517
0.020000,43.403493,25.782424,6.006670,1.154604,-4.119717,0.074864,0.020686
0.020000,43.424934,25.782839,6.028115,1.072248,-4.117777,0.097018,0.018053
0.020000,43.444729,25.783172,6.047913,0.989897,-4.117563,0.010705,0.015622
0.020000,43.462879,25.783436,6.066064,0.907585,-4.115567,0.099807,0.013391
0.020000,43.479383,25.783640,6.082570,0.825289,-4.114801,0.038265,0.011361
0.020000,43.494242,25.783795,6.097430,0.742999,-4.114501,0.015010,0.009533
0.020000,43.507457,25.783910,6.110645,0.660734,-4.113254,0.062341,0.007907
0.020000,43.519075,25.783994,6.122264,0.580958,-3.988801,6.222677,0.006476
0.020000,43.529200,25.784053,6.132389,0.506247,-3.735590,12.660530,0.005230
0.020000,43.537933,25.784094,6.141122,0.436662,-3.479203,12.819374,0.004154
0.020000,43.545378,25.784122,6.148567,0.372243,-3.220948,12.912721,0.003237
0.020000,43.551637,25.784139,6.154826,0.312959,-2.964248,12.835027,0.002465
0.020000,43.556814,25.784151,6.160003,0.258815,-2.707189,12.852919,0.001827
0.020000,43.561010,25.784157,6.164199,0.209817,-2.449863,12.866299,0.001310
0.020000,43.564329,25.784161,6.167518,0.165957,-2.193027,12.841807,0.000901
0.020000,43.566874,25.784163,6.170063,0.127235,-1.936109,12.845937,0.000587
0.020000,43.568747,25.784164,6.171936,0.093652,-1.679140,12.848427,0.000356
0.020000,43.570051,25.784164,6.173240,0.065215,-1.421842,12.864890,0.000196
0.020000,43.570889,25.784164,6.174078,0.041914,-1.165076,12.838315,0.000092
0.020000,43.571364,25.784164,6.174553,0.023749,-0.908214,12.843079,0.000034
0.020000,43.571579,25.784164,6.174768,0.010723,-0.651294,12.846008,0.000007
0.020000,43.571636,25.784164,6.174825,0.002837,-0.394343,12.847550,0.000000
0.020000,43.571637,25.784164,6.174826,0.000089,-0.137380,12.848162,6.283185
0.020000,43.571637,25.784164,6.174826,0.000000,-0.004449,6.646570,6.283185
