dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.606209,18.103779,0.000058,0.005827,0.291352,14.567601,0.000119
0.020000,3.606214,18.103779,0.000063,0.000247,-0.278988,-28.517010,0.000115
0.020000,3.606225,18.103779,0.000074,0.000556,0.015449,14.721855,0.000104
0.020000,3.606245,18.103779,0.000094,0.000988,0.021612,0.308154,0.000084
0.020000,3.606275,18.103779,0.000125,0.001543,0.027750,0.306889,0.000053
0.020000,3.606320,18.103779,0.000169,0.002220,0.033846,0.304817,0.000009
0.020000,3.608782,18.103779,0.002632,0.123117,6.044846,300.550001,6.283135
0.020000,3.612590,18.103778,0.006440,0.190400,3.364130,-134.035798,6.283057
0.020000,3.617409,18.103777,0.011259,0.240963,2.528156,-41.798709,6.282959
0.020000,3.623359,18.103776,0.017208,0.297467,2.825198,14.852088,6.282838
0.020000,3.630557,18.103773,0.024406,0.359908,3.122055,14.842885,6.282692
0.020000,3.639123,18.103768,0.032972,0.428282,3.418690,14.831733,6.282519
0.020000,3.649174,18.103760,0.043024,0.502583,3.715059,14.818455,6.282317
0.020000,3.660830,18.103749,0.054680,0.582805,4.011110,14.802558,6.282084
0.020000,3.674209,18.103732,0.068059,0.668941,4.306794,14.784188,6.281819
0.020000,3.689429,18.103709,0.083278,0.760982,4.602055,14.763021,6.281520
0.020000,3.706548,18.103678,0.100397,0.855947,4.748240,7.309282,6.281186
0.020000,3.725565,18.103636,0.119414,0.950856,4.745451,-0.139446,6.280820
0.020000,3.746479,18.103582,0.140329,1.045703,4.742356,-0.154755,6.280421
0.020000,3.769288,18.103514,0.163138,1.140482,4.738946,-0.170496,6.279991
0.020000,3.793992,18.103430,0.187842,1.235187,4.735231,-0.185748,6.279533
0.020000,3.820588,18.103326,0.214438,1.329811,4.731200,-0.201545,6.279047
0.020000,3.849075,18.103201,0.242925,1.424348,4.726868,-0.216644,6.278535
0.020000,3.879450,18.103052,0.273301,1.518793,4.722219,-0.232416,6.277999
0.020000,3.911712,18.102875,0.305564,1.613138,4.717265,-0.247708,6.277441
0.020000,3.945859,18.102669,0.339711,1.707378,4.711996,-0.263466,6.276864
0.020000,3.981889,18.102431,0.375741,1.801506,4.706424,-0.278601,6.276268
0.020000,4.019798,18.102157,0.413652,1.895517,4.700536,-0.294396,6.275657
0.020000,4.059585,18.101845,0.453440,1.989404,4.694347,-0.309460,6.275033
0.020000,4.101247,18.101492,0.495103,2.083161,4.687841,-0.325267,6.274399
0.020000,4.144780,18.101095,0.538639,2.176781,4.681032,-0.340478,6.273757
0.020000,4.190183,18.100653,0.584044,2.270259,4.673907,-0.356220,6.273110
0.020000,4.237453,18.100161,0.631316,2.363589,4.666482,-0.371262,6.272462
0.020000,4.286585,18.099618,0.680451,2.456764,4.658743,-0.386956,6.271814
0.020000,4.337577,18.099022,0.731446,2.549778,4.650698,-0.402263,6.271171
0.020000,4.390425,18.098370,0.784299,2.642625,4.642343,-0.417737,6.270535
0.020000,4.445127,18.097660,0.839005,2.735298,4.633678,-0.433221,6.269911
