dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.606450,16.082945,0.000058,0.005827,0.291352,14.567601,0.000119
0.020000,3.606445,16.082945,0.000063,0.000247,-0.278988,-28.517010,0.000115
0.020000,3.606434,16.082945,0.000074,0.000556,0.015449,14.721855,0.000104
0.020000,3.606414,16.082945,0.000094,0.000988,0.021612,0.308154,0.000084
0.020000,3.606383,16.082945,0.000125,0.001543,0.027750,0.306889,0.000053
0.020000,3.606339,16.082945,0.000169,0.002220,0.033846,0.304817,0.000009
0.020000,3.608681,16.082945,0.002511,0.117081,5.743043,285.459840,6.283135
0.020000,3.612331,16.082945,0.006162,0.182531,3.272471,-123.528621,6.283057
0.020000,3.616952,16.082944,0.010782,0.231027,2.424827,-42.382193,6.282959
0.020000,3.622657,16.082943,0.016487,0.285237,2.710491,14.283226,6.282838
0.020000,3.629560,16.082940,0.023390,0.345164,2.996337,14.292286,6.282692
0.020000,3.637776,16.082935,0.031606,0.410812,3.282405,14.303427,6.282519
0.020000,3.647420,16.082927,0.041250,0.482187,3.568743,14.316877,6.282317
0.020000,3.658606,16.082916,0.052436,0.559295,3.855394,14.332556,6.282084
0.020000,3.671449,16.082901,0.065279,0.642143,4.142414,14.351000,6.281819
0.020000,3.686063,16.082878,0.079894,0.730740,4.429860,14.372294,6.281520
0.020000,3.702508,16.082848,0.096339,0.822241,4.575024,7.258208,6.281186
0.020000,3.720784,16.082808,0.114614,0.913797,4.577811,0.139348,6.280820
0.020000,3.740892,16.082757,0.134723,1.005415,4.580911,0.155013,6.280421
0.020000,3.762834,16.082691,0.156665,1.097101,4.584317,0.170262,6.279991
0.020000,3.786611,16.082610,0.180442,1.188862,4.588036,0.185980,6.279533
0.020000,3.812225,16.082510,0.206056,1.280703,4.592060,0.201171,6.279047
0.020000,3.839677,16.082390,0.233509,1.372631,4.596400,0.217031,6.278535
0.020000,3.868970,16.082246,0.262802,1.464652,4.601045,0.232237,6.277999
0.020000,3.900105,16.082075,0.293937,1.556772,4.606003,0.247900,6.277441
0.020000,3.933084,16.081876,0.326917,1.648998,4.611265,0.263105,6.276864
0.020000,3.967910,16.081646,0.361744,1.741334,4.616843,0.278903,6.276268
0.020000,4.004585,16.081381,0.398420,1.833789,4.622724,0.294054,6.275657
0.020000,4.043111,16.081079,0.436947,1.926367,4.628922,0.309898,6.275033
0.020000,4.083491,16.080737,0.477328,2.019076,4.635422,0.325012,6.274399
0.020000,4.125728,16.080352,0.519567,2.111921,4.642236,0.340687,6.273757
0.020000,4.169824,16.079922,0.563665,2.204908,4.649353,0.355833,6.273110
0.020000,4.215783,16.079444,0.609626,2.298043,4.656786,0.371643,6.272462
0.020000,4.263606,16.078915,0.657453,2.391334,4.664522,0.386803,6.271814
0.020000,4.313299,16.078334,0.707148,2.484785,4.672568,0.402325,6.271171
0.020000,4.364863,16.077698,0.758716,2.578404,4.680922,0.417669,6.270535
0.020000,4.418302,16.077005,0.812160,2.672195,4.689581,0.432991,6.269911
0.020000,4.473620,16.076254,0.867484,2.766166,4.698557,0.448784,6.269301
0.020000,4.530821,16.075442,0.924690,2.860323,4.707830,0.463668,6.268709
0.020000,4.589908,16.074570,0.983783,2.954671,4.717417,0.479319,6.268140
0.020000,4.650885,16.073636,1.044768,3.049217,4.727312,0.494781,6.267596
0.020000,4.713757,16.072639,1.107647,3.143968,4.737511,0.509949,6.267083
0.020000,4.778527,16.071580,1.172426,3.238928,4.748021,0.525469,6.266603
0.020000,4.845199,16.070460,1.239108,3.334105,4.758839,0.540926,6.266163
0.020000,4.913779,16.069278,1.307698,3.429504,4.769963,0.556202,6.265765
0.020000,4.984271,16.068037,1.378201,3.525132,4.781397,0.571699,6.265414
0.020000,5.056679,16.066739,1.450620,3.620995,4.793142,0.587213,6.265116
0.020000,5.131009,16.065387,1.524962,3.717099,4.805193,0.602546,6.264874
0.020000,5.207265,16.063983,1.601231,3.813450,4.817555,0.618113,6.264694
0.020000,5.285453,16.062532,1.679433,3.910054,4.830229,0.633685,6.264581
0.020000,5.365577,16.061039,1.759571,4.006919,4.843211,0.649146,6.264540
0.020000,5.447644,16.059509,1.841652,4.104049,4.856508,0.664815,6.264576
0.020000,5.531658,16.057950,1.925681,4.201451,4.870116,0.680428,6.264694
0.020000,5.617626,16.056369,2.011664,4.299132,4.884038,0.696098,6.264901
0.020000,5.705554,16.054773,2.099605,4.397097,4.898274,0.711794,6.265201
0.020000,5.795447,16.053174,2.189513,4.495354,4.912827,0.727635,6.265600
0.020000,5.887311,16.051580,2.281391,4.593908,4.927693,0.743293,6.266105
0.020000,5.981153,16.050006,2.375246,4.692765,4.942878,0.759244,6.266721
0.020000,6.076979,16.048462,2.471085,4.791933,4.958376,0.774902,6.267455
0.020000,6.174796,16.046964,2.568913,4.891417,4.974197,0.791083,6.268313
0.020000,6.274610,16.045528,2.668737,4.991223,4.990327,0.806492,6.269300
0.020000,6.376429,16.044170,2.770565,5.091359,5.006782,0.822765,6.270424
0.020000,6.480258,16.042910,2.874401,5.191830,5.023542,0.837996,6.271692
0.020000,6.586104,16.041768,2.980254,5.292642,5.040624,0.854068,6.273109
0.020000,6.693976,16.040764,3.088130,5.393803,5.058010,0.869320,6.274684
0.020000,6.803879,16.039924,3.198037,5.495317,5.075709,0.884969,6.276422
0.020000,6.915821,16.039273,3.309980,5.597191,5.093703,0.899675,6.278332
0.020000,7.029808,16.038837,3.423969,5.699431,5.111998,0.914733,6.280419
0.020000,7.145849,16.038647,3.540010,5.802042,5.130576,0.928943,6.282693
