dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.823223,3.157401,0.000058,0.005806,0.290294,14.514690,6.281273
0.020000,0.823184,3.157402,0.000097,0.001955,-0.192532,-24.141267,6.281311
0.020000,0.823096,3.157402,0.000185,0.004399,0.122186,15.735858,6.281399
0.020000,0.822940,3.157402,0.000342,0.007819,0.171012,2.441305,6.281553
0.020000,0.822695,3.157402,0.000586,0.012214,0.219764,2.437609,6.281795
0.020000,0.822344,3.157403,0.000937,0.017582,0.268395,2.431551,6.282143
0.020000,0.821865,3.157403,0.001416,0.023919,0.316846,2.422532,6.282617
0.020000,0.821537,3.157403,0.001744,0.016417,-0.375093,-34.596910,0.000049
0.020000,0.825450,3.157405,0.005658,0.195667,8.962461,466.877698,0.000831
0.020000,0.830282,3.157411,0.010489,0.241596,2.296469,-333.299613,0.001794
0.020000,0.836131,3.157425,0.016338,0.292421,2.541251,12.239108,0.002959
0.020000,0.843092,3.157451,0.023300,0.348101,2.783993,12.137088,0.004343
0.020000,0.851266,3.157493,0.031474,0.408682,3.029055,12.253087,0.005964
0.020000,0.860749,3.157558,0.040957,0.474179,3.274854,12.289957,0.007841
0.020000,0.871641,3.157655,0.051849,0.544610,3.521527,12.333662,0.009990
0.020000,0.884040,3.157794,0.064249,0.619994,3.769236,12.385462,0.012427
0.020000,0.897998,3.157987,0.078208,0.697934,3.896968,6.386593,0.015161
0.020000,0.913517,3.158246,0.093729,0.776060,3.906320,0.467592,0.018187
0.020000,0.930600,3.158585,0.110816,0.854350,3.914472,0.407584,0.021502
0.020000,0.949252,3.159020,0.129473,0.932852,3.925114,0.532133,0.025102
0.020000,0.969477,3.159567,0.149705,1.011584,3.936595,0.574011,0.028983
0.020000,0.991277,3.160244,0.171516,1.090564,3.949019,0.621228,0.033138
0.020000,1.014659,3.161071,0.194912,1.169817,3.962630,0.680528,0.037564
0.020000,1.039627,3.162068,0.219900,1.249379,3.978116,0.774320,0.042254
0.020000,1.066185,3.163257,0.246485,1.329255,3.993801,0.784242,0.047201
0.020000,1.094340,3.164660,0.274675,1.409484,4.011461,0.882991,0.052399
0.020000,1.124096,3.166302,0.304477,1.490092,4.030368,0.945352,0.057840
0.020000,1.155461,3.168208,0.335899,1.571102,4.050513,1.007273,0.063516
0.020000,1.188439,3.170403,0.368949,1.652542,4.072015,1.075069,0.069419
0.020000,1.223036,3.172916,0.403638,1.734446,4.095208,1.159662,0.075540
0.020000,1.259261,3.175773,0.439975,1.816834,4.119362,1.207697,0.081869
0.020000,1.297118,3.179004,0.477970,1.899739,4.145251,1.294475,0.088395
0.020000,1.336615,3.182638,0.517634,1.983187,4.172432,1.359056,0.095108
0.020000,1.377758,3.186706,0.558978,2.067207,4.201006,1.428685,0.101997
0.020000,1.420555,3.191240,0.602014,2.151829,4.231058,1.502608,0.109050
0.020000,1.465013,3.196270,0.646756,2.237076,4.262379,1.566060,0.116254
0.020000,1.511139,3.201829,0.693215,2.322978,4.295100,1.636009,0.123596
0.020000,1.558940,3.207949,0.741406,2.409555,4.328836,1.686811,0.131063
0.020000,1.608423,3.214663,0.791343,2.496840,4.364240,1.770192,0.138642
0.020000,1.659596,3.222005,0.843040,2.584852,4.400619,1.818940,0.146317
0.020000,1.712466,3.230007,0.896512,2.673606,4.437722,1.855181,0.154074
0.020000,1.767041,3.238702,0.951775,2.763135,4.476447,1.936218,0.161897
0.020000,1.823326,3.248124,1.008844,2.853452,4.515830,1.969188,0.169772
0.020000,1.881331,3.258305,1.067736,2.944577,4.556256,2.021308,0.177682
0.020000,1.941062,3.269277,1.128466,3.036517,4.596980,2.036180,0.185610
0.020000,2.002527,3.281072,1.191052,3.129288,4.638562,2.079104,0.193541
0.020000,2.065731,3.293721,1.255510,3.222908,4.680985,2.121135,0.201457
0.020000,2.130684,3.307254,1.321858,3.317392,4.724211,2.161325,0.209343
0.020000,2.197392,3.321702,1.390112,3.412723,4.766551,2.116979,0.217179
0.020000,2.265863,3.337092,1.460291,3.508941,4.810918,2.218348,0.224950
0.020000,2.336103,3.353450,1.532412,3.606022,4.854057,2.156945,0.232639
0.020000,2.408122,3.370804,1.606491,3.703977,4.897735,2.183915,0.240227
0.020000,2.481925,3.389178,1.682547,3.802809,4.941579,2.192204,0.247697
0.020000,2.557522,3.408593,1.760598,3.902527,4.985905,2.216285,0.255032
0.020000,2.634922,3.429071,1.840661,4.003137,5.030491,2.229292,0.262215
0.020000,2.714132,3.450631,1.922752,4.104588,5.072547,2.102823,0.269228
0.020000,2.795162,3.473290,2.006891,4.206945,5.117886,2.266954,0.276054
0.020000,2.878023,3.497063,2.093095,4.310168,5.161115,2.161433,0.282676
0.020000,2.962724,3.521962,2.181380,4.414259,5.204566,2.172534,0.289076
0.020000,3.049278,3.547997,2.271764,4.519224,5.248251,2.184254,0.295237
0.020000,3.137696,3.575176,2.364266,4.625067,5.292177,2.196308,0.301141
0.020000,3.227992,3.603503,2.458901,4.731757,5.334476,2.114984,0.306773
0.020000,3.320181,3.632981,2.555688,4.839351,5.379686,2.260497,0.312114
0.020000,3.414278,3.663608,2.654644,4.947803,5.422639,2.147646,0.317146
0.020000,3.510301,3.695379,2.755787,5.057141,5.466895,2.212788,0.321854
0.020000,3.608269,3.728288,2.859134,5.167378,5.511848,2.247650,0.326218
0.020000,3.708203,3.762323,2.964704,5.278508,5.556461,2.230631,0.330221
0.020000,3.810124,3.797470,3.072516,5.390565,5.602878,2.320862,0.333844
0.020000,3.914059,3.833710,3.182587,5.503560,5.649769,2.344532,0.337070
0.020000,4.020033,3.871020,3.294937,5.617507,5.697318,2.377469,0.339879
0.020000,4.128076,3.909373,3.409586,5.732439,5.746614,2.464824,0.342252
0.020000,4.238220,3.948739,3.526554,5.848390,5.797527,2.545646,0.344169
0.020000,4.350501,3.989081,3.645861,5.965390,5.850016,2.624415,0.345608
0.020000,4.464901,4.030338,3.767473,6.080594,5.760186,-4.491497,0.346549
0.020000,4.581351,4.072424,3.891295,6.191098,5.525216,-11.748481,0.346968
0.020000,4.699784,4.115247,4.017232,6.296852,5.287699,-11.875867,0.346846
0.020000,4.820133,4.158708,4.145188,6.397805,5.047633,-12.003305,0.346162
0.020000,4.942332,4.202703,4.275066,6.493908,4.805165,-12.123374,0.344897
0.020000,5.066318,4.247122,4.406769,6.585113,4.560276,-12.244457,0.343033
0.020000,5.192025,4.291850,4.540196,6.671376,4.313121,-12.357748,0.340554
0.020000,5.319390,4.336767,4.675249,6.752648,4.063584,-12.476865,0.337443
0.020000,5.448347,4.381749,4.811827,6.828878,3.811547,-12.601814,0.333685
0.020000,5.578833,4.426666,4.949827,6.900017,3.556918,-12.731459,0.329266
0.020000,5.710781,4.471387,5.089148,6.966025,3.300428,-12.824536,0.324172
0.020000,5.844124,4.515773,5.229684,7.026808,3.039155,-13.063653,0.318392
0.020000,5.978792,4.559685,5.371330,7.082324,2.775779,-13.168753,0.311916
0.020000,6.114713,4.602982,5.513980,7.132502,2.508894,-13.344248,0.304733
0.020000,6.251810,4.645517,5.657525,7.177229,2.236360,-13.626725,0.296838
0.020000,6.389956,4.687132,5.801803,7.213882,1.832648,-20.185611,0.288226
0.020000,6.529015,4.727664,5.946648,7.242259,1.418832,-20.690779,0.278901
0.020000,6.668893,4.766970,6.091944,7.264808,1.127477,-14.567780,0.268861
0.020000,6.809492,4.804907,6.237571,7.281370,0.828071,-14.970265,0.258111
0.020000,6.950706,4.841332,6.383407,7.291795,0.521265,-15.340289,0.246657
0.020000,7.092420,4.876108,6.529325,7.295912,0.205841,-15.771247,0.234509
0.020000,7.234510,4.909100,6.675196,7.293530,-0.119068,-16.245426,0.221680
0.020000,7.376845,4.940181,6.820885,7.284433,-0.454867,-16.789939,0.208189
0.020000,7.519282,4.969230,6.966253,7.268440,-0.799662,-17.239752,0.194058
0.020000,7.661668,4.996132,7.111159,7.245266,-1.158714,-17.952622,0.179313
0.020000,7.803840,5.020786,7.255453,7.214700,-1.528263,-18.477422,0.163986
0.020000,7.945625,5.043101,7.398983,7.176493,-1.910359,-19.104805,0.148114
0.020000,8.086838,5.062997,7.541590,7.130390,-2.305145,-19.739309,0.131737
0.020000,8.227285,5.080412,7.683113,7.076141,-2.712451,-20.365306,0.114902
0.020000,8.366763,5.095298,7.823383,7.013507,-3.131728,-20.963851,0.097660
0.020000,8.505060,5.107626,7.962229,6.942266,-3.562054,-21.516300,0.080066
0.020000,8.642012,5.117388,8.099528,6.864985,-3.864024,-15.098504,0.062173
0.020000,8.777519,5.124595,8.235226,6.784887,-4.004915,-7.044534,0.044027
0.020000,8.911487,5.129271,8.369276,6.702491,-4.119779,-5.743201,0.025673
0.020000,9.043824,5.131447,8.501631,6.617759,-4.236595,-5.840809,0.007158
0.020000,9.174437,5.131169,8.632245,6.530668,-4.354586,-5.899549,6.271713
0.020000,9.303234,5.128491,8.761069,6.441209,-4.472911,-5.916235,6.253014
0.020000,9.430123,5.123475,8.888058,6.349443,-4.588330,-5.770988,6.234293
0.020000,9.555019,5.116195,9.013165,6.255387,-4.702805,-5.723733,6.215596
0.020000,9.677837,5.106733,9.136347,6.159093,-4.814669,-5.593185,6.196966
0.020000,9.798498,5.095179,9.257560,6.060665,-4.921403,-5.336702,6.178445
0.020000,9.916931,5.081629,9.376765,5.960240,-5.021250,-4.992378,6.160073
0.020000,10.033065,5.066187,9.493922,5.857816,-5.121224,-4.998663,6.141890
0.020000,10.146841,5.048960,9.608995,5.753673,-5.207144,-4.295993,6.123930
0.020000,10.258206,5.030061,9.721952,5.647836,-5.291859,-4.235786,6.106226
0.020000,10.367111,5.009606,9.832761,5.540483,-5.367619,-3.787960,6.088808
0.020000,10.473518,4.987711,9.941398,5.431819,-5.433216,-3.279858,6.071703
0.020000,10.577393,4.964498,10.047834,5.321821,-5.499891,-3.333759,6.054936
0.020000,10.678710,4.940084,10.152052,5.210885,-5.546829,-2.346908,6.038527
0.020000,10.777451,4.914589,10.254031,5.098960,-5.596240,-2.470563,6.022494
0.020000,10.873603,4.888132,10.353756,4.986240,-5.635994,-1.987688,6.006853
0.020000,10.967158,4.860829,10.451215,4.872930,-5.665500,-1.475290,5.991617
0.020000,11.058117,4.832793,10.546396,4.759072,-5.692892,-1.369624,5.976796
0.020000,11.146484,4.804136,10.639293,4.644866,-5.710295,-0.870119,5.962398
0.020000,11.232265,4.774967,10.729898,4.530235,-5.731562,-1.063371,5.948429
0.020000,11.315476,4.745389,10.818209,4.415558,-5.733841,-0.113947,5.934892
0.020000,11.396129,4.715504,10.904222,4.300623,-5.746773,-0.646618,5.921789
0.020000,11.474249,4.685407,10.987938,4.185826,-5.739849,0.346231,5.909121
0.020000,11.549855,4.655192,11.069359,4.071022,-5.740164,-0.015757,5.896887
0.020000,11.622975,4.624948,11.148486,3.956388,-5.731730,0.421720,5.885084
0.020000,11.693632,4.594757,11.225323,3.841836,-5.727610,0.205961,5.873710
0.020000,11.761855,4.564703,11.299873,3.727490,-5.717292,0.515910,5.862759
0.020000,11.827674,4.534858,11.372142,3.613475,-5.700716,0.828797,5.852226
0.020000,11.891121,4.505296,11.442138,3.499795,-5.684002,0.835734,5.842107
0.020000,11.952223,4.476086,11.509863,3.386256,-5.676983,0.350917,5.832394
0.020000,12.011013,4.447291,11.575326,3.273143,-5.655653,1.066524,5.823082
0.020000,12.067522,4.418971,11.638535,3.160415,-5.636399,0.962690,5.814163
0.020000,12.121782,4.391184,11.699495,3.048038,-5.618838,0.878050,5.805630
0.020000,12.173823,4.363982,11.758217,2.936073,-5.598235,1.030155,5.797476
0.020000,12.223671,4.337419,11.814700,2.824180,-5.594665,0.178472,5.789694
0.020000,12.271363,4.311538,11.868962,2.713104,-5.553804,2.043065,5.782276
0.020000,12.316921,4.286386,11.921003,2.602033,-5.553568,0.011818,5.775215
0.020000,12.360377,4.262002,11.970832,2.491455,-5.528865,1.235112,5.768504
0.020000,12.401758,4.238426,12.018458,2.381278,-5.508863,1.000122,5.762137
0.020000,12.441090,4.215693,12.063887,2.271472,-5.490308,0.927759,5.756105
0.020000,12.478394,4.193839,12.107121,2.161698,-5.488703,0.080219,5.750404
0.020000,12.513700,4.172892,12.148174,2.052637,-5.453048,1.782794,5.745026
0.020000,12.547028,4.152884,12.187046,1.943615,-5.451109,0.096918,5.739965
0.020000,12.578401,4.133838,12.223748,1.835100,-5.425743,1.268315,5.735215
0.020000,12.607839,4.115781,12.258283,1.726740,-5.417986,0.387830,5.730772
0.020000,12.635361,4.098737,12.290655,1.618591,-5.407464,0.526115,5.726629
0.020000,12.660984,4.082727,12.320869,1.510708,-5.394149,0.665743,5.722782
0.020000,12.684728,4.067768,12.348932,1.403147,-5.378024,0.806241,5.719226
0.020000,12.706611,4.053878,12.374850,1.295923,-5.361217,0.840379,5.715957
0.020000,12.726638,4.041077,12.398620,1.188463,-5.372987,-0.588497,5.712971
0.020000,12.744832,4.029375,12.420252,1.081623,-5.342006,1.549038,5.710264
0.020000,12.761203,4.018786,12.439749,0.974839,-5.339218,0.139382,5.707833
0.020000,12.775760,4.009323,12.457111,0.868117,-5.336064,0.157722,5.705674
0.020000,12.788558,4.000966,12.472396,0.764261,-5.192816,7.162383,5.703779
0.020000,12.799709,3.993657,12.485729,0.666631,-4.881520,15.564813,5.702130
0.020000,12.809331,3.987328,12.497246,0.575823,-4.540409,17.055557,5.700709
0.020000,12.817540,3.981914,12.507080,0.491722,-4.205038,16.768527,5.699498
0.020000,12.824448,3.977346,12.515361,0.414046,-3.883795,16.062162,5.698480
0.020000,12.830173,3.973553,12.522229,0.343396,-3.532520,17.563774,5.697636
0.020000,12.834826,3.970465,12.527813,0.279215,-3.209020,16.174998,5.696951
0.020000,12.838518,3.968012,12.532245,0.221613,-2.880114,16.445268,5.696408
0.020000,12.841363,3.966120,12.535662,0.170846,-2.538324,17.089504,5.695989
0.020000,12.843471,3.964716,12.538196,0.126670,-2.208817,16.475379,5.695679
0.020000,12.844954,3.963728,12.539978,0.089098,-1.878593,16.511166,5.695461
0.020000,12.845922,3.963083,12.541140,0.058141,-1.547850,16.537152,5.695318
0.020000,12.846485,3.962708,12.541817,0.033806,-1.216752,16.554896,5.695236
0.020000,12.846753,3.962530,12.542139,0.016097,-0.885433,16.565974,5.695196
0.020000,12.846836,3.962474,12.542239,0.005018,-0.553993,16.571977,5.695184
0.020000,12.846846,3.962468,12.542250,0.000568,-0.222503,16.574501,5.695183
0.020000,12.846846,3.962468,12.542250,0.000000,-0.028376,9.706351,5.695183
