dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.821291,2.146987,0.000058,0.005806,0.290294,14.514690,6.281273
0.020000,0.821291,2.146987,0.000290,0.017418,0.580588,14.514690,6.281311
0.020000,0.821291,2.146987,0.000813,0.034835,0.870881,14.514690,6.281399
0.020000,0.821291,2.146987,0.001742,0.058059,1.161175,14.514690,6.281553
0.020000,0.821291,2.146987,0.003193,0.087088,1.451469,14.514690,6.281795
0.020000,0.821291,2.146987,0.005283,0.121923,1.741763,14.514690,6.282143
0.020000,0.821291,2.146987,0.008128,0.162565,2.032057,14.514690,6.282617
0.020000,0.821587,2.146987,0.011844,0.209012,2.322350,14.514690,0.000049
0.020000,0.826290,2.146989,0.016547,0.261264,2.612644,14.514690,0.000831
0.020000,0.832095,2.146996,0.022353,0.319323,2.902938,14.514690,0.001794
0.020000,0.839121,2.147013,0.029378,0.383188,3.193232,14.514690,0.002959
0.020000,0.847481,2.147044,0.037738,0.452858,3.483526,14.514690,0.004343
0.020000,0.857293,2.147094,0.047550,0.528335,3.773819,14.514690,0.005964
0.020000,0.868672,2.147173,0.058930,0.609617,4.064113,14.514690,0.007841
0.020000,0.881735,2.147289,0.071993,0.696705,4.354407,14.514690,0.009990
0.020000,0.896597,2.147456,0.086856,0.789599,4.644701,14.514690,0.012427
0.020000,0.913316,2.147686,0.103577,0.882493,4.644701,0.000000,0.015161
0.020000,0.931892,2.147996,0.122156,0.975387,4.644701,0.000000,0.018187
0.020000,0.952325,2.148402,0.142592,1.068281,4.644701,-0.000000,0.021502
0.020000,0.974613,2.148921,0.164887,1.161175,4.644701,0.000000,0.025102
0.020000,0.998757,2.149574,0.189039,1.254069,4.644701,-0.000000,0.028983
0.020000,1.024755,2.150382,0.215050,1.346963,4.644701,0.000000,0.033138
0.020000,1.052605,2.151367,0.242918,1.439857,4.644701,-0.000000,0.037564
0.020000,1.082308,2.152553,0.272644,1.532751,4.644701,0.000000,0.042254
0.020000,1.113860,2.153966,0.304228,1.625645,4.644701,-0.000000,0.047201
0.020000,1.147260,2.155630,0.337670,1.718539,4.644701,0.000000,0.052399
0.020000,1.182506,2.157575,0.372969,1.811433,4.644701,-0.000000,0.057840
0.020000,1.219596,2.159829,0.410127,1.904327,4.644701,0.000000,0.063516
0.020000,1.258525,2.162420,0.449143,1.997221,4.644701,0.000000,0.069419
0.020000,1.299291,2.165380,0.490016,2.090115,4.644701,0.000000,0.075540
0.020000,1.341890,2.168740,0.532747,2.183009,4.644701,-0.000000,0.081869
0.020000,1.386317,2.172532,0.577336,2.275903,4.644701,0.000000,0.088395
0.020000,1.432569,2.176788,0.623783,2.368797,4.644701,0.000000,0.095108
0.020000,1.480639,2.181541,0.672088,2.461691,4.644701,0.000000,0.101997
0.020000,1.530523,2.186825,0.722251,2.554585,4.644701,-0.000000,0.109050
0.020000,1.582213,2.192673,0.774272,2.647479,4.644701,0.000000,0.116254
0.020000,1.635705,2.199120,0.828150,2.740373,4.644701,0.000000,0.123596
0.020000,1.690990,2.206198,0.883887,2.833267,4.644701,0.000000,0.131063
0.020000,1.748061,2.213942,0.941481,2.926161,4.644701,-0.000000,0.138642
0.020000,1.806910,2.222385,1.000933,3.019056,4.644701,0.000000,0.146317
0.020000,1.867530,2.231559,1.062243,3.111950,4.644701,0.000000,0.154074
0.020000,1.929911,2.241499,1.125411,3.204844,4.644701,0.000000,0.161897
