dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.819358,1.136572,0.000058,0.005806,0.290294,14.514690,6.281273
0.020000,0.819397,1.136572,0.000097,0.001955,-0.192532,-24.141267,6.281311
0.020000,0.819485,1.136572,0.000185,0.004399,0.122186,15.735858,6.281399
0.020000,0.819642,1.136571,0.000342,0.007819,0.171012,2.441305,6.281553
0.020000,0.819886,1.136571,0.000586,0.012214,0.219764,2.437609,6.281795
0.020000,0.820237,1.136571,0.000937,0.017582,0.268395,2.431551,6.282143
0.020000,0.820716,1.136570,0.001416,0.023919,0.316846,2.422532,6.282617
0.020000,0.821636,1.136570,0.002336,0.046023,1.105202,39.417800,0.000049
0.020000,0.827129,1.136572,0.007829,0.274630,11.430317,516.255781,0.000831
0.020000,0.833908,1.136581,0.014608,0.338974,3.217220,-410.654838,0.001794
0.020000,0.842110,1.136601,0.022811,0.410107,3.556625,16.970241,0.002959
0.020000,0.851869,1.136636,0.032569,0.487940,3.891660,16.751743,0.004343
0.020000,0.863319,1.136695,0.044019,0.572502,4.228123,16.823122,0.005964
0.020000,0.876594,1.136787,0.057295,0.663771,4.563434,16.765574,0.007841
0.020000,0.891828,1.136923,0.072529,0.761719,4.897388,16.697692,0.009990
0.020000,0.909153,1.137117,0.089855,0.866314,5.229769,16.619044,0.012427
0.020000,0.928634,1.137386,0.109338,0.974140,5.391284,8.075750,0.015161
0.020000,0.950268,1.137747,0.130975,1.081834,5.384740,-0.327196,0.018187
0.020000,0.974049,1.138219,0.154761,1.189315,5.374039,-0.535044,0.021502
0.020000,0.999974,1.138823,0.180693,1.296600,5.364244,-0.489740,0.025102
0.020000,1.028037,1.139582,0.208766,1.403659,5.352959,-0.564271,0.028983
0.020000,1.058232,1.140520,0.238976,1.510464,5.340242,-0.635828,0.033138
0.020000,1.090552,1.141663,0.271316,1.616991,5.326340,-0.695129,0.037564
0.020000,1.124989,1.143039,0.305780,1.723233,5.312112,-0.711389,0.042254
0.020000,1.161535,1.144674,0.342363,1.829136,5.295156,-0.847780,0.047201
0.020000,1.200181,1.146601,0.381057,1.934693,5.277844,-0.865598,0.052399
0.020000,1.240916,1.148848,0.421854,2.039875,5.259095,-0.937472,0.057840
0.020000,1.283730,1.151450,0.464747,2.144652,5.238831,-1.013173,0.063516
0.020000,1.328611,1.154437,0.509727,2.248995,5.217161,-1.083530,0.069419
0.020000,1.375545,1.157845,0.556785,2.352885,5.194496,-1.133237,0.075540
0.020000,1.424519,1.161708,0.605911,2.456281,5.169815,-1.234044,0.081869
0.020000,1.475517,1.166060,0.657094,2.559164,5.144158,-1.282862,0.088395
0.020000,1.528523,1.170938,0.710324,2.661503,5.116926,-1.361581,0.095108
0.020000,1.583520,1.176376,0.765589,2.763268,5.088281,-1.432282,0.101997
0.020000,1.640490,1.182410,0.822878,2.864436,5.058377,-1.495173,0.109050
0.020000,1.699414,1.189077,0.882177,2.964976,5.026998,-1.568970,0.116254
0.020000,1.760270,1.196411,0.943475,3.064864,4.994397,-1.630013,0.123596
0.020000,1.823039,1.204447,1.006756,3.164067,4.960174,-1.711194,0.131063
0.020000,1.887698,1.213221,1.072008,3.262573,4.925304,-1.743459,0.138642
0.020000,1.954224,1.222765,1.139215,3.360354,4.889016,-1.814409,0.146317
0.020000,2.022593,1.233112,1.208362,3.457377,4.851149,-1.893381,0.154074
0.020000,2.092781,1.244295,1.279435,3.553637,4.813035,-1.905675,0.161897
0.020000,2.164762,1.256343,1.352417,3.649110,4.773613,-1.971104,0.169772
0.020000,2.238510,1.269287,1.427293,3.743781,4.733573,-2.001988,0.177682
0.020000,2.313999,1.283153,1.504045,3.837625,4.692173,-2.069998,0.185610
0.020000,2.391203,1.297969,1.582658,3.930631,4.650342,-2.091568,0.193541
0.020000,2.470095,1.313757,1.663114,4.022797,4.608260,-2.104097,0.201457
0.020000,2.550648,1.330540,1.745396,4.114118,4.566080,-2.109006,0.209343
0.020000,2.632833,1.348340,1.829487,4.204557,4.521915,-2.208219,0.217179
0.020000,2.716626,1.367173,1.915370,4.294148,4.479569,-2.117348,0.224950
0.020000,2.801998,1.387055,2.003027,4.382852,4.435207,-2.218077,0.232639
0.020000,2.888924,1.408001,2.092441,4.470676,4.391185,-2.201118,0.240227
0.020000,2.977377,1.430021,2.183593,4.557620,4.347188,-2.199853,0.247697
0.020000,3.067331,1.453123,2.276467,4.643694,4.303714,-2.173695,0.255032
0.020000,3.158763,1.477314,2.371045,4.728906,4.260585,-2.156423,0.262215
0.020000,3.251648,1.502596,2.467309,4.813198,4.214607,-2.298930,0.269228
0.020000,3.345963,1.528969,2.565242,4.896651,4.172672,-2.096726,0.276054
0.020000,3.441686,1.556432,2.664827,4.979220,4.128445,-2.211350,0.282676
0.020000,3.538796,1.584978,2.766045,5.060913,4.084662,-2.189149,0.289076
0.020000,3.637272,1.614599,2.868880,5.141739,4.041275,-2.169351,0.295237
0.020000,3.737096,1.645283,2.973314,5.221703,3.998196,-2.153970,0.301141
0.020000,3.838251,1.677016,3.079329,5.300767,3.953211,-2.249251,0.306773
0.020000,3.940720,1.709781,3.186909,5.378992,3.911262,-2.097407,0.312114
0.020000,4.044488,1.743555,3.296035,5.456319,3.866365,-2.244895,0.317146
0.020000,4.149543,1.778314,3.406691,5.532765,3.822280,-2.204248,0.321854
0.020000,4.255871,1.814031,3.518857,5.608326,3.778051,-2.211452,0.326218
0.020000,4.363461,1.850674,3.632516,5.682971,3.732260,-2.289551,0.330221
0.020000,4.472306,1.888208,3.747651,5.756709,3.686900,-2.267998,0.333844
0.020000,4.582396,1.926593,3.864241,5.829512,3.640158,-2.337093,0.337070
