dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.597068,8.441360,0.000058,0.005777,0.288839,14.441941,0.040849
0.020000,8.596977,8.441357,0.000148,0.004516,-0.063023,-17.593107,0.040760
0.020000,8.596774,8.441348,0.000351,0.010164,0.282379,17.270133,0.040559
0.020000,8.596413,8.441334,0.000713,0.018077,0.395639,5.662964,0.040201
0.020000,8.595848,8.441311,0.001278,0.028264,0.509370,5.686562,0.039641
0.020000,8.595034,8.441279,0.002093,0.040742,0.623874,5.725216,0.038835
0.020000,8.595743,8.441306,0.002803,0.035478,-0.263185,-44.352956,0.037735
0.020000,8.597983,8.441389,0.005044,0.112048,3.828522,204.585352,0.036295
0.020000,8.600811,8.441489,0.007873,0.141488,1.471988,-117.826719,0.034463
0.020000,8.604289,8.441605,0.011354,0.174038,1.627517,7.776446,0.032191
0.020000,8.608481,8.441734,0.015548,0.209681,1.782121,7.730213,0.029424
0.020000,8.613443,8.441872,0.020512,0.248213,1.926626,7.225262,0.026105
0.020000,8.619234,8.442012,0.026304,0.289617,2.070164,7.176872,0.022174
0.020000,8.625900,8.442145,0.032972,0.333371,2.187709,5.877254,0.017567
0.020000,8.633487,8.442258,0.040560,0.379401,2.301521,5.690640,0.012213
0.020000,8.642033,8.442336,0.049105,0.427285,2.394188,4.633352,0.006037
0.020000,8.651536,8.442360,0.058609,0.475194,2.395429,0.062002,6.282161
0.020000,8.661954,8.442308,0.069027,0.520867,2.283694,-5.586728,6.274176
0.020000,8.673237,8.442156,0.080311,0.564233,2.168281,-5.770638,6.265219
0.020000,8.685331,8.441879,0.092408,0.604820,2.029345,-6.946811,6.255238
0.020000,8.698173,8.441449,0.105257,0.642473,1.882632,-7.335626,6.244171
0.020000,8.711693,8.440839,0.118791,0.676684,1.710567,-8.603288,6.231952
0.020000,8.725812,8.440021,0.132934,0.707146,1.523081,-9.374290,6.218506
0.020000,8.740443,8.438966,0.147603,0.733470,1.316205,-10.343786,6.203753
0.020000,8.755493,8.437647,0.162710,0.755346,1.093795,-11.120521,6.187602
0.020000,8.770855,8.436039,0.178156,0.772298,0.847632,-12.308121,6.169958
0.020000,8.786417,8.434119,0.193837,0.784032,0.586677,-13.047789,6.150717
0.020000,8.802062,8.431869,0.209643,0.790298,0.313311,-13.668253,6.129771
0.020000,8.817666,8.429277,0.225460,0.790852,0.027714,-14.279867,6.107004
0.020000,8.833099,8.426335,0.241171,0.785572,-0.264034,-14.587423,6.082305
0.020000,8.848238,8.423045,0.256664,0.774626,-0.547271,-14.161821,6.055560
0.020000,8.862965,8.419412,0.271832,0.758417,-0.810432,-13.158057,6.026665
0.020000,8.877176,8.415451,0.286585,0.737630,-1.039369,-11.446831,5.995527
0.020000,8.890790,8.411179,0.300853,0.713435,-1.209731,-8.518106,5.962083
0.020000,8.903760,8.406610,0.314604,0.687556,-1.293960,-4.211473,5.926297
0.020000,8.916083,8.401750,0.327851,0.662345,-1.260578,1.669102,5.888181
0.020000,8.927811,8.396585,0.340666,0.640729,-1.080772,8.990284,5.847809
0.020000,8.939055,8.391064,0.353193,0.626355,-0.718702,18.103532,5.805322
0.020000,8.949996,8.385088,0.365659,0.623291,-0.153200,28.275100,5.760946
