dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.749789,18.289448,0.000058,0.005810,0.290508,14.525397,6.283035
0.020000,1.749784,18.289448,0.000063,0.000243,-0.278341,-28.442430,6.283039
0.020000,1.749773,18.289448,0.000074,0.000547,0.015206,14.677347,6.283050
0.020000,1.749754,18.289448,0.000093,0.000973,0.021281,0.303734,6.283069
0.020000,1.749723,18.289448,0.000124,0.001520,0.027344,0.303133,6.283100
0.020000,1.749680,18.289448,0.000168,0.002188,0.033387,0.302149,6.283143
0.020000,1.750416,18.289448,0.000904,0.036804,1.730799,84.870599,0.000016
0.020000,1.754057,18.289448,0.004544,0.182042,7.261917,276.555918,0.000093
0.020000,1.758665,18.289449,0.009152,0.230402,2.418018,-242.194930,0.000190
0.020000,1.764354,18.289450,0.014842,0.284456,2.702680,14.233067,0.000310
0.020000,1.771238,18.289453,0.021726,0.344205,2.987431,14.237587,0.000455
0.020000,1.779431,18.289457,0.029919,0.409650,3.272284,14.242612,0.000627
0.020000,1.789047,18.289464,0.039535,0.480795,3.557256,14.248608,0.000828
0.020000,1.800200,18.289475,0.050687,0.557643,3.842372,14.255789,0.001061
0.020000,1.813004,18.289490,0.063491,0.640197,4.127695,14.266192,0.001327
0.020000,1.827573,18.289512,0.078061,0.728460,4.413184,14.274415,0.001628
0.020000,1.843965,18.289541,0.094452,0.819593,4.556624,7.172030,0.001966
0.020000,1.862180,18.289580,0.112668,0.910752,4.557952,0.066377,0.002340
0.020000,1.882218,18.289631,0.132706,1.001940,4.559415,0.073166,0.002749
0.020000,1.904081,18.289696,0.154570,1.093161,4.561036,0.081022,0.003192
0.020000,1.927770,18.289777,0.178258,1.184417,4.562800,0.088199,0.003669
0.020000,1.953284,18.289878,0.203772,1.275711,4.564719,0.095961,0.004179
0.020000,1.980624,18.289999,0.231113,1.367047,4.566772,0.102675,0.004721
0.020000,2.009793,18.290145,0.260282,1.458427,4.568990,0.110867,0.005294
0.020000,2.040789,18.290319,0.291279,1.549853,4.571345,0.117745,0.005898
0.020000,2.073615,18.290523,0.324105,1.641330,4.573841,0.124836,0.006532
0.020000,2.108271,18.290761,0.358762,1.732860,4.576509,0.133382,0.007193
0.020000,2.144759,18.291036,0.395251,1.824446,4.579302,0.139648,0.007882
0.020000,2.183080,18.291352,0.433573,1.916092,4.582259,0.147864,0.008597
0.020000,2.223234,18.291712,0.473729,2.007799,4.585351,0.154604,0.009337
0.020000,2.265224,18.292120,0.515721,2.099571,4.588605,0.162699,0.010100
0.020000,2.309049,18.292580,0.559549,2.191411,4.591997,0.169611,0.010886
0.020000,2.354713,18.293095,0.605215,2.283322,4.595544,0.177314,0.011692
0.020000,2.402216,18.293670,0.652721,2.375306,4.599244,0.185004,0.012518
0.020000,2.451559,18.294309,0.702069,2.467368,4.603081,0.191839,0.013362
0.020000,2.502744,18.295015,0.753259,2.559510,4.607074,0.199682,0.014222
0.020000,2.555773,18.295793,0.806294,2.651734,4.611214,0.206971,0.015096
0.020000,2.610647,18.296645,0.861174,2.744044,4.615509,0.214794,0.015984
0.020000,2.667369,18.297578,0.917903,2.836443,4.619941,0.221600,0.016882
0.020000,2.725938,18.298593,0.976482,2.928933,4.624531,0.229475,0.017790
0.020000,2.786359,18.299696,1.036912,3.021519,4.629266,0.236733,0.018705
0.020000,2.848631,18.300890,1.099196,3.114202,4.634153,0.244359,0.019626
0.020000,2.912758,18.302178,1.163336,3.206986,4.639183,0.251494,0.020551
0.020000,2.978741,18.303565,1.229334,3.299873,4.644365,0.259111,0.021477
0.020000,3.046582,18.305054,1.297191,3.392867,4.649694,0.266433,0.022402
0.020000,3.116283,18.306648,1.366910,3.485970,4.655172,0.273919,0.023324
0.020000,3.187847,18.308351,1.438494,3.579186,4.660796,0.281207,0.024242
0.020000,3.261275,18.310165,1.511944,3.672517,4.666569,0.288666,0.025152
0.020000,3.336569,18.312093,1.587264,3.765967,4.672490,0.296030,0.026053
0.020000,3.413733,18.314138,1.664455,3.859538,4.678558,0.303386,0.026941
0.020000,3.492768,18.316303,1.743519,3.953234,4.684773,0.310779,0.027815
0.020000,3.573677,18.318589,1.824460,4.047057,4.691136,0.318120,0.028672
0.020000,3.656462,18.320998,1.907281,4.141009,4.697646,0.325506,0.029510
0.020000,3.741126,18.323532,1.991982,4.235095,4.704300,0.332731,0.030325
0.020000,3.827671,18.326192,2.078569,4.329318,4.711105,0.340252,0.031115
0.020000,3.916101,18.328978,2.167042,4.423679,4.718055,0.347490,0.031877
0.020000,4.006418,18.331892,2.257406,4.518182,4.725152,0.354829,0.032609
0.020000,4.098624,18.334932,2.349663,4.612830,4.732395,0.362159,0.033308
0.020000,4.192724,18.338099,2.443815,4.707625,4.739785,0.369515,0.033970
0.020000,4.288718,18.341392,2.539867,4.802572,4.747323,0.376886,0.034594
