dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.749637,17.279031,0.000058,0.005810,0.290508,14.525397,6.283035
0.020000,1.749637,17.279031,0.000291,0.017430,0.581016,14.525397,6.283039
0.020000,1.749637,17.279031,0.000813,0.034861,0.871524,14.525397,6.283050
0.020000,1.749637,17.279031,0.001743,0.058102,1.162032,14.525397,6.283069
0.020000,1.749637,17.279031,0.003196,0.087152,1.452540,14.525397,6.283100
0.020000,1.749637,17.279031,0.005287,0.122013,1.743048,14.525397,6.283143
0.020000,1.750432,17.279031,0.008134,0.162684,2.033556,14.525397,0.000016
0.020000,1.754151,17.279031,0.011853,0.209166,2.324063,14.525397,0.000093
0.020000,1.758857,17.279032,0.016559,0.261457,2.614571,14.525397,0.000190
0.020000,1.764667,17.279034,0.022369,0.319559,2.905079,14.525397,0.000310
0.020000,1.771698,17.279036,0.029399,0.383470,3.195587,14.525397,0.000455
0.020000,1.780064,17.279041,0.037766,0.453192,3.486095,14.525397,0.000627
0.020000,1.789883,17.279048,0.047585,0.528724,3.776603,14.525397,0.000828
0.020000,1.801271,17.279059,0.058973,0.610067,4.067111,14.525397,0.001061
0.020000,1.814344,17.279074,0.072046,0.697219,4.357619,14.525397,0.001327
0.020000,1.829218,17.279096,0.086920,0.790182,4.648127,14.525397,0.001628
0.020000,1.845951,17.279126,0.103653,0.883144,4.648127,-0.000000,0.001966
0.020000,1.864544,17.279166,0.122246,0.976107,4.648127,0.000000,0.002340
0.020000,1.884996,17.279218,0.142697,1.069069,4.648127,0.000000,0.002749
0.020000,1.907306,17.279285,0.165009,1.162032,4.648127,-0.000000,0.003192
0.020000,1.931477,17.279368,0.189179,1.254994,4.648127,0.000000,0.003669
0.020000,1.957506,17.279470,0.215208,1.347957,4.648127,0.000000,0.004179
0.020000,1.985394,17.279594,0.243097,1.440919,4.648127,-0.000000,0.004721
0.020000,2.015142,17.279743,0.272845,1.533882,4.648127,0.000000,0.005294
0.020000,2.046749,17.279920,0.304452,1.626844,4.648127,-0.000000,0.005898
0.020000,2.080215,17.280128,0.337919,1.719807,4.648127,0.000000,0.006532
0.020000,2.115540,17.280370,0.373245,1.812770,4.648127,0.000000,0.007193
0.020000,2.152724,17.280651,0.410430,1.905732,4.648127,-0.000000,0.007882
0.020000,2.191766,17.280972,0.449474,1.998695,4.648127,0.000000,0.008597
0.020000,2.232668,17.281339,0.490377,2.091657,4.648127,-0.000000,0.009337
0.020000,2.275429,17.281755,0.533140,2.184620,4.648127,0.000000,0.010100
0.020000,2.320049,17.282223,0.577762,2.277582,4.648127,0.000000,0.010886
0.020000,2.366527,17.282748,0.624243,2.370545,4.648127,-0.000000,0.011692
0.020000,2.414864,17.283333,0.672584,2.463507,4.648127,0.000000,0.012518
0.020000,2.465059,17.283983,0.722784,2.556470,4.648127,0.000000,0.013362
0.020000,2.517114,17.284701,0.774843,2.649432,4.648127,-0.000000,0.014222
0.020000,2.571026,17.285491,0.828761,2.742395,4.648127,0.000000,0.015096
0.020000,2.626797,17.286358,0.884539,2.835357,4.648127,-0.000000,0.015984
0.020000,2.684426,17.287305,0.942175,2.928320,4.648127,0.000000,0.016882
0.020000,2.743913,17.288337,1.001671,3.021283,4.648127,0.000000,0.017790
0.020000,2.805258,17.289456,1.063027,3.114245,4.648127,-0.000000,0.018705
0.020000,2.868461,17.290668,1.126241,3.207208,4.648127,0.000000,0.019626
0.020000,2.933521,17.291975,1.191315,3.300170,4.648127,-0.000000,0.020551
0.020000,3.000440,17.293382,1.258248,3.393133,4.648127,0.000000,0.021477
0.020000,3.069215,17.294891,1.327040,3.486095,4.648127,0.000000,0.022402
0.020000,3.139849,17.296506,1.397692,3.579058,4.648127,-0.000000,0.023324
0.020000,3.212339,17.298231,1.470203,3.672020,4.648127,0.000000,0.024242
0.020000,3.286686,17.300067,1.544573,3.764983,4.648127,-0.000000,0.025152
0.020000,3.362890,17.302019,1.620802,3.857945,4.648127,0.000000,0.026053
0.020000,3.440952,17.304088,1.698890,3.950908,4.648127,-0.000000,0.026941
0.020000,3.520869,17.306277,1.778838,4.043870,4.648127,0.000000,0.027815
0.020000,3.602644,17.308588,1.860645,4.136833,4.648127,0.000000,0.028672
0.020000,3.686275,17.311021,1.944312,4.229796,4.648127,0.000000,0.029510
0.020000,3.771762,17.313580,2.029837,4.322758,4.648127,0.000000,0.030325
0.020000,3.859105,17.316264,2.117222,4.415721,4.648127,0.000000,0.031115
0.020000,3.948305,17.319075,2.206466,4.508683,4.648127,0.000000,0.031877
0.020000,4.039361,17.322012,2.297569,4.601646,4.648127,-0.000000,0.032609
0.020000,4.132273,17.325076,2.390532,4.694608,4.648127,0.000000,0.033308
0.020000,4.227041,17.328266,2.485353,4.787571,4.648127,-0.000000,0.033970
0.020000,4.323665,17.331580,2.582035,4.880533,4.648127,0.000000,0.034594
0.020000,4.422146,17.335017,2.680575,4.973496,4.648127,-0.000000,0.035174
0.020000,4.522482,17.338575,2.780974,5.066458,4.648127,0.000000,0.035710
0.020000,4.624675,17.342251,2.883233,5.159421,4.648127,0.000000,0.036197
0.020000,4.728724,17.346042,2.987351,5.252383,4.648127,-0.000000,0.036632
0.020000,4.834629,17.349944,3.093328,5.345346,4.648127,0.000000,0.037012
0.020000,4.942391,17.353953,3.201165,5.438309,4.648127,0.000000,0.037333
0.020000,5.052010,17.358062,3.310861,5.531271,4.648127,-0.000000,0.037593
0.020000,5.163486,17.362266,3.422416,5.624234,4.648127,0.000000,0.037788
0.020000,5.276819,17.366558,3.535830,5.717196,4.648127,-0.000000,0.037913
0.020000,5.392010,17.370932,3.651104,5.810159,4.648127,0.000000,0.037967
0.020000,5.509058,17.375377,3.768237,5.903121,4.648127,-0.000000,0.037944
0.020000,5.627965,17.379886,3.887229,5.996084,4.648127,0.000000,0.037842
0.020000,5.748730,17.384448,4.008080,6.089046,4.648127,0.000000,0.037657
0.020000,5.871354,17.389052,4.130790,6.182009,4.648127,-0.000000,0.037384
0.020000,5.995838,17.393686,4.255360,6.274971,4.648127,0.000000,0.037021
0.020000,6.122181,17.398337,4.381789,6.367934,4.648127,0.000000,0.036562
0.020000,6.250385,17.402992,4.510078,6.460896,4.648127,0.000000,0.036004
0.020000,6.380450,17.407635,4.640225,6.553859,4.648127,0.000000,0.035344
0.020000,6.512376,17.412250,4.772232,6.646822,4.648127,0.000000,0.034576
0.020000,6.646164,17.416820,4.906098,6.739784,4.648127,0.000000,0.033697
0.020000,6.781814,17.421326,5.041823,6.832747,4.648127,-0.000000,0.032703
0.020000,6.919328,17.425750,5.179408,6.925709,4.648127,0.000000,0.031588
0.020000,7.058704,17.430069,5.318852,7.018672,4.648127,0.000000,0.030350
0.020000,7.199945,17.434261,5.460155,7.111634,4.648127,-0.000000,0.028983
0.020000,7.343051,17.438304,5.603317,7.204597,4.648127,0.000000,0.027484
0.020000,7.488020,17.442172,5.748339,7.297559,4.648127,0.000000,0.025846
0.020000,7.634855,17.445839,5.895219,7.390522,4.648127,0.000000,0.024067
0.020000,7.783556,17.449277,6.043959,7.483484,4.648127,0.000000,0.022141
0.020000,7.934121,17.452456,6.194559,7.576447,4.648127,0.000000,0.020064
0.020000,8.086553,17.455346,6.347017,7.669409,4.648127,0.000000,0.017831
0.020000,8.240849,17.457915,6.501335,7.762372,4.648127,-0.000000,0.015438
0.020000,8.397010,17.460128,6.657512,7.855335,4.648127,0.000000,0.012879
0.020000,8.555036,17.461949,6.815549,7.948297,4.648127,0.000000,0.010149
0.020000,8.714926,17.463342,6.975444,8.041260,4.648127,-0.000000,0.007244
0.020000,8.876678,17.464266,7.137199,8.134222,4.648127,0.000000,0.004160
0.020000,9.040233,17.464681,7.300755,8.221375,4.357619,-14.525397,0.000891
0.020000,9.192811,17.465582,7.465996,8.302717,4.067111,-14.525397,0.016130
0.020000,9.359548,17.470323,7.632805,8.378249,3.776603,-14.525397,0.040704
0.020000,9.527570,17.479243,7.801068,8.447971,3.486095,-14.525397,0.065354
0.020000,9.696652,17.492406,7.970666,8.511883,3.195587,-14.525397,0.089982
0.020000,9.866574,17.509843,8.141485,8.569984,2.905079,-14.525397,0.114490
0.020000,10.037115,17.531562,8.313407,8.622276,2.614571,-14.525397,0.138777
0.020000,10.208059,17.557538,8.486318,8.668757,2.324063,-14.525397,0.162745
0.020000,10.379195,17.587720,8.660100,8.709428,2.033556,-14.525397,0.186299
0.020000,10.550322,17.622031,8.834637,8.744289,1.743048,-14.525397,0.209349
0.020000,10.721248,17.660369,9.009813,8.773340,1.452540,-14.525397,0.231812
0.020000,10.891792,17.702605,9.185512,8.796580,1.162032,-14.525397,0.253610
0.020000,11.061783,17.748594,9.361618,8.814011,0.871524,-14.525397,0.274676
0.020000,11.231067,17.798168,9.538015,8.825631,0.581016,-14.525397,0.294950
0.020000,11.399500,17.851147,9.714585,8.831441,0.290508,-14.525397,0.314381
0.020000,11.566903,17.907315,9.891163,8.826338,-0.255150,-27.282879,0.332921
0.020000,11.733113,17.966447,10.067581,8.815425,-0.545658,-14.525397,0.350533
0.020000,11.898027,18.028322,10.243722,8.798702,-0.836166,-14.525397,0.367193
0.020000,12.061553,18.092712,10.419471,8.776168,-1.126673,-14.525397,0.382885
0.020000,12.223611,18.159388,10.594711,8.747825,-1.417181,-14.525397,0.397600
0.020000,12.384130,18.228116,10.769326,8.713671,-1.707689,-14.525397,0.411334
0.020000,12.543048,18.298663,10.943199,8.673707,-1.998197,-14.525397,0.424090
0.020000,12.700309,18.370797,11.116216,8.627933,-2.288705,-14.525397,0.435875
0.020000,12.855864,18.444289,11.288259,8.576349,-2.579213,-14.525397,0.446701
0.020000,13.009670,18.518911,11.459212,8.518954,-2.869721,-14.525397,0.456581
0.020000,13.161686,18.594441,11.628959,8.455750,-3.160229,-14.525397,0.465534
0.020000,13.311877,18.670662,11.797384,8.386735,-3.450737,-14.525397,0.473579
0.020000,13.460206,18.747361,11.964370,8.311910,-3.741245,-14.525397,0.480739
0.020000,13.606640,18.824334,12.129802,8.231275,-4.031753,-14.525397,0.487038
0.020000,13.751144,18.901380,12.293563,8.144830,-4.322261,-14.525397,0.492500
0.020000,13.893685,18.978306,12.455537,8.052574,-4.612769,-14.525397,0.497152
0.020000,14.034270,19.054953,12.615659,7.959612,-4.648127,-1.767915,0.501022
0.020000,14.172958,19.131194,12.773921,7.866649,-4.648127,0.000000,0.504140
0.020000,14.309809,19.206917,12.930325,7.773687,-4.648127,-0.000000,0.506533
0.020000,14.444879,19.282016,13.084869,7.680724,-4.648127,0.000000,0.508230
0.020000,14.578223,19.356393,13.237554,7.587762,-4.648127,0.000000,0.509255
0.020000,14.709893,19.429957,13.388379,7.494799,-4.648127,-0.000000,0.509634
0.020000,14.839934,19.502622,13.537346,7.401837,-4.648127,0.000000,0.509390
0.020000,14.968391,19.574310,13.684453,7.308874,-4.648127,0.000000,0.508546
0.020000,15.095305,19.644948,13.829701,7.215911,-4.648127,-0.000000,0.507124
0.020000,15.220713,19.714469,13.973089,7.122949,-4.648127,0.000000,0.505145
0.020000,15.344649,19.782810,14.114619,7.029986,-4.648127,-0.000000,0.502629
0.020000,15.467143,19.849913,14.254289,6.937024,-4.648127,0.000000,0.499597
0.020000,15.588224,19.915726,14.392100,6.844061,-4.648127,-0.000000,0.496066
0.020000,15.707915,19.980201,14.528051,6.751099,-4.648127,0.000000,0.492057
0.020000,15.826237,20.043292,14.662143,6.658136,-4.648127,-0.000000,0.487587
0.020000,15.943210,20.104960,14.794377,6.565174,-4.648127,0.000000,0.482674
0.020000,16.058848,20.165169,14.924750,6.472211,-4.648127,-0.000000,0.477337
0.020000,16.173164,20.223887,15.053265,6.379249,-4.648127,0.000000,0.471593
0.020000,16.286168,20.281086,15.179920,6.286286,-4.648127,0.000000,0.465460
0.020000,16.397867,20.336740,15.304716,6.193324,-4.648127,0.000000,0.458956
0.020000,16.508265,20.390828,15.427653,6.100361,-4.648127,0.000000,0.452098
0.020000,16.617366,20.443333,15.548731,6.007398,-4.648127,0.000000,0.444903
0.020000,16.725169,20.494240,15.667949,5.914436,-4.648127,0.000000,0.437391
0.020000,16.831671,20.543539,15.785308,5.821473,-4.648127,-0.000000,0.429578
0.020000,16.936869,20.591221,15.900808,5.728511,-4.648127,-0.000000,0.421482
0.020000,17.040755,20.637282,16.014449,5.635548,-4.648127,0.000000,0.413123
0.020000,17.143323,20.681721,16.126230,5.542586,-4.648127,0.000000,0.404518
0.020000,17.244562,20.724540,16.236152,5.449623,-4.648127,-0.000000,0.395686
0.020000,17.344461,20.765744,16.344215,5.356661,-4.648127,0.000000,0.386645
0.020000,17.443007,20.805340,16.450419,5.263698,-4.648127,0.000000,0.377415
0.020000,17.540186,20.843339,16.554763,5.170736,-4.648127,0.000000,0.368014
0.020000,17.635982,20.879754,16.657248,5.077773,-4.648127,0.000000,0.358461
0.020000,17.730381,20.914603,16.757874,4.984811,-4.648127,0.000000,0.348775
0.020000,17.823364,20.947903,16.856640,4.891848,-4.648127,0.000000,0.338976
0.020000,17.914914,20.979676,16.953548,4.798885,-4.648127,-0.000000,0.329081
0.020000,18.005013,21.009946,17.048596,4.705923,-4.648127,-0.000000,0.319111
0.020000,18.093641,21.038739,17.141785,4.612960,-4.648127,0.000000,0.309082
0.020000,18.180781,21.066084,17.233114,4.519998,-4.648127,0.000000,0.299015
0.020000,18.266412,21.092009,17.322585,4.427035,-4.648127,-0.000000,0.288928
0.020000,18.350516,21.116549,17.410196,4.334073,-4.648127,0.000000,0.278837
0.020000,18.433073,21.139737,17.495948,4.241110,-4.648127,0.000000,0.268760
0.020000,18.514064,21.161608,17.579840,4.148148,-4.648127,0.000000,0.258716
0.020000,18.593470,21.182200,17.661873,4.055185,-4.648127,-0.000000,0.248719
0.020000,18.671274,21.201551,17.742048,3.962223,-4.648127,0.000000,0.238787
0.020000,18.747456,21.219700,17.820362,3.869260,-4.648127,0.000000,0.228934
0.020000,18.822000,21.236688,17.896818,3.776297,-4.648127,0.000000,0.219177
0.020000,18.894889,21.252556,17.971414,3.683335,-4.648127,0.000000,0.209528
0.020000,18.966106,21.267347,18.044151,3.590372,-4.648127,0.000000,0.200002
0.020000,19.035636,21.281103,18.115029,3.497410,-4.648127,-0.000000,0.190612
0.020000,19.103463,21.293866,18.184048,3.404447,-4.648127,0.000000,0.181369
0.020000,19.169575,21.305680,18.251207,3.311485,-4.648127,0.000000,0.172287
0.020000,19.233957,21.316589,18.316507,3.218522,-4.648127,-0.000000,0.163375
0.020000,19.296598,21.326634,18.379948,3.125560,-4.648127,0.000000,0.154645
0.020000,19.357484,21.335860,18.441530,3.032597,-4.648127,-0.000000,0.146104
0.020000,19.416605,21.344308,18.501252,2.939635,-4.648127,0.000000,0.137763
0.020000,19.473952,21.352022,18.559115,2.846672,-4.648127,-0.000000,0.129630
0.020000,19.529514,21.359041,18.615119,2.753710,-4.648127,-0.000000,0.121712
0.020000,19.583283,21.365409,18.669263,2.660747,-4.648127,0.000000,0.114016
0.020000,19.635250,21.371163,18.721549,2.567784,-4.648127,-0.000000,0.106549
0.020000,19.685409,21.376345,18.771975,2.474822,-4.648127,0.000000,0.099316
0.020000,19.733753,21.380991,18.820541,2.381859,-4.648127,0.000000,0.092323
0.020000,19.780276,21.385140,18.867249,2.288897,-4.648127,-0.000000,0.085574
0.020000,19.824972,21.388828,18.912097,2.195934,-4.648127,0.000000,0.079073
