dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.749484,16.268615,0.000039,0.003851,0.192537,9.626872,6.283034
0.020000,1.749487,16.268615,0.000042,0.000161,-0.184473,-18.850537,6.283037
0.020000,1.749495,16.268615,0.000049,0.000363,0.010079,9.727612,6.283045
0.020000,1.749507,16.268615,0.000062,0.000645,0.014107,0.201406,6.283057
0.020000,1.749528,16.268615,0.000082,0.001008,0.018130,0.201142,6.283077
0.020000,1.749557,16.268615,0.000111,0.001450,0.022144,0.200710,6.283106
0.020000,1.749596,16.268615,0.000151,0.001973,0.026145,0.200068,6.283145
0.020000,1.750165,16.268615,0.000719,0.028421,1.322359,64.810670,0.000011
0.020000,1.753349,16.268615,0.003903,0.159213,6.539631,260.863628,0.000075
0.020000,1.757280,16.268615,0.007834,0.196555,1.867109,-233.626128,0.000155
0.020000,1.762036,16.268616,0.012591,0.237827,2.063568,9.822958,0.000251
0.020000,1.767697,16.268618,0.018251,0.283025,2.259928,9.817994,0.000365
0.020000,1.774340,16.268621,0.024894,0.332150,2.456260,9.816584,0.000499
0.020000,1.782044,16.268625,0.032598,0.385201,2.652524,9.813205,0.000654
0.020000,1.790887,16.268632,0.041442,0.442175,2.848707,9.809162,0.000831
0.020000,1.800949,16.268641,0.051503,0.503071,3.044797,9.804486,0.001033
0.020000,1.812307,16.268654,0.062861,0.567887,3.240804,9.800371,0.001259
0.020000,1.825039,16.268672,0.075593,0.636620,3.436667,9.793149,0.001513
0.020000,1.839224,16.268695,0.089779,0.709269,3.632432,9.788253,0.001794
0.020000,1.854941,16.268726,0.105495,0.785830,3.828035,9.780165,0.002104
0.020000,1.872267,16.268765,0.122821,0.866300,4.023486,9.772511,0.002445
0.020000,1.891280,16.268815,0.141835,0.950674,4.218740,9.762706,0.002817
0.020000,1.912059,16.268878,0.162614,1.038951,4.413834,9.754708,0.003221
0.020000,1.934682,16.268956,0.185236,1.131125,4.608682,9.742397,0.003659
0.020000,1.959186,16.269051,0.209741,1.225227,4.705141,4.822946,0.004130
0.020000,1.985572,16.269167,0.236127,1.319293,4.703267,-0.093703,0.004634
0.020000,2.013838,16.269306,0.264393,1.413317,4.701209,-0.102879,0.005169
0.020000,2.043983,16.269470,0.294539,1.507298,4.699035,-0.108720,0.005735
0.020000,2.076007,16.269663,0.326564,1.601232,4.696703,-0.116571,0.006332
0.020000,2.109909,16.269888,0.360466,1.695116,4.694223,-0.124008,0.006957
0.020000,2.145687,16.270149,0.396245,1.788948,4.691605,-0.130899,0.007610
0.020000,2.183340,16.270448,0.433900,1.882725,4.688834,-0.138560,0.008290
0.020000,2.222867,16.270790,0.473428,1.976443,4.685921,-0.145659,0.008996
