dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.501446,5.299073,0.000039,0.003887,0.194348,9.717424,3.143023
0.020000,23.501411,5.299073,0.000074,0.001753,-0.106677,-15.051283,3.142989
0.020000,23.501332,5.299073,0.000153,0.003946,0.109615,10.814608,3.142911
0.020000,23.501191,5.299073,0.000293,0.007016,0.153533,2.195917,3.142772
0.020000,23.500972,5.299072,0.000513,0.010968,0.197563,2.201469,3.142555
0.020000,23.500656,5.299072,0.000829,0.015803,0.241774,2.210570,3.142242
0.020000,23.500225,5.299072,0.001259,0.021528,0.286256,2.224118,3.141816
0.020000,23.498169,5.299072,0.003316,0.102826,4.064866,188.930471,3.141258
0.020000,23.494306,5.299075,0.007179,0.193150,4.516230,22.568205,3.140551
0.020000,23.489534,5.299082,0.011950,0.238587,2.271859,-112.218537,3.139675
0.020000,23.483758,5.299096,0.017727,0.288809,2.511063,11.960166,3.138612
0.020000,23.476876,5.299121,0.024608,0.344080,2.763561,12.624901,3.137341
0.020000,23.468792,5.299161,0.032692,0.404202,3.006100,12.126964,3.135842
0.020000,23.459405,5.299224,0.042080,0.469378,3.258822,12.636088,3.134092
0.020000,23.448614,5.299315,0.052871,0.539557,3.508935,12.505690,3.132068
0.020000,23.436320,5.299447,0.065165,0.614728,3.758547,12.480600,3.129747
0.020000,23.422416,5.299630,0.079071,0.695288,4.027991,13.472193,3.127102
0.020000,23.406796,5.299880,0.094693,0.781071,4.289142,13.057553,3.124106
0.020000,23.389354,5.300214,0.112138,0.872278,4.560371,13.561446,3.120728
0.020000,23.369978,5.300655,0.131519,0.969062,4.839214,13.942146,3.116934
0.020000,23.348557,5.301229,0.152949,1.071453,5.119531,14.015852,3.112691
0.020000,23.324973,5.301966,0.176544,1.179764,5.415561,14.801484,3.107958
0.020000,23.299108,5.302905,0.202426,1.294105,5.717030,15.073433,3.102692
0.020000,23.270834,5.304088,0.230724,1.414911,6.040319,16.164497,3.096845
0.020000,23.240076,5.305564,0.261518,1.539698,6.239325,9.950254,3.090373
0.020000,23.206799,5.307389,0.294845,1.666355,6.332866,4.677054,3.083239
0.020000,23.170960,5.309623,0.330754,1.795423,6.453413,6.027356,3.075399
0.020000,23.132522,5.312336,0.369287,1.926669,6.562313,5.445016,3.066806
0.020000,23.091435,5.315608,0.410504,2.060848,6.708909,7.329776,3.057406
0.020000,23.047650,5.319529,0.454464,2.198000,6.857596,7.434368,3.047136
0.020000,23.001109,5.324200,0.501239,2.338736,7.036801,8.960262,3.035927
0.020000,22.951752,5.329739,0.550906,2.483362,7.231325,9.726210,3.023701
0.020000,22.899511,5.336278,0.603555,2.632449,7.454372,11.152314,3.010372
0.020000,22.844314,5.343969,0.659284,2.786474,7.701230,12.342896,2.995839
0.020000,22.786085,5.352987,0.718208,2.946175,7.985061,14.191580,2.979992
0.020000,22.724744,5.363529,0.780448,3.111998,8.291126,15.303264,2.962708
0.020000,22.660204,5.375825,0.846149,3.285043,8.652251,18.056245,2.943847
0.020000,22.592440,5.390124,0.915406,3.462844,8.890047,11.889788,2.923273
0.020000,22.521476,5.406700,0.988280,3.643712,9.043403,7.667797,2.900852
0.020000,22.447358,5.425852,1.064832,3.827589,9.193854,7.522543,2.876443
0.020000,22.370147,5.447916,1.145134,4.015121,9.376625,9.138565,2.849899
0.020000,22.289929,5.473261,1.229260,4.206308,9.559321,9.134793,2.821071
0.020000,22.206831,5.502288,1.317282,4.401115,9.740372,9.052547,2.789810
0.020000,22.121033,5.535427,1.409258,4.598754,9.881912,7.077022,2.755981
0.020000,22.032781,5.573132,1.505227,4.798478,9.986230,5.215858,2.719468
0.020000,21.942406,5.615862,1.605194,4.998351,9.993643,0.370668,2.680192
0.020000,21.850348,5.664063,1.709108,5.195680,9.866452,-6.359538,2.638122
0.020000,21.757157,5.718139,1.816852,5.387206,9.576318,-14.506718,2.593300
0.020000,21.663514,5.778416,1.928218,5.568297,9.054542,-26.088804,2.545853
0.020000,21.570220,5.845102,2.042894,5.733806,8.275428,-38.955682,2.496013
0.020000,21.478183,5.918239,2.160452,5.877905,7.204977,-53.522548,2.444128
0.020000,21.388372,5.997673,2.280351,5.994946,5.852010,-67.648368,2.390655
0.020000,21.301771,6.083033,2.401949,6.079898,4.247597,-80.220626,2.336155
0.020000,21.219307,6.173729,2.524530,6.129034,2.456805,-89.539616,2.281259
0.020000,21.141786,6.268987,2.647345,6.140774,0.587034,-93.488554,2.226630
0.020000,21.069834,6.367897,2.769658,6.115655,-1.255960,-92.149714,2.172923
0.020000,21.003865,6.469486,2.890786,6.056410,-2.962271,-85.315546,2.120735
0.020000,20.944072,6.572777,3.010136,5.967475,-4.446728,-74.222813,2.070578
0.020000,20.890441,6.676859,3.127223,5.854344,-5.656544,-60.490808,2.022854
0.020000,20.842788,6.780926,3.241682,5.722940,-6.570219,-45.683768,1.977848
0.020000,20.800813,6.884259,3.353215,5.576657,-7.314151,-37.196587,1.935751
0.020000,20.764122,6.986277,3.461630,5.420755,-7.795113,-24.048087,1.896649
0.020000,20.732257,7.086567,3.566860,5.261498,-7.962852,-8.386950,1.860531
0.020000,20.704747,7.184828,3.668899,5.101969,-7.976446,-0.679719,1.827327
0.020000,20.681129,7.280851,3.767784,4.944263,-7.885258,4.559402,1.796922
0.020000,20.660961,7.374502,3.863582,4.789878,-7.719258,8.300018,1.769174
0.020000,20.643836,7.465698,3.956373,4.639537,-7.517063,10.109732,1.743927
0.020000,20.629380,7.554399,4.046244,4.493542,-7.299763,10.864980,1.721015
