dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.553215,2.365972,0.000058,0.005806,0.290315,14.515759,0.054392
0.020000,7.553215,2.365972,0.000290,0.017419,0.580630,14.515759,0.054408
0.020000,7.553215,2.365972,0.000813,0.034838,0.870946,14.515759,0.054443
0.020000,7.553215,2.365972,0.001742,0.058063,1.161261,14.515759,0.054504
0.020000,7.553215,2.365972,0.003193,0.087095,1.451576,14.515759,0.054601
0.020000,7.553215,2.365972,0.005284,0.121932,1.741891,14.515759,0.054740
0.020000,7.553215,2.365972,0.008129,0.162577,2.032206,14.515759,0.054928
0.020000,7.553215,2.365972,0.011845,0.209027,2.322521,14.515759,0.055175
0.020000,7.553215,2.365972,0.016548,0.261284,2.612837,14.515759,0.055487
0.020000,7.558843,2.366285,0.022354,0.319347,2.903152,14.515759,0.055872
0.020000,7.565858,2.366679,0.029380,0.383216,3.193467,14.515759,0.056338
0.020000,7.574205,2.367152,0.037741,0.452892,3.483782,14.515759,0.056892
0.020000,7.584002,2.367714,0.047554,0.528374,3.774097,14.515759,0.057541
0.020000,7.595363,2.368372,0.058934,0.609662,4.064413,14.515759,0.058294
0.020000,7.608405,2.369139,0.071998,0.696756,4.354728,14.515759,0.059157
0.020000,7.623242,2.370025,0.086862,0.789657,4.645043,14.515759,0.060138
0.020000,7.639934,2.371039,0.103584,0.882558,4.645043,-0.000000,0.061240
0.020000,7.658478,2.372188,0.122165,0.975459,4.645043,0.000000,0.062463
0.020000,7.678876,2.373477,0.142603,1.068360,4.645043,-0.000000,0.063805
0.020000,7.701126,2.374915,0.164899,1.161261,4.645043,0.000000,0.065267
0.020000,7.725227,2.376510,0.189053,1.254162,4.645043,0.000000,0.066847
0.020000,7.751180,2.378269,0.215065,1.347062,4.645043,-0.000000,0.068546
0.020000,7.778983,2.380203,0.242936,1.439963,4.645043,0.000000,0.070361
0.020000,7.808636,2.382322,0.272664,1.532864,4.645043,-0.000000,0.072292
0.020000,7.840137,2.384636,0.304250,1.625765,4.645043,0.000000,0.074339
0.020000,7.873486,2.387156,0.337695,1.718666,4.645043,-0.000000,0.076499
0.020000,7.908682,2.389894,0.372997,1.811567,4.645043,0.000000,0.078771
0.020000,7.945724,2.392862,0.410157,1.904468,4.645043,-0.000000,0.081156
0.020000,7.984610,2.396074,0.449176,1.997368,4.645043,0.000000,0.083650
0.020000,8.025339,2.399542,0.490052,2.090269,4.645043,-0.000000,0.086253
0.020000,8.067909,2.403281,0.532786,2.183170,4.645043,0.000000,0.088963
0.020000,8.112320,2.407305,0.577379,2.276071,4.645043,0.000000,0.091779
0.020000,8.158568,2.411630,0.623829,2.368972,4.645043,0.000000,0.094699
0.020000,8.206653,2.416271,0.672138,2.461873,4.645043,0.000000,0.097720
0.020000,8.256573,2.421243,0.722304,2.554774,4.645043,-0.000000,0.100842
0.020000,8.308324,2.426564,0.774329,2.647674,4.645043,0.000000,0.104062
0.020000,8.361906,2.432250,0.828211,2.740575,4.645043,0.000000,0.107378
0.020000,8.417315,2.438318,0.883952,2.833476,4.645043,0.000000,0.110787
0.020000,8.474549,2.444787,0.941550,2.926377,4.645043,-0.000000,0.114288
0.020000,8.533605,2.451673,1.001007,3.019278,4.645043,0.000000,0.117879
0.020000,8.594481,2.458996,1.062321,3.112179,4.645043,0.000000,0.121555
0.020000,8.657173,2.466774,1.125494,3.205080,4.645043,0.000000,0.125316
0.020000,8.721678,2.475027,1.190525,3.297981,4.645043,-0.000000,0.129157
0.020000,8.787992,2.483772,1.257413,3.390881,4.645043,-0.000000,0.133077
0.020000,8.856113,2.493030,1.326160,3.483782,4.645043,0.000000,0.137072
0.020000,8.926035,2.502820,1.396764,3.576683,4.645043,0.000000,0.141138
0.020000,8.997756,2.513162,1.469227,3.669584,4.645043,-0.000000,0.145274
0.020000,9.071271,2.524075,1.543548,3.762485,4.645043,0.000000,0.149475
0.020000,9.146576,2.535580,1.619726,3.855386,4.645043,0.000000,0.153737
0.020000,9.223666,2.547697,1.697763,3.948287,4.645043,0.000000,0.158058
0.020000,9.302537,2.560446,1.777658,4.041187,4.645043,-0.000000,0.162433
0.020000,9.383184,2.573846,1.859411,4.134088,4.645043,0.000000,0.166859
0.020000,9.465602,2.587917,1.943021,4.226989,4.645043,0.000000,0.171332
0.020000,9.549786,2.602679,2.028490,4.319890,4.645043,0.000000,0.175847
0.020000,9.635731,2.618152,2.115817,4.412791,4.645043,0.000000,0.180400
0.020000,9.723432,2.634356,2.205002,4.505692,4.645043,-0.000000,0.184987
0.020000,9.812882,2.651309,2.296045,4.598593,4.645043,0.000000,0.189603
0.020000,9.904077,2.669030,2.388946,4.691493,4.645043,0.000000,0.194245
0.020000,9.997011,2.687538,2.483704,4.784394,4.645043,0.000000,0.198906
0.020000,10.091677,2.706851,2.580321,4.877295,4.645043,0.000000,0.203583
0.020000,10.188072,2.726987,2.678796,4.970196,4.645043,0.000000,0.208271
0.020000,10.286187,2.747964,2.779129,5.063097,4.645043,0.000000,0.212964
0.020000,10.386018,2.769798,2.881320,5.155998,4.645043,0.000000,0.217657
0.020000,10.487559,2.792505,2.985369,5.248899,4.645043,-0.000000,0.222346
0.020000,10.590804,2.816102,3.091276,5.341799,4.645043,0.000000,0.227024
0.020000,10.695746,2.840603,3.199041,5.434700,4.645043,-0.000000,0.231687
0.020000,10.802381,2.866023,3.308664,5.527601,4.645043,0.000000,0.236329
0.020000,10.910703,2.892376,3.420145,5.620502,4.645043,0.000000,0.240944
0.020000,11.020705,2.919674,3.533484,5.713403,4.645043,0.000000,0.245528
0.020000,11.132383,2.947930,3.648681,5.806304,4.645043,0.000000,0.250074
0.020000,11.245731,2.977154,3.765736,5.899205,4.645043,0.000000,0.254576
0.020000,11.360744,3.007358,3.884649,5.992105,4.645043,-0.000000,0.259028
0.020000,11.477418,3.038550,4.005421,6.085006,4.645043,0.000000,0.263426
0.020000,11.595747,3.070740,4.128050,6.177907,4.645043,0.000000,0.267762
0.020000,11.715727,3.103933,4.252537,6.270808,4.645043,0.000000,0.272030
0.020000,11.837354,3.138137,4.378882,6.363709,4.645043,0.000000,0.276226
0.020000,11.960624,3.173357,4.507085,6.456610,4.645043,0.000000,0.280342
0.020000,12.085535,3.209596,4.637146,6.549511,4.645043,0.000000,0.284372
0.020000,12.212082,3.246857,4.769066,6.642411,4.645043,0.000000,0.288310
0.020000,12.340264,3.285142,4.902843,6.735312,4.645043,-0.000000,0.292150
0.020000,12.470078,3.324451,5.038478,6.828213,4.645043,0.000000,0.295886
0.020000,12.601523,3.364782,5.175971,6.921114,4.645043,0.000000,0.299510
0.020000,12.734598,3.406134,5.315323,7.014015,4.645043,0.000000,0.303018
0.020000,12.869301,3.448500,5.456532,7.106916,4.645043,0.000000,0.306401
0.020000,13.005634,3.491878,5.599599,7.199817,4.645043,0.000000,0.309654
0.020000,13.143597,3.536258,5.744525,7.292717,4.645043,0.000000,0.312770
0.020000,13.283191,3.581632,5.891308,7.385618,4.645043,0.000000,0.315742
0.020000,13.424364,3.627972,6.039891,7.472713,4.354728,-14.515759,0.318564
0.020000,13.567007,3.675228,6.190158,7.554001,4.064413,-14.515759,0.321225
0.020000,13.711014,3.723348,6.341993,7.629483,3.774097,-14.515759,0.323718
0.020000,13.856282,3.772279,6.495280,7.699159,3.483782,-14.515759,0.326036
0.020000,14.002704,3.821962,6.649902,7.763028,3.193467,-14.515759,0.328173
0.020000,14.150179,3.872337,6.805743,7.821091,2.903152,-14.515759,0.330120
0.020000,14.298603,3.923345,6.962687,7.873348,2.612837,-14.515759,0.331874
0.020000,14.447876,3.974920,7.120619,7.919798,2.322521,-14.515759,0.333428
0.020000,14.597896,4.026997,7.279421,7.960442,2.032206,-14.515759,0.334778
0.020000,14.748564,4.079510,7.438978,7.995280,1.741891,-14.515759,0.335921
0.020000,14.899781,4.132390,7.599174,8.024312,1.451576,-14.515759,0.336852
0.020000,15.051447,4.185567,7.759893,8.047537,1.161261,-14.515759,0.337569
0.020000,15.203464,4.238972,7.921018,8.064956,0.870946,-14.515759,0.338069
0.020000,15.355734,4.292532,8.082433,8.076568,0.580630,-14.515759,0.338352
0.020000,15.508159,4.346176,8.244022,8.082375,0.290315,-14.515759,0.338415
