dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.436035,12.453075,0.000058,0.005810,0.290501,14.525060,4.713818
0.020000,13.436035,12.453036,0.000097,0.001932,-0.193893,-24.219685,4.713780
0.020000,13.436035,12.452949,0.000184,0.004348,0.120792,15.734235,4.713694
0.020000,13.436035,12.452795,0.000338,0.007732,0.169197,2.420225,4.713541
0.020000,13.436035,12.452553,0.000580,0.012087,0.217736,2.426951,4.713302
0.020000,13.436036,12.452204,0.000928,0.017417,0.266495,2.437976,4.712957
0.020000,13.436036,12.451730,0.001403,0.023728,0.315583,2.454391,4.712487
0.020000,13.436035,12.447984,0.005149,0.187304,8.178812,393.161461,4.711873
0.020000,13.436030,12.442491,0.010641,0.274619,4.365745,-190.653355,4.711093
0.020000,13.436018,12.435704,0.017429,0.339382,3.238124,-56.381045,4.710127
0.020000,13.435994,12.427488,0.025645,0.410783,3.570043,16.595916,4.708954
0.020000,13.435954,12.417704,0.035429,0.489215,3.921617,17.578740,4.707550
0.020000,13.435889,12.406211,0.046922,0.574655,4.271982,17.518228,4.705894
0.020000,13.435789,12.392870,0.060263,0.667062,4.620361,17.418972,4.703959
0.020000,13.435643,12.377536,0.075598,0.766728,4.983322,18.148014,4.701721
0.020000,13.435434,12.360069,0.093066,0.873405,5.333846,17.526222,4.699152
0.020000,13.435145,12.340388,0.112749,0.984169,5.538209,10.218131,4.696231
0.020000,13.434755,12.318481,0.134660,1.095523,5.567668,1.472955,4.692948
0.020000,13.434242,12.294339,0.158807,1.207370,5.592366,1.234904,4.689291
0.020000,13.433579,12.267949,0.185205,1.319909,5.626960,1.729689,4.685245
0.020000,13.432737,12.239295,0.213872,1.433318,5.670415,2.172767,4.680794
0.020000,13.431684,12.208359,0.244826,1.547721,5.720193,2.488903,4.675920
0.020000,13.430383,12.175124,0.278087,1.663032,5.765540,2.267351,4.670603
0.020000,13.428794,12.139569,0.313677,1.779504,5.823577,2.901857,4.664820
0.020000,13.426871,12.101674,0.351621,1.897218,5.885690,3.105624,4.658547
0.020000,13.424564,12.061411,0.391950,2.016417,5.959990,3.715014,4.651756
0.020000,13.421819,12.018759,0.434690,2.137027,6.030473,3.524150,4.644416
0.020000,13.418571,11.973685,0.479881,2.259535,6.125397,4.746212,4.636493
0.020000,13.414754,11.926162,0.527557,2.383800,6.213279,4.394078,4.627949
0.020000,13.410290,11.876158,0.577760,2.510168,6.318402,5.256167,4.618743
0.020000,13.405096,11.823633,0.630542,2.639060,6.444586,6.309213,4.608827
0.020000,13.399075,11.768554,0.685948,2.770348,6.564409,5.991120,4.598152
0.020000,13.392123,11.710880,0.744040,2.904563,6.710725,7.315794,4.586660
0.020000,13.384123,11.650570,0.804879,3.041939,6.868804,7.903981,4.574289
0.020000,13.374942,11.587579,0.868535,3.182822,7.044156,8.767593,4.560969
0.020000,13.364434,11.521861,0.935087,3.327599,7.238869,9.735641,4.546625
0.020000,13.352434,11.453374,1.004618,3.476531,7.446569,10.385020,4.531171
0.020000,13.338758,11.382069,1.077222,3.630222,7.684546,11.898841,4.514515
0.020000,13.323198,11.307906,1.153000,3.788880,7.932898,12.417594,4.496558
0.020000,13.305522,11.230841,1.232066,3.953323,8.222140,14.462100,4.477187
0.020000,13.285470,11.150840,1.314542,4.123778,8.522763,15.031167,4.456282
0.020000,13.262750,11.067884,1.400553,4.300569,8.839559,15.839801,4.433717
0.020000,13.237036,10.981962,1.490240,4.484365,9.189781,17.511078,4.409353
0.020000,13.207967,10.893087,1.583748,4.675395,9.551522,18.087038,4.383048
0.020000,13.175143,10.801304,1.681224,4.873790,9.919759,18.411854,4.354655
0.020000,13.138125,10.706695,1.782817,5.079669,10.293954,18.709756,4.324027
0.020000,13.096440,10.609399,1.888668,5.292509,10.641969,17.400730,4.291024
0.020000,13.049584,10.509618,1.998902,5.511707,10.959921,15.897627,4.255522
0.020000,12.997079,10.407723,2.113529,5.731389,10.984113,1.209589,4.217453
0.020000,12.938500,10.304254,2.232430,5.945005,10.680804,-15.165420,4.176823
0.020000,12.873483,10.199866,2.355409,6.148996,10.199521,-24.064189,4.133706
0.020000,12.801752,10.095315,2.482202,6.339606,9.530521,-33.449964,4.088251
0.020000,12.723153,9.991460,2.612446,6.512222,8.630790,-44.986566,4.040702
0.020000,12.637694,9.889235,2.745687,6.662055,7.491627,-56.958140,3.991393
0.020000,12.545571,9.789609,2.881378,6.784538,6.124158,-68.373471,3.940751
0.020000,12.447176,9.693543,3.018893,6.875744,4.560325,-78.191647,3.889280
0.020000,12.343093,9.601925,3.157554,6.933068,2.866186,-84.706955,3.837537
0.020000,12.234072,9.515522,3.296662,6.955417,1.117428,-87.437913,3.786099
0.020000,12.120980,9.434931,3.435532,6.943497,-0.595972,-85.669981,3.735531
0.020000,12.004746,9.360552,3.573527,6.899725,-2.188614,-79.632106,3.686347
0.020000,11.886305,9.292587,3.710083,6.827808,-3.595857,-70.362157,3.638990
0.020000,11.766545,9.231047,3.844729,6.732281,-4.776312,-59.022731,3.593813
0.020000,11.646273,9.175785,3.977089,6.618027,-5.712718,-46.820304,3.551072
0.020000,11.526241,9.126548,4.106827,6.486911,-6.555817,-42.154954,3.510946
0.020000,11.407085,9.082987,4.233696,6.343427,-7.174199,-30.919086,3.473529
0.020000,11.289281,9.044675,4.357574,6.193898,-7.476458,-15.112954,3.438824
0.020000,11.173200,9.011162,4.478395,6.041057,-7.642031,-8.278666,3.406783
0.020000,11.059132,8.981998,4.596133,5.886899,-7.707899,-3.293367,3.377315
0.020000,10.947292,8.956744,4.710789,5.732785,-7.705690,0.110432,3.350306
0.020000,10.837843,8.934986,4.822379,5.579508,-7.663842,2.092399,3.325622
0.020000,10.730906,8.916337,4.930930,5.427548,-7.598039,3.290155,3.303123
0.020000,10.626570,8.900441,5.036470,5.277028,-7.525988,3.602555,3.282667
0.020000,10.524901,8.886975,5.139027,5.127817,-7.460523,3.273242,3.264110
0.020000,10.425953,8.875643,5.238621,4.979731,-7.404328,2.809735,3.247317
0.020000,10.329770,8.866182,5.335269,4.832384,-7.367351,1.848865,3.232157
0.020000,10.236388,8.858352,5.428979,4.685502,-7.344089,1.163085,3.218507
0.020000,10.145842,8.851939,5.519751,4.538605,-7.344849,-0.037989,3.206250
0.020000,10.058168,8.846751,5.607579,4.391410,-7.359778,-0.746453,3.195280
0.020000,9.973398,8.842618,5.692449,4.243497,-7.395622,-1.792183,3.185494
0.020000,9.891530,8.839383,5.774382,4.096629,-7.343380,2.612064,3.176794
0.020000,9.812495,8.836909,5.853456,3.953680,-7.147472,9.795421,3.169084
0.020000,9.736213,8.835075,5.929760,3.815206,-6.923719,11.187669,3.162275
0.020000,9.662608,8.833777,6.003376,3.680805,-6.720048,10.183543,3.156286
0.020000,9.591612,8.832923,6.074377,3.550062,-6.537155,9.144625,3.151045
0.020000,9.523161,8.832434,6.142829,3.422607,-6.372712,8.222180,3.146487
0.020000,9.457198,8.832244,6.208793,3.298195,-6.220609,7.605131,3.142551
0.020000,9.393667,8.832292,6.272324,3.176527,-6.083406,6.860150,3.139184
0.020000,9.332520,8.832528,6.333471,3.057389,-5.956927,6.323963,3.136335
0.020000,9.273710,8.832909,6.392283,2.940566,-5.841115,5.790595,3.133958
0.020000,9.217194,8.833397,6.448801,2.825897,-5.733444,5.383544,3.132011
0.020000,9.162932,8.833961,6.503065,2.713228,-5.633482,4.998113,3.130454
0.020000,9.110888,8.834573,6.555113,2.602411,-5.540813,4.633411,3.129250
0.020000,9.061025,8.835212,6.604980,2.493334,-5.453850,4.348187,3.128366
0.020000,9.013312,8.835858,6.652698,2.385882,-5.372640,4.060492,3.127768
0.020000,8.967717,8.836497,6.698297,2.279966,-5.295788,3.842604,3.127427
0.020000,8.924212,8.837117,6.741807,2.175494,-5.223577,3.610525,3.127313
0.020000,8.882768,8.837707,6.783255,2.072390,-5.155212,3.418268,3.127401
0.020000,8.843360,8.838262,6.822666,1.970581,-5.090433,3.238926,3.127663
0.020000,8.805964,8.838776,6.860066,1.870002,-5.028991,3.072101,3.128077
0.020000,8.770555,8.839245,6.895478,1.770585,-4.970807,2.909243,3.128618
0.020000,8.737112,8.839669,6.928924,1.672278,-4.915360,2.772349,3.129265
0.020000,8.705614,8.840046,6.960424,1.575021,-4.862873,2.624344,3.129997
0.020000,8.676041,8.840377,6.989999,1.478760,-4.813064,2.490460,3.130794
0.020000,8.648374,8.840665,7.017668,1.383441,-4.765940,2.356163,3.131638
0.020000,8.622594,8.840910,7.043448,1.289011,-4.721471,2.223467,3.132511
0.020000,8.598687,8.841117,7.067357,1.195422,-4.679486,2.099262,3.133397
0.020000,8.576635,8.841288,7.089409,1.102615,-4.640343,1.957146,3.134279
0.020000,8.556425,8.841427,7.109620,1.010540,-4.603723,1.831005,3.135144
0.020000,8.538042,8.841538,7.128003,0.919144,-4.569794,1.696452,3.135978
0.020000,8.521475,8.841625,7.144570,0.828371,-4.538656,1.556895,3.136769
0.020000,8.506712,8.841691,7.159334,0.738168,-4.510172,1.424163,3.137505
0.020000,8.493706,8.841739,7.172339,0.650287,-4.394026,5.807332,3.138179
0.020000,8.482358,8.841775,7.183688,0.567426,-4.143053,12.548645,3.138785
0.020000,8.472549,8.841800,7.193497,0.490441,-3.849282,14.688533,3.139325
0.020000,8.464164,8.841817,7.201881,0.419242,-3.559928,14.467701,3.139796
0.020000,8.457089,8.841828,7.208957,0.353773,-3.273434,14.324715,3.140202
0.020000,8.451209,8.841835,7.214836,0.293977,-2.989835,14.179937,3.140545
0.020000,8.446413,8.841839,7.219633,0.239808,-2.708454,14.069078,3.140828
0.020000,8.442589,8.841842,7.223457,0.191220,-2.429388,13.953268,3.141056
0.020000,8.439625,8.841843,7.226421,0.148182,-2.151888,13.875027,3.141234
0.020000,8.437411,8.841844,7.228634,0.110682,-1.874983,13.845256,3.141368
0.020000,8.435838,8.841844,7.230208,0.078680,-1.600118,13.743213,3.141464
0.020000,8.434794,8.841844,7.231251,0.052171,-1.325459,13.732970,3.141528
0.020000,8.434171,8.841844,7.231874,0.031148,-1.051149,13.715484,3.141566
0.020000,8.433859,8.841844,7.232186,0.015603,-0.777244,13.695287,3.141585
0.020000,8.433749,8.841844,7.232297,0.005532,-0.503564,13.683989,3.141592
0.020000,8.433730,8.841844,7.232316,0.000932,-0.229985,13.678940,3.141593
0.020000,8.433730,8.841844,7.232316,0.000000,-0.046604,9.169038,3.141593
