dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.425619,12.451631,0.000058,0.005810,0.290501,14.525060,4.713818
0.020000,12.425619,12.451631,0.000291,0.017430,0.581002,14.525060,4.713780
0.020000,12.425619,12.451631,0.000813,0.034860,0.871504,14.525060,4.713694
0.020000,12.425619,12.451631,0.001743,0.058100,1.162005,14.525060,4.713541
0.020000,12.425619,12.451631,0.003196,0.087150,1.452506,14.525060,4.713302
0.020000,12.425619,12.451631,0.005287,0.122011,1.743007,14.525060,4.712957
0.020000,12.425619,12.451631,0.008134,0.162681,2.033508,14.525060,4.712487
0.020000,12.425618,12.448506,0.011852,0.209161,2.324010,14.525060,4.711873
0.020000,12.425614,12.443801,0.016559,0.261451,2.614511,14.525060,4.711093
0.020000,12.425604,12.437989,0.022369,0.319551,2.905012,14.525060,4.710127
0.020000,12.425584,12.430959,0.029399,0.383462,3.195513,14.525060,4.708954
0.020000,12.425549,12.422593,0.037765,0.453182,3.486014,14.525060,4.707550
0.020000,12.425494,12.412774,0.047584,0.528712,3.776516,14.525060,4.705894
0.020000,12.425409,12.401388,0.058972,0.610053,4.067017,14.525060,4.703959
0.020000,12.425284,12.388315,0.072044,0.697203,4.357518,14.525060,4.701721
0.020000,12.425106,12.373444,0.086918,0.790163,4.648019,14.525060,4.699152
0.020000,12.424860,12.356714,0.103651,0.883124,4.648019,0.000000,4.696231
0.020000,12.424529,12.338123,0.122243,0.976084,4.648019,0.000000,4.692948
0.020000,12.424094,12.317676,0.142694,1.069044,4.648019,0.000000,4.689291
0.020000,12.423534,12.295373,0.165005,1.162005,4.648019,0.000000,4.685245
0.020000,12.422825,12.271214,0.189174,1.254965,4.648019,0.000000,4.680794
0.020000,12.421939,12.245199,0.215203,1.347926,4.648019,0.000000,4.675920
0.020000,12.420848,12.217333,0.243091,1.440886,4.648019,0.000000,4.670603
0.020000,12.419520,12.187615,0.272839,1.533846,4.648019,0.000000,4.664820
0.020000,12.417919,12.156050,0.304445,1.626807,4.648019,0.000000,4.658547
0.020000,12.416005,12.122638,0.337911,1.719767,4.648019,0.000000,4.651756
0.020000,12.413735,12.087387,0.373236,1.812728,4.648019,0.000000,4.644416
0.020000,12.411063,12.050298,0.410420,1.905688,4.648019,0.000000,4.636493
0.020000,12.407937,12.011380,0.449463,1.998648,4.648019,0.000000,4.627949
0.020000,12.404301,11.970641,0.490366,2.091609,4.648019,0.000000,4.618743
0.020000,12.400092,11.928086,0.533128,2.184569,4.648019,0.000000,4.608827
0.020000,12.395244,11.883730,0.577749,2.277529,4.648019,0.000000,4.598152
0.020000,12.389682,11.837584,0.624229,2.370490,4.648019,0.000000,4.586660
0.020000,12.383326,11.789665,0.672568,2.463450,4.648019,0.000000,4.574289
0.020000,12.376087,11.739991,0.722767,2.556411,4.648019,0.000000,4.560969
0.020000,12.367868,11.688587,0.774825,2.649371,4.648019,0.000000,4.546625
0.020000,12.358563,11.635479,0.828742,2.742331,4.648019,0.000000,4.531171
0.020000,12.348057,11.580702,0.884518,2.835292,4.648019,0.000000,4.514515
0.020000,12.336224,11.524297,0.942154,2.928252,4.648019,0.000000,4.496558
0.020000,12.322925,11.466308,1.001648,3.021213,4.648019,0.000000,4.477187
0.020000,12.308009,11.406795,1.063002,3.114173,4.648019,0.000000,4.456282
0.020000,12.291313,11.345829,1.126215,3.207133,4.648019,0.000000,4.433717
0.020000,12.272659,11.283489,1.191287,3.300094,4.648019,0.000000,4.409353
0.020000,12.251854,11.219875,1.258219,3.393054,4.648019,0.000000,4.383048
0.020000,12.228693,11.155104,1.327009,3.486014,4.648019,0.000000,4.354655
0.020000,12.202953,11.089313,1.397659,3.578975,4.648019,0.000000,4.324027
