dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.415204,12.450186,0.000058,0.005810,0.290501,14.525060,4.713818
0.020000,11.415204,12.450225,0.000097,0.001932,-0.193893,-24.219685,4.713780
0.020000,11.415203,12.450312,0.000184,0.004348,0.120792,15.734235,4.713694
0.020000,11.415203,12.450467,0.000338,0.007732,0.169197,2.420225,4.713541
0.020000,11.415203,12.450708,0.000580,0.012087,0.217736,2.426951,4.713302
0.020000,11.415203,12.451057,0.000928,0.017417,0.266495,2.437976,4.712957
0.020000,11.415203,12.451531,0.001403,0.023728,0.315583,2.454391,4.712487
0.020000,11.415202,12.449027,0.003907,0.125185,5.072844,237.863065,4.711873
0.020000,11.415198,12.445110,0.007824,0.195859,3.533696,-76.957400,4.711093
0.020000,11.415190,12.440275,0.012659,0.241768,2.295469,-61.911359,4.710127
0.020000,11.415173,12.434431,0.018504,0.292218,2.522494,11.351221,4.708954
0.020000,11.415144,12.427482,0.025452,0.347418,2.759973,11.873954,4.707550
0.020000,11.415098,12.419337,0.033597,0.407263,2.992246,11.613642,4.705894
0.020000,11.415028,12.409905,0.043030,0.471621,3.217899,11.282679,4.703959
0.020000,11.414925,12.399094,0.053841,0.540573,3.447634,11.486745,4.701721
0.020000,11.414778,12.386819,0.066117,0.613798,3.661223,10.679446,4.699152
0.020000,11.414575,12.373039,0.079899,0.689080,3.764115,5.144586,4.696231
0.020000,11.414304,12.357765,0.095175,0.763824,3.737213,-1.345083,4.692948
0.020000,11.413947,12.341012,0.111932,0.837831,3.700349,-1.843200,4.689291
0.020000,11.413490,12.322796,0.130154,0.911097,3.663292,-1.852856,4.685245
0.020000,11.412912,12.303132,0.149826,0.983591,3.624691,-1.930061,4.680794
0.020000,11.412194,12.282040,0.170930,1.055233,3.582100,-2.129554,4.675920
0.020000,11.411314,12.259542,0.193446,1.125783,3.527508,-2.729557,4.670603
0.020000,11.410246,12.235661,0.217350,1.195219,3.471817,-2.784577,4.664820
0.020000,11.408966,12.210426,0.242618,1.263384,3.408229,-3.179379,4.658547
0.020000,11.407445,12.183865,0.269222,1.330207,3.341123,-3.355294,4.651756
0.020000,11.405652,12.156015,0.297130,1.395382,3.258791,-4.116627,4.644416
0.020000,11.403555,12.126912,0.326309,1.458953,3.178513,-4.013906,4.636493
0.020000,11.401121,12.096599,0.356719,1.520519,3.078317,-5.009812,4.627949
0.020000,11.398312,12.065124,0.388318,1.579969,2.972483,-5.291690,4.618743
0.020000,11.395089,12.032540,0.421062,1.637196,2.861366,-5.555822,4.608827
0.020000,11.391413,11.998905,0.454897,1.691716,2.726000,-6.768320,4.598152
0.020000,11.387241,11.964288,0.489765,1.743413,2.584848,-7.057576,4.586660
0.020000,11.382529,11.928760,0.525604,1.791943,2.426486,-7.918112,4.574289
0.020000,11.377231,11.892404,0.562343,1.836982,2.251960,-8.726293,4.560969
0.020000,11.371301,11.855312,0.599907,1.878183,2.060048,-9.595616,4.546625
0.020000,11.364692,11.817585,0.638209,1.915080,1.844862,-10.759281,4.531171
0.020000,11.357357,11.779334,0.677156,1.947357,1.613835,-11.551372,4.514515
0.020000,11.349251,11.740687,0.716645,1.974441,1.354193,-12.982118,4.496558
0.020000,11.340328,11.701775,0.756566,1.996055,1.080736,-13.672837,4.477187
0.020000,11.330549,11.662750,0.796798,2.011604,0.777461,-15.163760,4.456282
0.020000,11.319877,11.623773,0.837209,2.020577,0.448617,-16.442171,4.433717
0.020000,11.308282,11.585017,0.877663,2.022687,0.105534,-17.154180,4.409353
0.020000,11.295742,11.546663,0.918014,2.017561,-0.256314,-18.092391,4.383048
0.020000,11.282243,11.508904,0.958114,2.004988,-0.628682,-18.618411,4.354655
0.020000,11.267782,11.471930,0.997815,1.985055,-0.996643,-18.398006,4.324027
0.020000,11.252366,11.435932,1.036976,1.958027,-1.351377,-17.736714,4.291024
0.020000,11.236009,11.401085,1.075470,1.924735,-1.664622,-15.662234,4.255522
0.020000,11.218747,11.367568,1.113171,1.885046,-1.984439,-15.990887,4.217453
0.020000,11.200623,11.335541,1.149971,1.839959,-2.254363,-13.496194,4.176823
0.020000,11.181675,11.305104,1.185824,1.792668,-2.364558,-5.509765,4.133706
0.020000,11.161911,11.276285,1.220769,1.747235,-2.271620,4.646926,4.088251
0.020000,11.141299,11.249040,1.254932,1.708175,-1.953007,15.930629,4.040702
0.020000,11.119749,11.223255,1.288538,1.680272,-1.395138,27.893486,3.991393
0.020000,11.097100,11.198758,1.321900,1.668132,-0.606998,39.406985,3.940751
0.020000,11.073121,11.175346,1.355413,1.675634,0.375084,49.104112,3.889280
0.020000,11.047516,11.152811,1.389522,1.705459,1.491256,55.808601,3.837537
0.020000,11.019947,11.130969,1.424695,1.758656,2.659823,58.428317,3.786099
0.020000,10.990063,11.109683,1.461385,1.834501,3.792270,56.622378,3.735531
0.020000,10.957534,11.088879,1.499997,1.930610,4.805466,50.659808,3.686347
0.020000,10.922084,11.068550,1.540863,2.043263,5.632621,41.357729,3.638990
0.020000,10.883514,11.048744,1.584221,2.167903,6.232037,29.970814,3.593813
0.020000,10.841716,11.029553,1.630215,2.299690,6.589334,17.864833,3.551072
0.020000,10.796694,11.011098,1.678871,2.432835,6.657260,3.396283,3.510946
0.020000,10.748548,10.993509,1.730130,2.562942,6.505311,-7.597411,3.473529
0.020000,10.697431,10.976896,1.783879,2.687458,6.225807,-13.975203,3.438824
0.020000,10.643555,10.961352,1.839952,2.803660,5.810122,-20.784269,3.406783
0.020000,10.587175,10.946947,1.898143,2.909553,5.294660,-25.773080,3.377315
0.020000,10.528573,10.933722,1.958219,3.003784,4.711542,-29.155917,3.350306
0.020000,10.468046,10.921696,2.019929,3.085499,4.085727,-31.290741,3.325622
0.020000,10.405897,10.910863,2.083015,3.154300,3.440083,-32.282192,3.303123
0.020000,10.342427,10.901199,2.147217,3.210069,2.788432,-32.582562,3.282667
0.020000,10.277933,10.892660,2.212274,3.252869,2.139977,-32.422761,3.264110
0.020000,10.212700,10.885193,2.277933,3.282958,1.504474,-31.775149,3.247317
0.020000,10.147004,10.878734,2.343945,3.300611,0.882671,-31.090148,3.232157
0.020000,10.081110,10.873211,2.410070,3.306255,0.282157,-30.025678,3.218507
0.020000,10.015271,10.868550,2.476074,3.300203,-0.302588,-29.237288,3.206250
0.020000,9.949727,10.864673,2.541733,3.282908,-0.864748,-28.108004,3.195280
0.020000,9.884711,10.861504,2.606827,3.254701,-1.410359,-27.280516,3.185494
0.020000,9.820409,10.858964,2.671179,3.217599,-1.855102,-22.237140,3.176794
0.020000,9.756947,10.856979,2.734672,3.174653,-2.147304,-14.610145,3.169084
0.020000,9.694421,10.855476,2.797215,3.127186,-2.373347,-11.302101,3.162275
0.020000,9.632917,10.854392,2.858729,3.075686,-2.574981,-10.081717,3.156286
0.020000,9.572511,10.853666,2.919140,3.020528,-2.757897,-9.145789,3.151045
0.020000,9.513272,10.853243,2.978380,2.962032,-2.924812,-8.345754,3.146487
0.020000,9.455261,10.853076,3.036391,2.900542,-3.074499,-7.484360,3.142551
0.020000,9.398535,10.853119,3.093117,2.836289,-3.212667,-6.908428,3.139184
0.020000,9.343145,10.853334,3.148507,2.769513,-3.338765,-6.304869,3.136335
0.020000,9.289138,10.853684,3.202515,2.700405,-3.455424,-5.832949,3.133958
0.020000,9.236557,10.854138,3.255098,2.629151,-3.562693,-5.363449,3.132011
0.020000,9.185442,10.854669,3.306216,2.555907,-3.662183,-4.974487,3.130454
0.020000,9.135829,10.855253,3.355832,2.480802,-3.755276,-4.654697,3.129250
0.020000,9.087754,10.855868,3.403912,2.403962,-3.841995,-4.335947,3.128366
0.020000,9.041249,10.856498,3.450421,2.325488,-3.923688,-4.084629,3.127768
0.020000,8.996343,10.857128,3.495331,2.245486,-4.000118,-3.821482,3.127427
0.020000,8.953067,10.857744,3.538612,2.164036,-4.072501,-3.619156,3.127313
0.020000,8.911447,10.858337,3.580236,2.081219,-4.140853,-3.417603,3.127401
0.020000,8.871509,10.858899,3.620178,1.997107,-4.205576,-3.236143,3.127663
0.020000,8.833277,10.859425,3.658414,1.911768,-4.266961,-3.069259,3.128077
0.020000,8.796775,10.859909,3.694919,1.825260,-4.325369,-2.920412,3.128618
