dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.451422,3.203820,0.000058,0.005787,0.289352,14.467593,6.281731
0.020000,0.451401,3.203820,0.000078,0.001006,-0.239056,-26.420379,6.281751
0.020000,0.451356,3.203820,0.000123,0.002263,0.062866,15.096071,6.281796
0.020000,0.451276,3.203820,0.000204,0.004023,0.087999,1.256689,6.281875
0.020000,0.451150,3.203820,0.000329,0.006286,0.113114,1.255729,6.282000
0.020000,0.450969,3.203820,0.000510,0.009049,0.138197,1.254157,6.282179
0.020000,0.450723,3.203820,0.000757,0.012314,0.163234,1.251818,6.282423
0.020000,0.450401,3.203821,0.001078,0.016078,0.188205,1.248555,6.282741
0.020000,0.449994,3.203821,0.001485,0.020340,0.213089,1.244209,6.283143
0.020000,0.454792,3.203822,0.006283,0.239889,10.977475,538.219285,0.000455
0.020000,0.461187,3.203827,0.012678,0.319763,3.993679,-349.189755,0.001056
0.020000,0.468799,3.203837,0.020289,0.380568,3.040266,-47.670680,0.001770
0.020000,0.477732,3.203857,0.029223,0.446678,3.305465,13.259954,0.002608
0.020000,0.488094,3.203889,0.039585,0.518096,3.570939,13.273687,0.003579
0.020000,0.499990,3.203938,0.051481,0.594801,3.835220,13.214066,0.004692
0.020000,0.513527,3.204010,0.065018,0.676834,4.101662,13.322112,0.005957
0.020000,0.528757,3.204112,0.080249,0.761552,4.235913,6.712561,0.007377
0.020000,0.545683,3.204250,0.097175,0.846310,4.237874,0.098048,0.008953
0.020000,0.564304,3.204433,0.115797,0.931105,4.239742,0.093397,0.010684
0.020000,0.584621,3.204669,0.136116,1.015936,4.241544,0.090064,0.012568
0.020000,0.606636,3.204968,0.158132,1.100821,4.244272,0.136438,0.014604
0.020000,0.630349,3.205340,0.181848,1.185796,4.248736,0.223183,0.016791
0.020000,0.655761,3.205797,0.207264,1.270798,4.250093,0.067870,0.019129
0.020000,0.682872,3.206349,0.234381,1.355871,4.253690,0.179824,0.021615
0.020000,0.711686,3.207010,0.263202,1.441052,4.259044,0.267700,0.024248
0.020000,0.742202,3.207793,0.293728,1.526290,4.261911,0.143343,0.027026
0.020000,0.774421,3.208711,0.325961,1.611613,4.266127,0.210828,0.029949
0.020000,0.808345,3.209779,0.359901,1.697047,4.271684,0.277811,0.033013
0.020000,0.843975,3.211013,0.395553,1.782575,4.276420,0.236842,0.036217
0.020000,0.881312,3.212428,0.432917,1.868188,4.280656,0.211776,0.039559
0.020000,0.920358,3.214042,0.471996,1.953951,4.288130,0.373711,0.043037
0.020000,0.961113,3.215871,0.512792,2.039796,4.292270,0.206976,0.046647
0.020000,1.003579,3.217933,0.555308,2.125820,4.301213,0.447160,0.050388
0.020000,1.047757,3.220246,0.599547,2.211947,4.306340,0.256378,0.054257
