dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.449952,2.193404,0.000058,0.005787,0.289352,14.467593,6.281731
0.020000,0.449952,2.193404,0.000289,0.017361,0.578704,14.467593,6.281751
0.020000,0.449952,2.193404,0.000810,0.034722,0.868056,14.467593,6.281796
0.020000,0.449952,2.193404,0.001736,0.057870,1.157407,14.467593,6.281875
0.020000,0.449952,2.193404,0.003183,0.086806,1.446759,14.467593,6.282000
0.020000,0.449952,2.193404,0.005266,0.121528,1.736111,14.467593,6.282179
0.020000,0.449952,2.193404,0.008102,0.162037,2.025463,14.467593,6.282423
0.020000,0.449952,2.193404,0.011806,0.208333,2.314815,14.467593,6.282741
0.020000,0.449952,2.193404,0.016493,0.260417,2.604167,14.467593,6.283143
0.020000,0.455252,2.193405,0.022280,0.318287,2.893519,14.467593,0.000455
0.020000,0.462254,2.193410,0.029282,0.381944,3.182870,14.467593,0.001056
0.020000,0.470587,2.193422,0.037616,0.451389,3.472222,14.467593,0.001770
0.020000,0.480367,2.193444,0.047396,0.526620,3.761574,14.467593,0.002608
0.020000,0.491710,2.193479,0.058738,0.607639,4.050926,14.467593,0.003579
0.020000,0.504731,2.193533,0.071759,0.694444,4.340278,14.467593,0.004692
0.020000,0.519545,2.193611,0.086574,0.787037,4.629630,14.467593,0.005957
0.020000,0.536211,2.193723,0.103241,0.879630,4.629630,-0.000000,0.007377
0.020000,0.554729,2.193874,0.121759,0.972222,4.629630,0.000000,0.008953
0.020000,0.575099,2.194074,0.142130,1.064815,4.629630,0.000000,0.010684
0.020000,0.597320,2.194332,0.164352,1.157407,4.629630,-0.000000,0.012568
0.020000,0.621391,2.194659,0.188426,1.250000,4.629630,0.000000,0.014604
0.020000,0.647314,2.195066,0.214352,1.342593,4.629630,0.000000,0.016791
0.020000,0.675087,2.195565,0.242130,1.435185,4.629630,-0.000000,0.019129
0.020000,0.704711,2.196169,0.271759,1.527778,4.629630,0.000000,0.021615
0.020000,0.736184,2.196891,0.303241,1.620370,4.629630,-0.000000,0.024248
0.020000,0.769506,2.197745,0.336574,1.712963,4.629630,0.000000,0.027026
0.020000,0.804677,2.198747,0.371759,1.805556,4.629630,-0.000000,0.029949
0.020000,0.841696,2.199913,0.408796,1.898148,4.629630,0.000000,0.033013
0.020000,0.880562,2.201259,0.447685,1.990741,4.629630,-0.000000,0.036217
0.020000,0.921273,2.202802,0.488426,2.083333,4.629630,0.000000,0.039559
0.020000,0.963829,2.204561,0.531019,2.175926,4.629630,-0.000000,0.043037
0.020000,1.008229,2.206553,0.575463,2.268519,4.629630,0.000000,0.046647
0.020000,1.054471,2.208799,0.621759,2.361111,4.629630,0.000000,0.050388
0.020000,1.102553,2.211317,0.669907,2.453704,4.629630,0.000000,0.054257
0.020000,1.152474,2.214128,0.719907,2.546296,4.629630,0.000000,0.058251
0.020000,1.204231,2.217253,0.771759,2.638889,4.629630,-0.000000,0.062367
0.020000,1.257823,2.220714,0.825463,2.731481,4.629630,0.000000,0.066601
0.020000,1.313247,2.224532,0.881019,2.824074,4.629630,0.000000,0.070951
0.020000,1.370501,2.228730,0.938426,2.916667,4.629630,0.000000,0.075413
0.020000,1.429581,2.233330,0.997685,3.009259,4.629630,-0.000000,0.079982
0.020000,1.490486,2.238355,1.058796,3.101852,4.629630,-0.000000,0.084656
0.020000,1.553210,2.243829,1.121759,3.194444,4.629630,0.000000,0.089430
0.020000,1.617751,2.249775,1.186574,3.287037,4.629630,0.000000,0.094300
0.020000,1.684106,2.256217,1.253241,3.379630,4.629630,-0.000000,0.099261
0.020000,1.752270,2.263179,1.321759,3.472222,4.629630,0.000000,0.104309
0.020000,1.822239,2.270686,1.392130,3.564815,4.629630,-0.000000,0.109439
0.020000,1.894008,2.278761,1.464352,3.657407,4.629630,0.000000,0.114646
0.020000,1.967573,2.287430,1.538426,3.750000,4.629630,-0.000000,0.119924
0.020000,2.042929,2.296715,1.614352,3.842593,4.629630,0.000000,0.125270
0.020000,2.120070,2.306642,1.692130,3.935185,4.629630,0.000000,0.130676
0.020000,2.198992,2.317234,1.771759,4.027778,4.629630,-0.000000,0.136137
0.020000,2.279689,2.328515,1.853241,4.120370,4.629630,0.000000,0.141648
0.020000,2.362154,2.340509,1.936574,4.212963,4.629630,0.000000,0.147203
0.020000,2.446383,2.353240,2.021759,4.305556,4.629630,0.000000,0.152794
0.020000,2.532368,2.366729,2.108796,4.398148,4.629630,0.000000,0.158417
0.020000,2.620104,2.381000,2.197685,4.490741,4.629630,0.000000,0.164064
0.020000,2.709583,2.396075,2.288426,4.583333,4.629630,0.000000,0.169728
0.020000,2.800800,2.411975,2.381019,4.675926,4.629630,0.000000,0.175404
0.020000,2.893748,2.428721,2.475463,4.768519,4.629630,-0.000000,0.181083
0.020000,2.988420,2.446333,2.571759,4.861111,4.629630,-0.000000,0.186760
0.020000,3.084809,2.464831,2.669907,4.953704,4.629630,0.000000,0.192427
0.020000,3.182909,2.484233,2.769907,5.046296,4.629630,0.000000,0.198076
0.020000,3.282712,2.504558,2.871759,5.138889,4.629630,-0.000000,0.203700
0.020000,3.384212,2.525822,2.975463,5.231481,4.629630,0.000000,0.209293
0.020000,3.487402,2.548040,3.081019,5.324074,4.629630,0.000000,0.214845
0.020000,3.592277,2.571229,3.188426,5.416667,4.629630,-0.000000,0.220350
0.020000,3.698828,2.595402,3.297685,5.509259,4.629630,0.000000,0.225800
0.020000,3.807051,2.620571,3.408796,5.601852,4.629630,-0.000000,0.231188
0.020000,3.916939,2.646748,3.521759,5.694444,4.629630,0.000000,0.236504
0.020000,4.028486,2.673944,3.636574,5.787037,4.629630,0.000000,0.241742
0.020000,4.141688,2.702166,3.753241,5.879630,4.629630,-0.000000,0.246893
0.020000,4.256538,2.731424,3.871759,5.972222,4.629630,0.000000,0.251950
0.020000,4.373033,2.761722,3.992130,6.064815,4.629630,-0.000000,0.256905
0.020000,4.491168,2.793065,4.114352,6.157407,4.629630,-0.000000,0.261748
0.020000,4.610939,2.825456,4.238426,6.250000,4.629630,0.000000,0.266474
0.020000,4.732343,2.858898,4.364352,6.342593,4.629630,0.000000,0.271072
0.020000,4.855378,2.893389,4.492130,6.435185,4.629630,-0.000000,0.275535
0.020000,4.980040,2.928928,4.621759,6.527778,4.629630,0.000000,0.279855
0.020000,5.106330,2.965510,4.753241,6.620370,4.629630,0.000000,0.284023
0.020000,5.234246,3.003132,4.886574,6.712963,4.629630,-0.000000,0.288031
0.020000,5.363787,3.041784,5.021759,6.805556,4.629630,0.000000,0.291871
0.020000,5.494955,3.081459,5.158796,6.898148,4.629630,0.000000,0.295535
0.020000,5.627751,3.122144,5.297685,6.990741,4.629630,0.000000,0.299013
0.020000,5.762178,3.163827,5.438426,7.083333,4.629630,0.000000,0.302298
0.020000,5.898238,3.206491,5.581019,7.175926,4.629630,-0.000000,0.305381
0.020000,6.035936,3.250120,5.725463,7.268519,4.629630,0.000000,0.308252
0.020000,6.175277,3.294693,5.871759,7.361111,4.629630,-0.000000,0.310904
0.020000,6.316266,3.340188,6.019907,7.453704,4.629630,-0.000000,0.313327
0.020000,6.458912,3.386581,6.169907,7.546296,4.629630,0.000000,0.315512
0.020000,6.603221,3.433845,6.321759,7.638889,4.629630,-0.000000,0.317450
0.020000,6.749203,3.481949,6.475463,7.731481,4.629630,0.000000,0.319133
0.020000,6.896868,3.530861,6.631019,7.824074,4.629630,0.000000,0.320549
0.020000,7.046228,3.580547,6.788426,7.916667,4.629630,-0.000000,0.321690
0.020000,7.197295,3.630969,6.947685,8.009259,4.629630,0.000000,0.322546
0.020000,7.350082,3.682085,7.108796,8.101852,4.629630,0.000000,0.323106
0.020000,7.504605,3.733852,7.271759,8.194444,4.629630,-0.000000,0.323361
0.020000,7.660878,3.786222,7.436574,8.287037,4.629630,0.000000,0.323299
0.020000,7.818919,3.839145,7.603241,8.379630,4.629630,-0.000000,0.322911
0.020000,7.978746,3.892567,7.771759,8.472222,4.629630,0.000000,0.322184
0.020000,8.140377,3.946430,7.942130,8.564815,4.629630,0.000000,0.321107
0.020000,8.303834,4.000674,8.114352,8.657407,4.629630,-0.000000,0.319669
0.020000,8.469137,4.055232,8.288426,8.750000,4.629630,0.000000,0.317858
0.020000,8.636309,4.110037,8.464352,8.842593,4.629630,0.000000,0.315660
0.020000,8.805373,4.165012,8.642130,8.935185,4.629630,-0.000000,0.313064
0.020000,8.976353,4.220082,8.821759,9.027778,4.629630,0.000000,0.310056
0.020000,9.149273,4.275163,9.003241,9.120370,4.629630,-0.000000,0.306622
0.020000,9.324161,4.330168,9.186574,9.212963,4.629630,0.000000,0.302749
0.020000,9.501041,4.385004,9.371759,9.305556,4.629630,0.000000,0.298422
0.020000,9.679885,4.439556,9.558738,9.392361,4.340278,-14.467593,0.293629
0.020000,9.860609,4.493689,9.747396,9.473380,4.050926,-14.467593,0.288358
0.020000,10.043128,4.547264,9.937616,9.548611,3.761574,-14.467593,0.282598
0.020000,10.227356,4.600142,10.129282,9.618056,3.472222,-14.467593,0.276342
0.020000,10.413206,4.652178,10.322280,9.681713,3.182870,-14.467593,0.269579
0.020000,10.600589,4.703228,10.516493,9.739583,2.893519,-14.467593,0.262303
0.020000,10.789414,4.753145,10.711806,9.791667,2.604167,-14.467593,0.254508
0.020000,10.979589,4.801784,10.908102,9.837963,2.314815,-14.467593,0.246189
0.020000,11.171016,4.848996,11.105266,9.878472,2.025463,-14.467593,0.237342
0.020000,11.363598,4.894636,11.303183,9.913194,1.736111,-14.467593,0.227966
0.020000,11.557232,4.938557,11.501736,9.942130,1.446759,-14.467593,0.218061
0.020000,11.751811,4.980618,11.700810,9.965278,1.157407,-14.467593,0.207629
0.020000,11.947225,5.020677,11.900289,9.982639,0.868056,-14.467593,0.196673
0.020000,12.143361,5.058597,12.100058,9.994213,0.578704,-14.467593,0.185200
0.020000,12.340098,5.094244,12.300000,10.000000,0.289352,-14.467593,0.173218
0.020000,12.537314,5.127493,12.500000,10.000000,0.000000,-14.467593,0.160738
0.020000,12.734936,5.158229,12.700000,10.000000,0.000000,0.000000,0.147770
0.020000,12.932947,5.186353,12.900000,10.000000,0.000000,0.000000,0.134321
0.020000,13.131325,5.211763,13.100000,10.000000,0.000000,0.000000,0.120401
0.020000,13.330042,5.234365,13.300000,10.000000,0.000000,0.000000,0.106020
0.020000,13.529068,5.254061,13.500000,10.000000,0.000000,0.000000,0.091193
0.020000,13.728367,5.270761,13.700000,10.000000,0.000000,0.000000,0.075933
0.020000,13.927901,5.284376,13.900000,10.000000,0.000000,0.000000,0.060258
0.020000,14.127591,5.294821,14.099965,9.996463,-0.176859,-8.842954,0.044190
0.020000,14.327295,5.302014,14.299801,9.987139,-0.466211,-14.467593,0.027757
0.020000,14.526847,5.305886,14.499392,9.972027,-0.755563,-14.467593,0.010992
