dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.448483,1.182988,0.000058,0.005787,0.289352,14.467593,6.281731
0.020000,0.448503,1.182988,0.000078,0.001006,-0.239056,-26.420379,6.281751
0.020000,0.448548,1.182988,0.000123,0.002263,0.062866,15.096071,6.281796
0.020000,0.448628,1.182988,0.000204,0.004023,0.087999,1.256689,6.281875
0.020000,0.448754,1.182988,0.000329,0.006286,0.113114,1.255729,6.282000
0.020000,0.448935,1.182988,0.000510,0.009049,0.138197,1.254157,6.282179
0.020000,0.449181,1.182988,0.000757,0.012314,0.163234,1.251818,6.282423
0.020000,0.449503,1.182987,0.001078,0.016078,0.188205,1.248555,6.282741
0.020000,0.449910,1.182987,0.001485,0.020340,0.213089,1.244209,6.283143
0.020000,0.455711,1.182989,0.007287,0.290090,13.487487,663.719911,0.000455
0.020000,0.463321,1.182994,0.014896,0.380465,4.518760,-448.436363,0.001056
0.020000,0.472376,1.183007,0.023951,0.452758,3.614646,-45.205681,0.001770
0.020000,0.483003,1.183030,0.034578,0.531330,3.928627,15.699062,0.002608
0.020000,0.495326,1.183069,0.046902,0.616180,4.242466,15.691955,0.003579
0.020000,0.509471,1.183127,0.061047,0.707266,4.554335,15.593430,0.004692
0.020000,0.525564,1.183213,0.077139,0.804629,4.868128,15.689663,0.005957
0.020000,0.543665,1.183333,0.095242,0.905111,5.024085,7.797823,0.007377
0.020000,0.563776,1.183498,0.115353,1.005555,5.022215,-0.093478,0.008953
0.020000,0.585894,1.183715,0.137472,1.105949,5.019715,-0.125015,0.010684
0.020000,0.610018,1.183995,0.161597,1.206281,5.016600,-0.155771,0.012568
0.020000,0.636147,1.184350,0.187729,1.306562,5.014032,-0.128382,0.014604
0.020000,0.664280,1.184792,0.215865,1.406821,5.012949,-0.054130,0.016791
0.020000,0.694414,1.185333,0.246004,1.506973,5.007588,-0.268066,0.019129
0.020000,0.726549,1.185988,0.278146,1.607058,5.004271,-0.165875,0.021615
0.020000,0.760682,1.186771,0.312288,1.707106,5.002399,-0.093579,0.024248
0.020000,0.796811,1.187697,0.348429,1.807044,4.996921,-0.273879,0.027026
0.020000,0.834933,1.188784,0.386566,1.906892,4.992362,-0.227943,0.029949
0.020000,0.875047,1.190047,0.426700,2.006665,4.988683,-0.183973,0.033013
0.020000,0.917148,1.191505,0.468826,2.106331,4.983304,-0.268937,0.036217
0.020000,0.961234,1.193176,0.512944,2.205863,4.976582,-0.336108,0.039559
0.020000,1.007301,1.195080,0.559050,2.305321,4.972907,-0.183747,0.043037
0.020000,1.055345,1.197236,0.607142,2.404611,4.964496,-0.420568,0.046647
0.020000,1.105362,1.199664,0.657219,2.503830,4.960924,-0.178579,0.050388
0.020000,1.157348,1.202387,0.709276,2.602870,4.952008,-0.445812,0.054257
0.020000,1.211298,1.205425,0.763312,2.701771,4.945044,-0.348178,0.058251
0.020000,1.267207,1.208801,0.819322,2.800520,4.937461,-0.379162,0.062367
0.020000,1.325068,1.212538,0.877304,2.899104,4.929208,-0.412658,0.066601
0.020000,1.384877,1.216658,0.937255,2.997530,4.921306,-0.395088,0.070951
0.020000,1.446627,1.221185,0.999170,3.095776,4.912272,-0.451719,0.075413
0.020000,1.510311,1.226143,1.063047,3.193812,4.901835,-0.521858,0.079982
0.020000,1.575921,1.231557,1.128880,3.291681,4.893457,-0.418887,0.084656
