dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.448530,8.203416,0.000058,0.005787,0.289352,14.467593,0.001454
0.020000,0.448551,8.203416,0.000078,0.001006,-0.239055,-26.420320,0.001434
0.020000,0.448596,8.203416,0.000123,0.002263,0.062867,15.096085,0.001390
0.020000,0.448676,8.203416,0.000204,0.004023,0.088002,1.256718,0.001310
0.020000,0.448802,8.203416,0.000329,0.006286,0.113117,1.255759,0.001186
0.020000,0.448983,8.203416,0.000510,0.009050,0.138200,1.254186,0.001006
0.020000,0.449229,8.203416,0.000757,0.012314,0.163237,1.251847,0.000763
0.020000,0.449551,8.203417,0.001078,0.016079,0.188209,1.248584,0.000444
0.020000,0.449958,8.203417,0.001485,0.020340,0.213094,1.244239,0.000042
0.020000,0.455759,8.203415,0.007287,0.290090,13.487499,663.720238,6.282730
0.020000,0.463369,8.203410,0.014896,0.380466,4.518760,-448.436928,6.282130
0.020000,0.472424,8.203397,0.023951,0.452759,3.614653,-45.205354,6.281415
0.020000,0.483051,8.203374,0.034578,0.531331,3.928635,15.699092,6.280577
0.020000,0.495374,8.203335,0.046902,0.616181,4.242474,15.691987,6.279607
0.020000,0.509519,8.203277,0.061047,0.707268,4.554344,15.593455,6.278493
0.020000,0.525612,8.203191,0.077140,0.804631,4.868138,15.689697,6.277229
0.020000,0.543714,8.203071,0.095242,0.905112,5.024094,7.797840,6.275808
0.020000,0.563824,8.202906,0.115353,1.005557,5.022225,-0.093476,6.274232
0.020000,0.585942,8.202689,0.137472,1.105951,5.019725,-0.125015,6.272501
0.020000,0.610066,8.202409,0.161598,1.206284,5.016609,-0.155772,6.270617
0.020000,0.636195,8.202054,0.187729,1.306564,5.014042,-0.128379,6.268581
0.020000,0.664328,8.201612,0.215865,1.406824,5.012959,-0.054124,6.266394
0.020000,0.694463,8.201071,0.246005,1.506976,5.007598,-0.268069,6.264056
0.020000,0.726597,8.200416,0.278146,1.607061,5.004280,-0.165874,6.261570
0.020000,0.760730,8.199633,0.312288,1.707109,5.002409,-0.093573,6.258937
0.020000,0.796859,8.198707,0.348429,1.807048,4.996931,-0.273879,6.256158
0.020000,0.834982,8.197620,0.386567,1.906895,4.992372,-0.227945,6.253236
0.020000,0.875095,8.196357,0.426701,2.006669,4.988693,-0.183965,6.250172
0.020000,0.917197,8.194899,0.468827,2.106336,4.983314,-0.268944,6.246967
0.020000,0.961283,8.193228,0.512945,2.205867,4.976592,-0.336110,6.243625
0.020000,1.007350,8.191324,0.559051,2.305326,4.972917,-0.183734,6.240148
0.020000,1.055394,8.189168,0.607144,2.404616,4.964506,-0.420582,6.236537
0.020000,1.105411,8.186739,0.657220,2.503834,4.960934,-0.178575,6.232796
0.020000,1.157398,8.184017,0.709278,2.602875,4.952018,-0.445811,6.228927
0.020000,1.211348,8.180978,0.763313,2.701776,4.945054,-0.348185,6.224933
0.020000,1.267256,8.177602,0.819324,2.800525,4.937471,-0.379165,6.220817
0.020000,1.325118,8.173866,0.877306,2.899110,4.929218,-0.412663,6.216582
0.020000,1.384927,8.169745,0.937257,2.997536,4.921316,-0.395082,6.212233
0.020000,1.446677,8.165218,0.999172,3.095782,4.912281,-0.451742,6.207771
0.020000,1.510361,8.160260,1.063049,3.193818,4.901844,-0.521852,6.203201
0.020000,1.575971,8.154846,1.128882,3.291688,4.893466,-0.418906,6.198527
0.020000,1.643501,8.148953,1.196669,3.389334,4.882323,-0.557160,6.193753
0.020000,1.712943,8.142555,1.266404,3.486765,4.871522,-0.540015,6.188883
0.020000,1.784287,8.135628,1.338084,3.583976,4.860546,-0.548818,6.183922
0.020000,1.857525,8.128148,1.411703,3.680954,4.848906,-0.581991,6.178874
0.020000,1.932647,8.120088,1.487257,3.777687,4.836666,-0.612034,6.173744
0.020000,2.009645,8.111424,1.564740,3.874165,4.823885,-0.639053,6.168537
0.020000,2.088507,8.102131,1.644148,3.970397,4.811590,-0.614732,6.163258
0.020000,2.169223,8.092185,1.725475,4.066341,4.797233,-0.717842,6.157913
0.020000,2.251783,8.081561,1.808715,4.162021,4.783984,-0.662465,6.152506
0.020000,2.336174,8.070235,1.893863,4.257403,4.769081,-0.745130,6.147044
0.020000,2.422386,8.058182,1.980913,4.352492,4.754498,-0.729144,6.141533
0.020000,2.510405,8.045380,2.069859,4.447279,4.739346,-0.757632,6.135979
0.020000,2.600220,8.031805,2.160694,4.541753,4.723698,-0.782392,6.130387
0.020000,2.691818,8.017434,2.253412,4.635906,4.707624,-0.803672,6.124764
0.020000,2.785185,8.002247,2.348006,4.729730,4.691190,-0.821733,6.119117
0.020000,2.880309,7.986221,2.444471,4.823219,4.674476,-0.835660,6.113453
0.020000,2.977176,7.969336,2.542798,4.916366,4.657363,-0.855669,6.107777
0.020000,3.075772,7.951572,2.642981,5.009164,4.639892,-0.873546,6.102097
0.020000,3.176083,7.932910,2.745014,5.101608,4.622181,-0.885536,6.096420
0.020000,3.278095,7.913332,2.848887,5.193689,4.604070,-0.905594,6.090753
0.020000,3.381794,7.892822,2.954595,5.285404,4.585710,-0.917959,6.085104
0.020000,3.487166,7.871363,3.062130,5.376747,4.567167,-0.927173,6.079479
0.020000,3.594197,7.848940,3.171485,5.467710,4.548166,-0.950047,6.073887
0.020000,3.702872,7.825540,3.282650,5.558295,4.529258,-0.945388,6.068334
0.020000,3.813177,7.801149,3.395620,5.648499,4.510183,-0.953740,6.062829
0.020000,3.925099,7.775758,3.510387,5.738302,4.490161,-1.001145,6.057379
0.020000,4.038624,7.749355,3.626941,5.827726,4.471204,-0.947805,6.051991
0.020000,4.153737,7.721932,3.745276,5.916744,4.450865,-1.016953,6.046675
0.020000,4.270427,7.693482,3.865383,6.005366,4.431114,-0.987549,6.041437
0.020000,4.388679,7.663999,3.987255,6.093589,4.411158,-0.997813,6.036285
0.020000,4.508480,7.633480,4.110883,6.181408,4.390953,-1.010243,6.031228
0.020000,4.629820,7.601921,4.236260,6.268822,4.370719,-1.011730,6.026273
0.020000,4.752685,7.569322,4.363376,6.355824,4.350075,-1.032165,6.021429
0.020000,4.877065,7.535683,4.492224,6.442416,4.329615,-1.023023,6.016704
0.020000,5.002949,7.501007,4.622797,6.528608,4.309572,-1.002138,6.012106
0.020000,5.130325,7.465298,4.755084,6.614366,4.287937,-1.081762,6.007643
0.020000,5.259185,7.428561,4.889078,6.699725,4.267946,-0.999554,6.003323
0.020000,5.389520,7.390806,5.024772,6.784664,4.246909,-1.051856,5.999154
