dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.450000,7.193000,0.000058,0.005787,0.289352,14.467593,0.001454
0.020000,0.450000,7.193000,0.000289,0.017361,0.578704,14.467593,0.001434
0.020000,0.450000,7.193000,0.000810,0.034722,0.868056,14.467593,0.001390
0.020000,0.450000,7.193000,0.001736,0.057870,1.157407,14.467593,0.001310
0.020000,0.450000,7.193000,0.003183,0.086806,1.446759,14.467593,0.001186
0.020000,0.450000,7.193000,0.005266,0.121528,1.736111,14.467593,0.001006
0.020000,0.450000,7.193000,0.008102,0.162037,2.025463,14.467593,0.000763
0.020000,0.450000,7.193000,0.011806,0.208333,2.314815,14.467593,0.000444
0.020000,0.450000,7.193000,0.016493,0.260417,2.604167,14.467593,0.000042
0.020000,0.455300,7.192999,0.022280,0.318287,2.893519,14.467593,6.282730
0.020000,0.462302,7.192994,0.029282,0.381944,3.182870,14.467593,6.282130
0.020000,0.470635,7.192982,0.037616,0.451389,3.472222,14.467593,6.281415
0.020000,0.480415,7.192960,0.047396,0.526620,3.761574,14.467593,6.280577
0.020000,0.491758,7.192925,0.058738,0.607639,4.050926,14.467593,6.279607
0.020000,0.504779,7.192871,0.071759,0.694444,4.340278,14.467593,6.278493
0.020000,0.519593,7.192793,0.086574,0.787037,4.629630,14.467593,6.277229
0.020000,0.536259,7.192681,0.103241,0.879630,4.629630,-0.000000,6.275808
0.020000,0.554777,7.192530,0.121759,0.972222,4.629630,0.000000,6.274232
0.020000,0.575147,7.192330,0.142130,1.064815,4.629630,0.000000,6.272501
0.020000,0.597368,7.192072,0.164352,1.157407,4.629630,-0.000000,6.270617
0.020000,0.621439,7.191745,0.188426,1.250000,4.629630,0.000000,6.268581
0.020000,0.647362,7.191338,0.214352,1.342593,4.629630,0.000000,6.266394
0.020000,0.675135,7.190839,0.242130,1.435185,4.629630,-0.000000,6.264056
0.020000,0.704759,7.190235,0.271759,1.527778,4.629630,0.000000,6.261570
0.020000,0.736232,7.189513,0.303241,1.620370,4.629630,-0.000000,6.258937
0.020000,0.769554,7.188659,0.336574,1.712963,4.629630,0.000000,6.256158
0.020000,0.804725,7.187657,0.371759,1.805556,4.629630,-0.000000,6.253236
0.020000,0.841744,7.186491,0.408796,1.898148,4.629630,0.000000,6.250172
0.020000,0.880610,7.185145,0.447685,1.990741,4.629630,-0.000000,6.246967
0.020000,0.921321,7.183602,0.488426,2.083333,4.629630,0.000000,6.243625
0.020000,0.963877,7.181843,0.531019,2.175926,4.629630,-0.000000,6.240148
0.020000,1.008277,7.179851,0.575463,2.268519,4.629630,0.000000,6.236537
0.020000,1.054519,7.177605,0.621759,2.361111,4.629630,0.000000,6.232796
0.020000,1.102601,7.175087,0.669907,2.453704,4.629630,0.000000,6.228927
0.020000,1.152522,7.172275,0.719907,2.546296,4.629630,0.000000,6.224933
0.020000,1.204279,7.169150,0.771759,2.638889,4.629630,-0.000000,6.220817
0.020000,1.257871,7.165689,0.825463,2.731481,4.629630,0.000000,6.216582
0.020000,1.313295,7.161871,0.881019,2.824074,4.629630,0.000000,6.212233
0.020000,1.370549,7.157673,0.938426,2.916667,4.629630,0.000000,6.207771
0.020000,1.429629,7.153073,0.997685,3.009259,4.629630,-0.000000,6.203201
0.020000,1.490533,7.148048,1.058796,3.101852,4.629630,-0.000000,6.198527
0.020000,1.553258,7.142574,1.121759,3.194444,4.629630,0.000000,6.193753
0.020000,1.617799,7.136628,1.186574,3.287037,4.629630,0.000000,6.188883
0.020000,1.684154,7.130186,1.253241,3.379630,4.629630,-0.000000,6.183922
0.020000,1.752318,7.123223,1.321759,3.472222,4.629630,0.000000,6.178874
0.020000,1.822286,7.115716,1.392130,3.564815,4.629630,-0.000000,6.173744
0.020000,1.894056,7.107641,1.464352,3.657407,4.629630,0.000000,6.168537
0.020000,1.967621,7.098972,1.538426,3.750000,4.629630,-0.000000,6.163258
0.020000,2.042976,7.089687,1.614352,3.842593,4.629630,0.000000,6.157913
0.020000,2.120118,7.079760,1.692130,3.935185,4.629630,0.000000,6.152506
0.020000,2.199040,7.069167,1.771759,4.027778,4.629630,-0.000000,6.147044
0.020000,2.279736,7.057886,1.853241,4.120370,4.629630,0.000000,6.141533
0.020000,2.362202,7.045891,1.936574,4.212963,4.629630,0.000000,6.135979
0.020000,2.446430,7.033160,2.021759,4.305556,4.629630,0.000000,6.130387
0.020000,2.532415,7.019670,2.108796,4.398148,4.629630,0.000000,6.124764
0.020000,2.620151,7.005399,2.197685,4.490741,4.629630,0.000000,6.119117
0.020000,2.709631,6.990324,2.288426,4.583333,4.629630,0.000000,6.113453
0.020000,2.800848,6.974423,2.381019,4.675926,4.629630,0.000000,6.107777
0.020000,2.893795,6.957677,2.475463,4.768519,4.629630,-0.000000,6.102097
0.020000,2.988467,6.940064,2.571759,4.861111,4.629630,-0.000000,6.096420
0.020000,3.084856,6.921566,2.669907,4.953704,4.629630,0.000000,6.090753
0.020000,3.182956,6.902163,2.769907,5.046296,4.629630,0.000000,6.085104
0.020000,3.282759,6.881838,2.871759,5.138889,4.629630,-0.000000,6.079479
0.020000,3.384259,6.860574,2.975463,5.231481,4.629630,0.000000,6.073887
0.020000,3.487449,6.838354,3.081019,5.324074,4.629630,0.000000,6.068334
0.020000,3.592323,6.815165,3.188426,5.416667,4.629630,-0.000000,6.062829
0.020000,3.698875,6.790992,3.297685,5.509259,4.629630,0.000000,6.057379
0.020000,3.807097,6.765822,3.408796,5.601852,4.629630,-0.000000,6.051991
0.020000,3.916985,6.739644,3.521759,5.694444,4.629630,0.000000,6.046675
0.020000,4.028532,6.712447,3.636574,5.787037,4.629630,0.000000,6.041437
