dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.451470,6.182584,0.000058,0.005787,0.289352,14.467593,0.001454
0.020000,0.451449,6.182584,0.000078,0.001006,-0.239055,-26.420320,0.001434
0.020000,0.451404,6.182584,0.000123,0.002263,0.062867,15.096085,0.001390
0.020000,0.451324,6.182584,0.000204,0.004023,0.088002,1.256718,0.001310
0.020000,0.451198,6.182584,0.000329,0.006286,0.113117,1.255759,0.001186
0.020000,0.451017,6.182584,0.000510,0.009050,0.138200,1.254186,0.001006
0.020000,0.450771,6.182584,0.000757,0.012314,0.163237,1.251847,0.000763
0.020000,0.450449,6.182583,0.001078,0.016079,0.188209,1.248584,0.000444
0.020000,0.450042,6.182583,0.001485,0.020340,0.213094,1.244239,0.000042
0.020000,0.454840,6.182582,0.006283,0.239889,10.977428,538.216686,6.282730
0.020000,0.461235,6.182577,0.012678,0.319762,3.993667,-349.188009,6.282130
0.020000,0.468847,6.182567,0.020289,0.380568,3.040259,-47.670414,6.281415
0.020000,0.477780,6.182547,0.029223,0.446677,3.305458,13.259925,6.280577
0.020000,0.488142,6.182515,0.039585,0.518095,3.570931,13.273658,6.279607
0.020000,0.500038,6.182466,0.051481,0.594800,3.835211,13.214031,6.278493
0.020000,0.513574,6.182394,0.065018,0.676833,4.101653,13.322084,6.277229
0.020000,0.528805,6.182292,0.080249,0.761551,4.235904,6.712546,6.275808
0.020000,0.545731,6.182154,0.097175,0.846308,4.237865,0.098046,6.274232
0.020000,0.564352,6.181971,0.115797,0.931103,4.239733,0.093394,6.272501
0.020000,0.584669,6.181735,0.136115,1.015933,4.241534,0.090060,6.270617
0.020000,0.606683,6.181436,0.158132,1.100819,4.244263,0.136437,6.268581
0.020000,0.630396,6.181064,0.181848,1.185793,4.248726,0.223184,6.266394
0.020000,0.655808,6.180607,0.207264,1.270795,4.250084,0.067864,6.264056
0.020000,0.682920,6.180055,0.234381,1.355868,4.253680,0.179822,6.261570
0.020000,0.711733,6.179394,0.263202,1.441049,4.259034,0.267702,6.258937
0.020000,0.742249,6.178611,0.293728,1.526287,4.261901,0.143341,6.256158
0.020000,0.774468,6.177693,0.325960,1.611609,4.266117,0.210825,6.253236
0.020000,0.808392,6.176625,0.359901,1.697043,4.271674,0.277817,6.250172
0.020000,0.844022,6.175391,0.395552,1.782571,4.276410,0.236835,6.246967
0.020000,0.881359,6.173975,0.432916,1.868184,4.280646,0.211775,6.243625
0.020000,0.920405,6.172362,0.471995,1.953946,4.288120,0.373722,6.240148
0.020000,0.961160,6.170533,0.512791,2.039792,4.292260,0.206966,6.236537
0.020000,1.003626,6.168471,0.555307,2.125816,4.301203,0.447166,6.232796
0.020000,1.047804,6.166157,0.599546,2.211942,4.306331,0.256382,6.228927
0.020000,1.093696,6.163573,0.645510,2.298219,4.313852,0.376075,6.224933
0.020000,1.141302,6.160698,0.693203,2.384651,4.321604,0.387583,6.220817
0.020000,1.190624,6.157513,0.742628,2.471243,4.329559,0.397750,6.216582
0.020000,1.241664,6.153997,0.793788,2.558015,4.338604,0.452260,6.212233
0.020000,1.294421,6.150129,0.846688,2.644964,4.347488,0.444216,6.207771
0.020000,1.348898,6.145887,0.901329,2.732084,4.355991,0.425123,6.203201
