dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.550198,10.583341,0.000058,0.005791,0.289540,14.477022,0.002310
0.020000,8.550243,10.583342,0.000102,0.002221,-0.178477,-23.400864,0.002266
0.020000,8.550343,10.583342,0.000202,0.004998,0.138855,15.866599,0.002167
0.020000,8.550520,10.583342,0.000380,0.008888,0.194469,2.780690,0.001991
0.020000,8.550798,10.583343,0.000658,0.013892,0.250193,2.786193,0.001717
0.020000,8.551198,10.583343,0.001058,0.020014,0.306097,2.795205,0.001320
0.020000,8.551744,10.583344,0.001603,0.027259,0.362269,2.808605,0.000781
0.020000,8.552456,10.583344,0.002316,0.035635,0.418814,2.827272,0.000075
0.020000,8.557658,10.583342,0.007518,0.260093,11.222880,540.203284,6.282366
0.020000,8.564565,10.583333,0.014425,0.345368,4.263771,-347.955470,6.281260
0.020000,8.572931,10.583311,0.022791,0.418286,3.645870,-30.895049,6.279916
0.020000,8.582888,10.583270,0.032748,0.497840,3.977712,16.592133,6.278313
0.020000,8.594585,10.583202,0.044445,0.584867,4.351364,18.682570,6.276422
0.020000,8.608163,10.583095,0.058023,0.678896,4.701438,17.503701,6.274217
0.020000,8.623762,10.582936,0.073623,0.779992,5.054809,17.668537,6.271672
0.020000,8.641531,10.582705,0.091394,0.888533,5.427067,18.612922,6.268757
0.020000,8.661547,10.582383,0.111412,1.000925,5.619592,9.626245,6.265452
0.020000,8.683811,10.581947,0.133681,1.113426,5.625051,0.272934,6.261750
0.020000,8.708343,10.581371,0.158219,1.226944,5.675890,2.541948,6.257639
0.020000,8.735148,10.580626,0.185035,1.340770,5.691281,0.769560,6.253109
0.020000,8.764236,10.579678,0.214139,1.455193,5.721173,1.494614,6.248146
0.020000,8.795620,10.578493,0.245544,1.570278,5.754251,1.653880,6.242737
0.020000,8.829317,10.577031,0.279274,1.686463,5.809255,2.750233,6.236867
0.020000,8.865334,10.575247,0.315335,1.803055,5.829585,1.016477,6.230520
0.020000,8.903692,10.573093,0.353753,1.920924,5.893448,3.193171,6.223676
0.020000,8.944401,10.570518,0.394543,2.039502,5.928925,1.773847,6.216318
0.020000,8.987477,10.567463,0.437728,2.159220,5.985889,2.848204,6.208423
0.020000,9.032935,10.563865,0.483327,2.279986,6.038313,2.621174,6.199971
0.020000,9.080796,10.559656,0.531373,2.402297,6.115516,3.860141,6.190935
0.020000,9.131067,10.554761,0.581882,2.525428,6.156543,2.051397,6.181291
0.020000,9.183772,10.549099,0.634890,2.650404,6.248831,4.614379,6.171011
0.020000,9.238919,10.542582,0.690421,2.776558,6.307668,2.941824,6.160066
0.020000,9.296528,10.535113,0.748512,2.904556,6.399897,4.611454,6.148424
0.020000,9.356602,10.526591,0.809188,3.033801,6.462251,3.117710,6.136056
0.020000,9.419156,10.516901,0.872488,3.164999,6.559927,4.883808,6.122925
0.020000,9.484193,10.505925,0.938444,3.297802,6.640146,4.010951,6.108999
0.020000,9.551713,10.493530,1.007093,3.432448,6.732318,4.608594,6.094242
0.020000,9.621714,10.479578,1.078470,3.568860,6.820559,4.412053,6.078617
0.020000,9.694188,10.463918,1.152617,3.707345,6.924282,5.186165,6.062087
0.020000,9.769114,10.446390,1.229566,3.847426,7.004020,3.986884,6.044618
0.020000,9.846461,10.426824,1.309350,3.989207,7.089083,4.253137,6.026174
0.020000,9.926196,10.405040,1.392007,4.132840,7.181617,4.626698,6.006724
0.020000,10.008257,10.380848,1.477559,4.277641,7.240054,2.921872,5.986238
0.020000,10.092581,10.354052,1.566038,4.423950,7.315462,3.770403,5.964692
0.020000,10.179078,10.324446,1.657462,4.571181,7.361562,2.304983,5.942066
0.020000,10.267635,10.291824,1.751836,4.718708,7.376332,0.738534,5.918352
0.020000,10.358123,10.255974,1.849167,4.866558,7.392533,0.810014,5.893547
0.020000,10.450382,10.216690,1.949441,5.013698,7.357000,-1.776646,5.867661
0.020000,10.544228,10.173767,2.052638,5.159845,7.307305,-2.484728,5.840718
0.020000,10.639446,10.127014,2.158714,5.303805,7.198042,-5.463147,5.812757
0.020000,10.735795,10.076255,2.267617,5.445111,7.065295,-6.637390,5.783834
0.020000,10.833007,10.021336,2.379269,5.582625,6.875699,-9.479791,5.754023
0.020000,10.930786,9.962129,2.493577,5.715393,6.638399,-11.864985,5.723416
0.020000,11.028821,9.898540,2.610428,5.842560,6.358345,-14.002701,5.692127
0.020000,11.126780,9.830513,2.729691,5.963161,6.030051,-16.414689,5.660284
0.020000,11.224324,9.758031,2.851217,6.076292,5.656556,-18.674747,5.628035
0.020000,11.321117,9.681121,2.974846,6.181427,5.256730,-19.991296,5.595540
0.020000,11.416827,9.599854,3.100403,6.277870,4.822135,-21.729781,5.562969
0.020000,11.511139,9.514341,3.227712,6.365416,4.377319,-22.240790,5.530499
0.020000,11.603766,9.424731,3.356589,6.443894,3.923895,-22.671182,5.498310
0.020000,11.694450,9.331208,3.486860,6.513509,3.480732,-22.158143,5.466577
0.020000,11.782972,9.233977,3.618351,6.574571,3.053114,-21.380921,5.435469
0.020000,11.869108,9.133324,3.750829,6.623890,2.465979,-29.356776,5.405162
0.020000,11.952640,9.029607,3.884001,6.658619,1.736446,-36.476613,5.375830
0.020000,12.033410,8.923189,4.017600,6.679939,1.065974,-33.523623,5.347624
0.020000,12.111322,8.814435,4.151382,6.689078,0.456963,-30.450545,5.320670
0.020000,12.186327,8.703702,4.285127,6.687250,-0.091392,-27.417737,5.295070
0.020000,12.258430,8.591331,4.418641,6.675714,-0.576806,-24.270695,5.270903
0.020000,12.327671,8.477646,4.551752,6.655554,-1.008004,-21.559909,5.248225
0.020000,12.394126,8.362952,4.684307,6.627764,-1.389504,-19.074985,5.227071
0.020000,12.457894,8.247533,4.816171,6.593182,-1.729104,-16.980009,5.207462
0.020000,12.519098,8.131652,4.947222,6.552556,-2.031296,-15.109633,5.189402
0.020000,12.577874,8.015552,5.077351,6.506462,-2.304709,-13.670629,5.172885
0.020000,12.634366,7.899461,5.206458,6.455346,-2.555784,-12.553767,5.157896
0.020000,12.688726,7.783587,5.334449,6.399547,-2.789969,-11.709207,5.144413
0.020000,12.741108,7.668128,5.461235,6.339304,-3.012153,-11.109235,5.132410
0.020000,12.791664,7.553266,5.586731,6.274774,-3.226478,-10.716230,5.121855
0.020000,12.840524,7.439230,5.710794,6.203155,-3.580968,-17.724507,5.112723
0.020000,12.887813,7.326233,5.833286,6.124632,-3.926148,-17.259015,5.104981
0.020000,12.933677,7.214432,5.954129,6.042136,-4.124784,-9.931765,5.098593
0.020000,12.978253,7.103975,6.073241,5.955621,-4.325748,-10.048244,5.093525
