dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.552533,9.572928,0.000058,0.005791,0.289540,14.477022,0.002310
0.020000,8.552533,9.572928,0.000290,0.017372,0.579081,14.477022,0.002266
0.020000,8.552533,9.572928,0.000811,0.034745,0.868621,14.477022,0.002167
0.020000,8.552533,9.572928,0.001737,0.057908,1.158162,14.477022,0.001991
0.020000,8.552533,9.572928,0.003185,0.086862,1.447702,14.477022,0.001717
0.020000,8.552533,9.572928,0.005270,0.121607,1.737243,14.477022,0.001320
0.020000,8.552533,9.572928,0.008107,0.162143,2.026783,14.477022,0.000781
0.020000,8.552533,9.572928,0.011813,0.208469,2.316323,14.477022,0.000075
0.020000,8.556830,9.572926,0.016504,0.260586,2.605864,14.477022,6.282366
0.020000,8.562620,9.572918,0.022295,0.318494,2.895404,14.477022,6.281260
0.020000,8.569628,9.572900,0.029301,0.382193,3.184945,14.477022,6.279916
0.020000,8.577964,9.572866,0.037640,0.451683,3.474485,14.477022,6.278313
0.020000,8.587751,9.572809,0.047427,0.526964,3.764026,14.477022,6.276422
0.020000,8.599101,9.572719,0.058777,0.608035,4.053566,14.477022,6.274217
0.020000,8.612129,9.572586,0.071806,0.694897,4.343107,14.477022,6.271672
0.020000,8.626953,9.572394,0.086630,0.787550,4.632647,14.477022,6.268757
0.020000,8.643630,9.572126,0.103308,0.880203,4.632647,0.000000,6.265452
0.020000,8.662154,9.571763,0.121839,0.972856,4.632647,-0.000000,6.261750
0.020000,8.682534,9.571284,0.142222,1.065509,4.632647,0.000000,6.257639
0.020000,8.704763,9.570666,0.164459,1.158162,4.632647,-0.000000,6.253109
0.020000,8.728839,9.569882,0.188549,1.250815,4.632647,0.000000,6.248146
0.020000,8.754762,9.568903,0.214492,1.343468,4.632647,-0.000000,6.242737
0.020000,8.782533,9.567698,0.242287,1.436121,4.632647,0.000000,6.236867
0.020000,8.812144,9.566231,0.271936,1.528774,4.632647,-0.000000,6.230520
0.020000,8.843599,9.564465,0.303438,1.621426,4.632647,0.000000,6.223676
0.020000,8.876887,9.562359,0.336793,1.714079,4.632647,-0.000000,6.216318
0.020000,8.912007,9.559869,0.372002,1.806732,4.632647,0.000000,6.208423
0.020000,8.948950,9.556945,0.409063,1.899385,4.632647,0.000000,6.199971
0.020000,8.987716,9.553536,0.447977,1.992038,4.632647,0.000000,6.190935
0.020000,9.028289,9.549585,0.488744,2.084691,4.632647,-0.000000,6.181291
