dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.554871,8.562514,0.000038,0.003836,0.191802,9.590113,0.002314
0.020000,8.554841,8.562513,0.000068,0.001471,-0.118231,-15.501654,0.002285
0.020000,8.554775,8.562513,0.000134,0.003311,0.091976,10.510319,0.002219
0.020000,8.554657,8.562513,0.000252,0.005887,0.128797,1.841085,0.002103
0.020000,8.554473,8.562513,0.000436,0.009200,0.165667,1.843500,0.001921
0.020000,8.554208,8.562512,0.000701,0.013253,0.202616,1.847455,0.001658
0.020000,8.553847,8.562512,0.001062,0.018046,0.239683,1.853334,0.001301
0.020000,8.553376,8.562511,0.001533,0.023584,0.276914,1.861524,0.000834
0.020000,8.552778,8.562511,0.002131,0.029872,0.314362,1.872411,0.000243
0.020000,8.554601,8.562510,0.003954,0.091145,3.063650,137.464434,6.282697
0.020000,8.558348,8.562507,0.007701,0.187366,4.811043,87.369626,6.281811
0.020000,8.562802,8.562498,0.012154,0.222671,1.765281,-152.288099,6.280755
0.020000,8.568030,8.562482,0.017383,0.261419,1.937397,8.605791,6.279510
0.020000,8.574085,8.562456,0.023438,0.302741,2.066115,6.435931,6.278062
0.020000,8.581029,8.562414,0.030382,0.347227,2.224297,7.909066,6.276394
0.020000,8.588924,8.562353,0.038278,0.394766,2.376907,7.630519,6.274488
0.020000,8.597825,8.562266,0.047178,0.445044,2.513940,6.851643,6.272324
0.020000,8.607789,8.562146,0.057143,0.498226,2.659069,7.256461,6.269886
0.020000,8.618872,8.561983,0.068227,0.554218,2.799627,7.027913,6.267152
0.020000,8.631131,8.561768,0.080488,0.613033,2.940737,7.055496,6.264101
0.020000,8.644621,8.561488,0.093982,0.674686,3.082654,7.095848,6.260710
0.020000,8.659390,8.561128,0.108755,0.738659,3.198664,5.800459,6.256959
0.020000,8.675495,8.560672,0.124866,0.805574,3.345733,7.353493,6.252819
0.020000,8.692982,8.560101,0.142362,0.874798,3.461192,5.772952,6.248266
0.020000,8.711867,8.559395,0.161260,0.944898,3.504994,2.190060,6.243280
0.020000,8.732134,8.558530,0.181546,1.014281,3.469147,-1.792346,6.237846
0.020000,8.753771,8.557485,0.203208,1.083099,3.440918,-1.411439,6.231948
0.020000,8.776753,8.556233,0.226225,1.150850,3.387532,-2.669295,6.225571
0.020000,8.801066,8.554747,0.250583,1.217893,3.352144,-1.769401,6.218697
0.020000,8.826682,8.552998,0.276259,1.283808,3.295792,-2.817579,6.211307
0.020000,8.853579,8.550955,0.303233,1.348725,3.245852,-2.497036,6.203380
0.020000,8.881729,8.548584,0.331483,1.412459,3.186697,-2.957730,6.194893
0.020000,8.911105,8.545850,0.360985,1.475138,3.133931,-2.638289,6.185822
0.020000,8.941670,8.542715,0.391711,1.536289,3.057549,-3.819102,6.176143
0.020000,8.973397,8.539141,0.423638,1.596354,3.003226,-2.716141,6.165826
0.020000,9.006242,8.535087,0.456733,1.654739,2.919261,-4.198289,6.154845
0.020000,9.040169,8.530508,0.490968,1.711738,2.849987,-3.463680,6.143168
0.020000,9.075133,8.525360,0.526309,1.767052,2.765695,-4.214595,6.130764
0.020000,9.111088,8.519595,0.562723,1.820711,2.682913,-4.139115,6.117600
0.020000,9.147985,8.513166,0.600176,1.872635,2.596240,-4.333636,6.103643
0.020000,9.185772,8.506020,0.638632,1.922828,2.509614,-4.331324,6.088856
0.020000,9.224392,8.498106,0.678055,1.971139,2.415577,-4.701828,6.073205
0.020000,9.263793,8.489369,0.718413,2.017897,2.337884,-3.884675,6.056654
0.020000,9.303911,8.479755,0.759667,2.062687,2.239481,-4.920110,6.039168
0.020000,9.344685,8.469205,0.801784,2.105845,2.157906,-4.078759,6.020716
0.020000,9.386053,8.457660,0.844732,2.147432,2.079373,-3.926662,6.001264
0.020000,9.427953,8.445061,0.888486,2.187688,2.012776,-3.329864,5.980787
0.020000,9.470323,8.431343,0.933021,2.226731,1.952152,-3.031205,5.959259
0.020000,9.513100,8.416444,0.978319,2.264898,1.908371,-2.189050,5.936666
0.020000,9.556230,8.400293,1.024373,2.302712,1.890693,-0.883867,5.912998
0.020000,9.599656,8.382822,1.071181,2.340429,1.885861,-0.241607,5.888255
0.020000,9.643330,8.363955,1.118757,2.378792,1.918153,1.614617,5.862449
0.020000,9.687212,8.343611,1.167125,2.418386,1.979678,3.076237,5.835606
0.020000,9.731268,8.321704,1.216328,2.460129,2.087179,5.375038,5.807764
0.020000,9.775472,8.298138,1.266420,2.504634,2.225243,6.903219,5.778983
0.020000,9.819806,8.272813,1.317479,2.552929,2.414735,9.474591,5.749335
0.020000,9.864265,8.245612,1.369599,2.605984,2.652745,11.900465,5.718915
0.020000,9.908848,8.216415,1.422891,2.664608,2.931225,13.924033,5.687833
0.020000,9.953559,8.185086,1.477486,2.729757,3.257424,16.309922,5.656219
0.020000,9.998392,8.151496,1.533506,2.801014,3.562858,15.271719,5.624231
0.020000,10.043321,8.115525,1.591061,2.877725,3.835556,13.634881,5.592053
0.020000,10.088325,8.077054,1.650267,2.960300,4.128725,14.658470,5.559877
0.020000,10.133378,8.035965,1.711243,3.048810,4.425531,14.840310,5.527897
0.020000,10.178455,7.992151,1.774105,3.143090,4.713999,14.423399,5.496302
0.020000,10.223521,7.945512,1.838959,3.242736,4.982299,13.415014,5.465274
0.020000,10.268540,7.895969,1.905901,3.347103,5.218327,11.801388,5.434984
0.020000,10.313468,7.843459,1.975009,3.455361,5.412924,9.729853,5.405583
0.020000,10.358256,7.787942,2.046340,3.566558,5.559812,7.344375,5.377207
0.020000,10.402854,7.729402,2.119933,3.679659,5.655088,4.763831,5.349968
0.020000,10.447210,7.667845,2.195805,3.793626,5.698331,2.162126,5.323960
0.020000,10.491275,7.603304,2.273954,3.907436,5.690523,-0.390382,5.299255
0.020000,10.535002,7.535832,2.354357,4.020122,5.634269,-2.812713,5.275907
0.020000,10.578351,7.465503,2.436972,4.130788,5.533292,-5.048848,5.253953
0.020000,10.621291,7.392408,2.521747,4.238727,5.396974,-6.815918,5.233413
0.020000,10.663795,7.316653,2.608611,4.343201,5.223719,-8.662717,5.214296
0.020000,10.705850,7.238358,2.697486,4.443761,5.027980,-9.786948,5.196599
0.020000,10.747449,7.157650,2.788284,4.539890,4.806457,-11.076188,5.180312
0.020000,10.788599,7.074666,2.880911,4.631327,4.571819,-11.731891,5.165417
0.020000,10.829311,6.989545,2.975266,4.717770,4.322188,-12.481529,5.151891
0.020000,10.869609,6.902433,3.071248,4.799094,4.066164,-12.801218,5.139709
0.020000,10.909524,6.813474,3.168751,4.875179,3.804283,-13.094058,5.128842
0.020000,10.949088,6.722830,3.267653,4.945097,3.495865,-15.420887,5.119265
0.020000,10.988325,6.630696,3.367794,5.007056,3.097962,-19.895154,5.110951
0.020000,11.027274,6.537252,3.469030,5.061803,2.737340,-18.031075,5.103872
0.020000,11.065990,6.442644,3.571254,5.111157,2.467735,-13.480259,5.097998
0.020000,11.104536,6.347017,3.674358,5.155204,2.202355,-13.268990,5.093298
0.020000,11.142974,6.250510,3.778238,5.194021,1.940826,-13.076460,5.089746
0.020000,11.181372,6.153261,3.882792,5.227701,1.684018,-12.840413,5.087315
0.020000,11.219795,6.055408,3.987919,5.256339,1.431889,-12.606458,5.085983
0.020000,11.258314,5.957083,4.093519,5.280023,1.184182,-12.385334,5.085726
0.020000,11.296997,5.858419,4.199496,5.298832,0.940452,-12.186504,5.086524
0.020000,11.335913,5.759545,4.305753,5.312833,0.700083,-12.018434,5.088358
0.020000,11.375128,5.660591,4.412194,5.322090,0.462819,-11.863209,5.091210
0.020000,11.414709,5.561684,4.518727,5.326636,0.227294,-11.776271,5.095063
0.020000,11.454719,5.462953,4.625257,5.326484,-0.007582,-11.743771,5.099899
0.020000,11.495216,5.364525,4.731690,5.321655,-0.241465,-11.694175,5.105702
0.020000,11.536257,5.266530,4.837932,5.312108,-0.477338,-11.793646,5.112455
0.020000,11.577891,5.169097,4.943888,5.297792,-0.715818,-11.924002,5.120139
0.020000,11.620164,5.072357,5.049461,5.278643,-0.957454,-12.081782,5.128734
0.020000,11.663113,4.976443,5.154552,5.254553,-1.204457,-12.350145,5.138219
0.020000,11.706767,4.881489,5.259060,5.225383,-1.458501,-12.702233,5.148569
0.020000,11.751147,4.787634,5.362879,5.190957,-1.721298,-13.139827,5.159755
0.020000,11.796264,4.695015,5.465901,5.151136,-1.991079,-13.489054,5.171747
0.020000,11.842114,4.603776,5.568013,5.105598,-2.276904,-14.291273,5.184508
0.020000,11.888684,4.514059,5.669097,5.054200,-2.569885,-14.649022,5.197997
0.020000,11.935956,4.425990,5.769051,4.997698,-2.825085,-12.760029,5.212172
0.020000,11.983922,4.339657,5.867814,4.938137,-2.978056,-7.648539,5.226989
0.020000,12.032573,4.255127,5.965345,4.876537,-3.080006,-5.097473,5.242410
0.020000,12.081891,4.172468,6.061598,4.812661,-3.193812,-5.690321,5.258389
0.020000,12.131848,4.091747,6.156528,4.746485,-3.308803,-5.749535,5.274880
0.020000,12.182405,4.013029,6.250083,4.677752,-3.436648,-6.392245,5.291833
0.020000,12.233513,3.936377,6.342210,4.606369,-3.569143,-6.624781,5.309196
0.020000,12.285113,3.861855,6.432854,4.532183,-3.709308,-7.008219,5.326912
0.020000,12.337137,3.789517,6.521956,4.455124,-3.852924,-7.180812,5.344926
0.020000,12.389505,3.719418,6.609456,4.374992,-4.006615,-7.684559,5.363176
0.020000,12.442129,3.651606,6.695292,4.291785,-4.160363,-7.687395,5.381601
0.020000,12.494914,3.586123,6.779400,4.205427,-4.317894,-7.876540,5.400139
0.020000,12.547756,3.523005,6.861718,4.115882,-4.477261,-7.968356,5.418727
0.020000,12.600545,3.462279,6.942181,4.023163,-4.635959,-7.934900,5.437302
0.020000,12.653167,3.403965,7.020728,3.927314,-4.792411,-7.822583,5.455802
0.020000,12.705502,3.348076,7.097295,3.828397,-4.945872,-7.673084,5.474166
0.020000,12.757430,3.294613,7.171826,3.726508,-5.094463,-7.429545,5.492336
0.020000,12.808828,3.243572,7.244261,3.621770,-5.236891,-7.121394,5.510255
0.020000,12.859573,3.194940,7.314548,3.514345,-5.371259,-6.718407,5.527870
0.020000,12.909545,3.148693,7.382636,3.404386,-5.497935,-6.333780,5.545130
0.020000,12.958624,3.104803,7.448477,3.292070,-5.615787,-5.892621,5.561990
0.020000,13.006696,3.063233,7.512029,3.177615,-5.722751,-5.348204,5.578407
0.020000,13.053648,3.023941,7.573253,3.061207,-5.820407,-4.882806,5.594341
0.020000,13.099374,2.986877,7.632115,2.943058,-5.907430,-4.351124,5.609759
0.020000,13.143774,2.951989,7.688581,2.823331,-5.986361,-3.946554,5.624630
0.020000,13.186752,2.919221,7.742626,2.702258,-6.053657,-3.364779,5.638926
0.020000,13.228221,2.888512,7.794228,2.580087,-6.108531,-2.743714,5.652626
0.020000,13.268097,2.859802,7.843364,2.456802,-6.164272,-2.787053,5.665709
0.020000,13.306305,2.833026,7.890020,2.332791,-6.200543,-1.813573,5.678159
0.020000,13.342775,2.808122,7.934182,2.208107,-6.234225,-1.684103,5.689963
0.020000,13.377443,2.785028,7.975838,2.082791,-6.265771,-1.577257,5.701110
0.020000,13.410253,2.763680,8.014982,1.957204,-6.279352,-0.679083,5.711591
0.020000,13.441152,2.744019,8.051605,1.831151,-6.302638,-1.164280,5.721401
0.020000,13.470093,2.725986,8.085705,1.704987,-6.308226,-0.279416,5.730536
0.020000,13.497034,2.709527,8.117276,1.578554,-6.321641,-0.670755,5.738991
0.020000,13.521963,2.694574,8.146346,1.453504,-6.252482,3.457965,5.746773
0.020000,13.544913,2.681039,8.172990,1.332197,-6.065392,9.354494,5.753902
0.020000,13.565950,2.668825,8.197315,1.216245,-5.797570,13.391114,5.760407
0.020000,13.585140,2.657842,8.219426,1.105562,-5.534179,13.169529,5.766315
0.020000,13.602557,2.648003,8.239430,1.000199,-5.268130,13.302438,5.771657
0.020000,13.618274,2.639230,8.257430,0.899989,-5.010484,12.882329,5.776459
0.020000,13.632373,2.631444,8.273536,0.805300,-4.734486,13.799877,5.780754
0.020000,13.644934,2.624573,8.287853,0.715834,-4.473272,13.060703,5.784568
0.020000,13.656038,2.618551,8.300484,0.631598,-4.211804,13.073416,5.787932
0.020000,13.665772,2.613312,8.311540,0.552754,-3.942211,13.479627,5.790874
0.020000,13.674222,2.608793,8.321121,0.479096,-3.682867,12.967210,5.793422
0.020000,13.681477,2.604936,8.329338,0.410816,-3.414030,13.441875,5.795606
0.020000,13.687627,2.601682,8.336295,0.347883,-3.146645,13.369230,5.797455
0.020000,13.692758,2.598978,8.342095,0.289991,-2.894613,12.601589,5.798995
0.020000,13.696965,2.596769,8.346848,0.237626,-2.618234,13.818979,5.800257
0.020000,13.700337,2.595003,8.350653,0.190284,-2.367107,12.556343,5.801268
0.020000,13.702966,2.593629,8.353620,0.148321,-2.098139,13.448378,5.802055
0.020000,13.704945,2.592597,8.355852,0.111620,-1.835042,13.154890,5.802647
0.020000,13.706367,2.591856,8.357455,0.080145,-1.573784,13.062898,5.803072
0.020000,13.707323,2.591358,8.358533,0.053901,-1.312164,13.080971,5.803358
0.020000,13.707906,2.591055,8.359191,0.032895,-1.050292,13.093597,5.803533
0.020000,13.708210,2.590897,8.359534,0.017130,-0.788257,13.101759,5.803624
0.020000,13.708328,2.590836,8.359666,0.006608,-0.526128,13.106443,5.803659
0.020000,13.708351,2.590824,8.359692,0.001329,-0.263955,13.108640,5.803666
0.020000,13.708351,2.590824,8.359692,0.000000,-0.066431,9.876195,5.803666
