dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.340469,9.887914,0.000058,0.005763,0.288155,14.407756,0.000422
0.020000,8.340483,9.887914,0.000072,0.000722,-0.252037,-27.009626,0.000408
0.020000,8.340516,9.887914,0.000105,0.001626,0.045167,14.860238,0.000376
0.020000,8.340574,9.887914,0.000162,0.002892,0.063291,0.906176,0.000319
0.020000,8.340664,9.887914,0.000253,0.004522,0.081501,0.910518,0.000229
0.020000,8.340794,9.887914,0.000383,0.006519,0.099854,0.917634,0.000100
0.020000,8.342189,9.887914,0.001778,0.069754,3.161748,153.094706,6.283109
0.020000,8.346111,9.887913,0.005699,0.196057,6.315181,157.671627,6.282879
0.020000,8.351074,9.887911,0.010663,0.248177,2.605966,-185.460728,6.282587
0.020000,8.357203,9.887906,0.016792,0.306452,2.913777,15.390556,6.282225
0.020000,8.364621,9.887897,0.024210,0.370912,3.223006,15.461468,6.281784
0.020000,8.373453,9.887883,0.033042,0.441563,3.532521,15.475717,6.281257
0.020000,8.383821,9.887859,0.043410,0.518408,3.842286,15.488255,6.280635
0.020000,8.395851,9.887824,0.055440,0.601523,4.155752,15.673317,6.279908
0.020000,8.409669,9.887773,0.069258,0.690874,4.467526,15.588664,6.279066
0.020000,8.425399,9.887701,0.084988,0.786532,4.782917,15.769571,6.278099
0.020000,8.443108,9.887601,0.102697,0.885441,4.945419,8.125113,6.277000
0.020000,8.462799,9.887467,0.122389,0.984603,4.958120,0.635044,6.275763
0.020000,8.484478,9.887291,0.144069,1.083980,4.968844,0.536217,6.274383
0.020000,8.508150,9.887065,0.167741,1.183628,4.982412,0.678381,6.272857
0.020000,8.533820,9.886778,0.193414,1.283622,4.999684,0.863597,6.271177
0.020000,8.561496,9.886421,0.221092,1.383906,5.014210,0.726319,6.269336
0.020000,8.591185,9.885980,0.250783,1.484581,5.033748,0.976889,6.267329
0.020000,8.622893,9.885442,0.282496,1.585650,5.053441,0.984643,6.265145
0.020000,8.656630,9.884794,0.316240,1.687174,5.076230,1.139463,6.262778
0.020000,8.692405,9.884018,0.352023,1.789164,5.099459,1.161444,6.260217
0.020000,8.730228,9.883097,0.389857,1.891683,5.125953,1.324714,6.257452
0.020000,8.770108,9.882011,0.429752,1.994748,5.153281,1.366400,6.254471
0.020000,8.812058,9.880739,0.471721,2.098464,5.185786,1.625235,6.251264
0.020000,8.856089,9.879258,0.515777,2.202813,5.217436,1.582487,6.247815
0.020000,8.902215,9.877540,0.561936,2.307907,5.254692,1.862809,6.244112
0.020000,8.950449,9.875559,0.610210,2.413741,5.291729,1.851862,6.240139
0.020000,9.000807,9.873283,0.660620,2.520458,5.335848,2.205924,6.235879
0.020000,9.053304,9.870678,0.713181,2.628077,5.380969,2.256070,6.231314
0.020000,9.107957,9.867707,0.767915,2.736677,5.429989,2.450980,6.226425
0.020000,9.164784,9.864330,0.824842,2.846356,5.483921,2.696605,6.221190
0.020000,9.223803,9.860501,0.883985,2.957182,5.541331,2.870499,6.215586
0.020000,9.285037,9.856172,0.945371,3.069298,5.605796,3.223268,6.209588
0.020000,9.348504,9.851289,1.009026,3.182752,5.672666,3.343484,6.203170
0.020000,9.414229,9.845792,1.074981,3.297720,5.748443,3.788845,6.196301
0.020000,9.482235,9.839618,1.143266,3.414277,5.827810,3.968352,6.188950
