dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.340896,8.877497,0.000058,0.005763,0.288155,14.407756,0.000422
0.020000,8.340896,8.877497,0.000288,0.017289,0.576310,14.407756,0.000408
0.020000,8.340896,8.877497,0.000807,0.034579,0.864465,14.407756,0.000376
0.020000,8.340896,8.877497,0.001729,0.057631,1.152620,14.407756,0.000319
0.020000,8.340896,8.877497,0.003170,0.086447,1.440776,14.407756,0.000229
0.020000,8.340896,8.877497,0.005244,0.121025,1.728931,14.407756,0.000100
0.020000,8.342113,8.877497,0.008068,0.161367,2.017086,14.407756,6.283109
0.020000,8.345801,8.877497,0.011757,0.207472,2.305241,14.407756,6.282879
0.020000,8.350469,8.877494,0.016425,0.259340,2.593396,14.407756,6.282587
0.020000,8.356232,8.877490,0.022188,0.316971,2.881551,14.407756,6.282225
0.020000,8.363206,8.877482,0.029161,0.380365,3.169706,14.407756,6.281784
0.020000,8.371505,8.877468,0.037460,0.449522,3.457861,14.407756,6.281257
0.020000,8.381244,8.877446,0.047200,0.524442,3.746016,14.407756,6.280635
0.020000,8.392540,8.877413,0.058495,0.605126,4.034172,14.407756,6.279908
0.020000,8.405507,8.877365,0.071462,0.691572,4.322327,14.407756,6.279066
0.020000,8.420260,8.877297,0.086216,0.783782,4.610482,14.407756,6.278099
0.020000,8.436858,8.877204,0.102814,0.875992,4.610482,0.000000,6.277000
0.020000,8.455299,8.877078,0.121256,0.968201,4.610482,-0.000000,6.275763
0.020000,8.475585,8.876914,0.141542,1.060411,4.610482,0.000000,6.274383
0.020000,8.497714,8.876702,0.163672,1.152620,4.610482,0.000000,6.272857
0.020000,8.521687,8.876435,0.187647,1.244830,4.610482,0.000000,6.271177
0.020000,8.547504,8.876101,0.213465,1.337040,4.610482,-0.000000,6.269336
0.020000,8.575163,8.875690,0.241128,1.429249,4.610482,0.000000,6.267329
0.020000,8.604666,8.875190,0.270635,1.521459,4.610482,0.000000,6.265145
0.020000,8.636012,8.874588,0.301987,1.613669,4.610482,-0.000000,6.262778
0.020000,8.669199,8.873868,0.335182,1.705878,4.610482,0.000000,6.260217
0.020000,8.704229,8.873015,0.370222,1.798088,4.610482,0.000000,6.257452
0.020000,8.741099,8.872011,0.407106,1.890298,4.610482,0.000000,6.254471
