dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.341322,7.867081,0.000058,0.005763,0.288155,14.407756,0.000422
0.020000,8.341308,7.867081,0.000072,0.000722,-0.252037,-27.009626,0.000408
0.020000,8.341275,7.867081,0.000105,0.001626,0.045167,14.860238,0.000376
0.020000,8.341217,7.867081,0.000162,0.002892,0.063291,0.906176,0.000319
0.020000,8.341127,7.867081,0.000253,0.004522,0.081501,0.910518,0.000229
0.020000,8.340997,7.867081,0.000383,0.006519,0.099854,0.917634,0.000100
0.020000,8.342036,7.867081,0.001423,0.051978,2.272983,108.656478,6.283109
0.020000,8.345492,7.867080,0.004879,0.172788,6.040490,188.375333,6.282879
0.020000,8.349865,7.867078,0.009251,0.218639,2.292552,-187.396887,6.282587
0.020000,8.355262,7.867074,0.014648,0.269852,2.560620,13.403362,6.282225
0.020000,8.361790,7.867066,0.021177,0.326424,2.828645,13.401264,6.281784
0.020000,8.369557,7.867053,0.028943,0.388331,3.095334,13.334442,6.281257
0.020000,8.378668,7.867033,0.038054,0.455538,3.360326,13.249610,6.280635
0.020000,8.389229,7.867002,0.048615,0.528063,3.626282,13.297826,6.279908
0.020000,8.401345,7.866957,0.060732,0.605824,3.888052,13.088493,6.279066
0.020000,8.415121,7.866894,0.074508,0.688821,4.149843,13.089536,6.278099
0.020000,8.430607,7.866807,0.089995,0.774309,4.274379,6.226809,6.277000
0.020000,8.447799,7.866690,0.107187,0.859608,4.264974,-0.470242,6.275763
0.020000,8.466691,7.866536,0.126079,0.944634,4.251263,-0.685575,6.274383
0.020000,8.487278,7.866339,0.146667,1.029381,4.237357,-0.695277,6.272857
0.020000,8.509554,7.866091,0.168944,1.113858,4.223875,-0.674098,6.271177
0.020000,8.533511,7.865781,0.192903,1.197960,4.205084,-0.939557,6.269336
0.020000,8.559142,7.865400,0.218538,1.281711,4.187570,-0.875732,6.267329
0.020000,8.586439,7.864938,0.245839,1.365050,4.166950,-1.030996,6.265145
0.020000,8.615393,7.864381,0.274798,1.447962,4.145576,-1.068699,6.262778
0.020000,8.645994,7.863718,0.305405,1.530381,4.120950,-1.231276,6.260217
0.020000,8.678230,7.862933,0.337651,1.612286,4.095263,-1.284340,6.257452
0.020000,8.712089,7.862011,0.371523,1.693609,4.066173,-1.454518,6.254471
