dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.617055,10.630588,0.000058,0.005796,0.289791,14.489563,0.002321
0.020000,8.617099,10.630588,0.000103,0.002237,-0.177948,-23.386945,0.002276
0.020000,8.617200,10.630589,0.000203,0.005034,0.139833,15.889030,0.002177
0.020000,8.617379,10.630589,0.000382,0.008950,0.195846,2.800635,0.002000
0.020000,8.617659,10.630589,0.000662,0.013990,0.251980,2.806736,0.001723
0.020000,8.618062,10.630590,0.001065,0.020156,0.308315,2.816730,0.001324
0.020000,8.618611,10.630591,0.001614,0.027455,0.364947,2.831593,0.000780
0.020000,8.619329,10.630591,0.002332,0.035895,0.421993,2.852307,0.000070
0.020000,8.624574,10.630589,0.007578,0.262275,11.318985,544.849617,6.282354
0.020000,8.631495,10.630579,0.014499,0.346038,4.188175,-356.540532,6.281239
0.020000,8.639878,10.630557,0.022881,0.419138,3.655006,-26.658421,6.279885
0.020000,8.649855,10.630516,0.032859,0.498867,3.986445,16.571945,6.278268
0.020000,8.661577,10.630447,0.044581,0.586104,4.361818,18.768649,6.276360
0.020000,8.675185,10.630339,0.058189,0.680405,4.715080,17.663115,6.274136
0.020000,8.690820,10.630178,0.073825,0.781789,5.069180,17.704961,6.271566
0.020000,8.708633,10.629945,0.091639,0.890720,5.446563,18.869149,6.268621
0.020000,8.728699,10.629619,0.111708,1.003469,5.637441,9.543922,6.265280
0.020000,8.751024,10.629177,0.134037,1.116447,5.648917,0.573779,6.261535
0.020000,8.775625,10.628594,0.158646,1.230407,5.697989,2.453636,6.257372
0.020000,8.802512,10.627838,0.185543,1.344862,5.722761,1.238565,6.252779
0.020000,8.831694,10.626877,0.214741,1.459915,5.752629,1.493407,6.247743
0.020000,8.863185,10.625674,0.246255,1.575703,5.789379,1.837485,6.242249
0.020000,8.897010,10.624187,0.280112,1.692863,5.858035,3.432801,6.236278
0.020000,8.933168,10.622373,0.316316,1.810193,5.866500,0.423267,6.229813
0.020000,8.971692,10.620180,0.354902,1.929298,5.955223,4.436144,6.222831
0.020000,9.012589,10.617555,0.395883,2.049054,5.987829,1.630288,6.215312
0.020000,9.055879,10.614437,0.439285,2.170096,6.052076,3.212362,6.207232
0.020000,9.101581,10.610760,0.485135,2.292488,6.119588,3.375631,6.198565
