dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.374243,17.046945,0.000039,0.003882,0.194099,9.704973,0.000014
0.020000,3.374243,17.046945,0.000194,0.011646,0.388199,9.704973,0.000013
0.020000,3.374243,17.046945,0.000543,0.023292,0.582298,9.704973,0.000013
0.020000,3.374243,17.046945,0.001165,0.038820,0.776398,9.704973,0.000011
0.020000,3.374243,17.046945,0.002135,0.058230,0.970497,9.704973,0.000009
0.020000,3.374243,17.046945,0.003533,0.081522,1.164597,9.704973,0.000005
0.020000,3.374243,17.046945,0.005435,0.108696,1.358696,9.704973,0.000000
0.020000,3.376546,17.046945,0.007919,0.139752,1.552796,9.704973,6.283180
0.020000,3.379690,17.046945,0.011064,0.174690,1.746895,9.704973,6.283172
0.020000,3.383572,17.046945,0.014946,0.213509,1.940995,9.704973,6.283162
0.020000,3.388269,17.046944,0.019643,0.256211,2.135094,9.704973,6.283151
0.020000,3.393859,17.046944,0.025233,0.302795,2.329193,9.704973,6.283137
0.020000,3.400420,17.046944,0.031793,0.353261,2.523293,9.704973,6.283121
0.020000,3.408029,17.046943,0.039402,0.407609,2.717392,9.704973,6.283103
0.020000,3.416763,17.046942,0.048137,0.465839,2.911492,9.704973,6.283081
0.020000,3.426701,17.046941,0.058075,0.527951,3.105591,9.704973,6.283057
0.020000,3.437920,17.046940,0.069294,0.593944,3.299691,9.704973,6.283030
0.020000,3.450497,17.046938,0.081871,0.663820,3.493790,9.704973,6.283000
0.020000,3.464511,17.046935,0.095885,0.737578,3.687890,9.704973,6.282967
0.020000,3.480039,17.046931,0.111413,0.815218,3.881989,9.704973,6.282930
0.020000,3.497159,17.046926,0.128533,0.896739,4.076089,9.704973,6.282889
0.020000,3.515948,17.046920,0.147321,0.982143,4.270188,9.704973,6.282845
0.020000,3.536484,17.046913,0.167857,1.071429,4.464288,9.704973,6.282797
0.020000,3.558844,17.046904,0.190217,1.164597,4.658387,9.704973,6.282746
0.020000,3.583067,17.046892,0.214441,1.257764,4.658387,0.000000,6.282690
0.020000,3.609154,17.046879,0.240528,1.350932,4.658387,0.000000,6.282631
0.020000,3.637105,17.046862,0.268478,1.444100,4.658387,-0.000000,6.282568
0.020000,3.666918,17.046843,0.298292,1.537268,4.658387,0.000000,6.282502
0.020000,3.698595,17.046820,0.329969,1.630435,4.658387,-0.000000,6.282433
0.020000,3.732136,17.046794,0.363509,1.723603,4.658387,0.000000,6.282360
0.020000,3.767539,17.046763,0.398913,1.816771,4.658387,-0.000000,6.282285
0.020000,3.804807,17.046728,0.436180,1.909939,4.658387,0.000000,6.282206
0.020000,3.843937,17.046688,0.475311,2.003106,4.658387,0.000000,6.282126
0.020000,3.884931,17.046643,0.516305,2.096274,4.658387,0.000000,6.282042
0.020000,3.927788,17.046592,0.559162,2.189442,4.658387,0.000000,6.281957
0.020000,3.972508,17.046535,0.603882,2.282610,4.658387,0.000000,6.281869
0.020000,4.019092,17.046472,0.650466,2.375777,4.658387,-0.000000,6.281780
0.020000,4.067539,17.046402,0.698913,2.468945,4.658387,0.000000,6.281689
0.020000,4.117850,17.046324,0.749224,2.562113,4.658387,-0.000000,6.281597
0.020000,4.170024,17.046239,0.801398,2.655281,4.658387,-0.000000,6.281504
0.020000,4.224061,17.046145,0.855435,2.748448,4.658387,0.000000,6.281410
0.020000,4.279962,17.046043,0.911336,2.841616,4.658387,0.000000,6.281315
0.020000,4.337725,17.045933,0.969100,2.934784,4.658387,-0.000000,6.281220
0.020000,4.397353,17.045813,1.028727,3.027952,4.658387,0.000000,6.281125
0.020000,4.458843,17.045683,1.090218,3.121119,4.658387,0.000000,6.281031
0.020000,4.522197,17.045543,1.153572,3.214287,4.658387,0.000000,6.280937
0.020000,4.587414,17.045394,1.218789,3.307455,4.658387,-0.000000,6.280844
0.020000,4.654495,17.045234,1.285870,3.400622,4.658387,0.000000,6.280752
0.020000,4.723439,17.045063,1.354814,3.493790,4.658387,0.000000,6.280661
0.020000,4.794246,17.044881,1.425622,3.586958,4.658387,-0.000000,6.280573
0.020000,4.866917,17.044688,1.498293,3.680126,4.658387,-0.000000,6.280487
0.020000,4.941451,17.044484,1.572827,3.773293,4.658387,0.000000,6.280403
0.020000,5.017848,17.044268,1.649224,3.866461,4.658387,0.000000,6.280323
0.020000,5.096108,17.044041,1.727485,3.959629,4.658387,-0.000000,6.280246
0.020000,5.176232,17.043802,1.807609,4.052797,4.658387,0.000000,6.280172
0.020000,5.258220,17.043552,1.889597,4.145964,4.658387,-0.000000,6.280103
0.020000,5.342070,17.043291,1.973448,4.239132,4.658387,0.000000,6.280038
0.020000,5.427784,17.043019,2.059162,4.332300,4.658387,-0.000000,6.279978
0.020000,5.515361,17.042735,2.146740,4.425468,4.658387,0.000000,6.279923
0.020000,5.604802,17.042441,2.236181,4.518635,4.658387,-0.000000,6.279874
0.020000,5.696106,17.042137,2.327485,4.611803,4.658387,0.000000,6.279832
0.020000,5.789273,17.041823,2.420653,4.704971,4.658387,-0.000000,6.279796
0.020000,5.884303,17.041499,2.515684,4.798139,4.658387,0.000000,6.279767
0.020000,5.981197,17.041167,2.612579,4.891306,4.658387,-0.000000,6.279746
0.020000,6.079954,17.040827,2.711337,4.984474,4.658387,0.000000,6.279733
0.020000,6.180575,17.040479,2.811958,5.077642,4.658387,0.000000,6.279728
0.020000,6.283059,17.040125,2.914442,5.170810,4.658387,-0.000000,6.279733
0.020000,6.387406,17.039765,3.018790,5.263977,4.658387,0.000000,6.279747
0.020000,6.493617,17.039401,3.125001,5.357145,4.658387,0.000000,6.279771
0.020000,6.601691,17.039034,3.233076,5.450313,4.658387,-0.000000,6.279805
0.020000,6.711628,17.038665,3.343014,5.543481,4.658387,0.000000,6.279851
0.020000,6.823429,17.038295,3.454815,5.636648,4.658387,-0.000000,6.279908
0.020000,6.937093,17.037926,3.568480,5.729816,4.658387,0.000000,6.279978
0.020000,7.052620,17.037560,3.684008,5.822984,4.658387,0.000000,6.280060
0.020000,7.170011,17.037199,3.801399,5.916151,4.658387,-0.000000,6.280156
0.020000,7.289265,17.036844,3.920654,6.009319,4.658387,0.000000,6.280265
0.020000,7.410383,17.036498,4.041772,6.102487,4.658387,0.000000,6.280389
0.020000,7.533364,17.036162,4.164753,6.195655,4.658387,-0.000000,6.280528
0.020000,7.658208,17.035840,4.289598,6.288822,4.658387,0.000000,6.280683
0.020000,7.784916,17.035534,4.416306,6.381990,4.658387,0.000000,6.280854
0.020000,7.913487,17.035246,4.544878,6.475158,4.658387,-0.000000,6.281042
0.020000,8.043922,17.034980,4.675312,6.568326,4.658387,0.000000,6.281247
0.020000,8.176219,17.034738,4.807611,6.661493,4.658387,0.000000,6.281471
0.020000,8.310381,17.034524,4.941772,6.754661,4.658387,-0.000000,6.281713
0.020000,8.446406,17.034341,5.077797,6.847829,4.658387,0.000000,6.281975
0.020000,8.584294,17.034194,5.215685,6.940997,4.658387,0.000000,6.282257
0.020000,8.724045,17.034085,5.355437,7.034164,4.658387,-0.000000,6.282560
0.020000,8.865622,17.034019,5.497013,7.123450,4.464288,-9.704973,6.282884
0.020000,9.005085,17.034050,5.640336,7.208854,4.270188,-9.704973,0.006919
0.020000,9.149912,17.040249,5.785328,7.290376,4.076089,-9.704973,0.079376
0.020000,9.295447,17.057448,5.931912,7.368015,3.881989,-9.704973,0.156383
0.020000,9.440664,17.086313,6.080010,7.441773,3.687890,-9.704973,0.236210
0.020000,9.584480,17.127125,6.229544,7.511649,3.493790,-9.704973,0.316557
0.020000,9.725873,17.179707,6.380437,7.577643,3.299691,-9.704973,0.394838
0.020000,9.864021,17.243437,6.532611,7.639755,3.105591,-9.704973,0.468566
0.020000,9.998392,17.317332,6.685989,7.697984,2.911492,-9.704973,0.535696
0.020000,10.128782,17.400173,6.840492,7.752332,2.717392,-9.704973,0.594805
0.020000,10.255302,17.490637,6.996043,7.802798,2.523293,-9.704973,0.645091
0.020000,10.378323,17.587392,7.152565,7.849382,2.329193,-9.704973,0.686240
0.020000,10.498409,17.689159,7.309980,7.892084,2.135094,-9.704973,0.718253
0.020000,10.616260,17.794737,7.468210,7.930904,1.940995,-9.704973,0.741277
0.020000,10.732670,17.902991,7.627177,7.965842,1.746895,-9.704973,0.755483
0.020000,10.848488,18.012841,7.786804,7.996898,1.552796,-9.704973,0.760977
0.020000,10.964604,18.123223,7.947014,8.024072,1.358696,-9.704973,0.757749
0.020000,11.081928,18.233059,8.107728,8.047364,1.164597,-9.704973,0.745653
0.020000,11.201378,18.341213,8.268870,8.066773,0.970497,-9.704973,0.724414
0.020000,11.323858,18.446454,8.430361,8.082301,0.776398,-9.704973,0.693659
0.020000,11.450223,18.547427,8.592123,8.093947,0.582298,-9.704973,0.653000
0.020000,11.581224,18.642627,8.754080,8.101711,0.388199,-9.704973,0.602168
0.020000,11.717431,18.730417,8.916153,8.105593,0.194099,-9.704973,0.541218
0.020000,11.854793,18.810080,9.078231,8.102230,-0.168157,-18.112831,0.535275
0.020000,11.992625,18.895138,9.240203,8.094985,-0.362257,-9.704973,0.569371
0.020000,12.127639,18.984273,9.401992,8.083858,-0.556356,-9.704973,0.596496
0.020000,12.260290,19.076435,9.563519,8.068849,-0.750456,-9.704973,0.616808
0.020000,12.391083,19.170639,9.724707,8.049958,-0.944555,-9.704973,0.630488
0.020000,12.520551,19.265957,9.885478,8.027185,-1.138654,-9.704973,0.637703
0.020000,12.649236,19.361502,10.045755,8.000530,-1.332754,-9.704973,0.638578
0.020000,12.777677,19.456416,10.205460,7.969993,-1.526853,-9.704973,0.633184
0.020000,12.906395,19.549850,10.364516,7.935573,-1.720953,-9.704973,0.621540
0.020000,13.035884,19.640954,10.522845,7.897272,-1.915052,-9.704973,0.603626
0.020000,13.166594,19.728860,10.680368,7.855089,-2.109152,-9.704973,0.579401
0.020000,13.298914,19.812680,10.837009,7.809024,-2.303251,-9.704973,0.548840
0.020000,13.433154,19.891505,10.992690,7.759077,-2.497351,-9.704973,0.511980
0.020000,13.569517,19.964416,11.147334,7.705248,-2.691450,-9.704973,0.468980
0.020000,13.708075,20.030507,11.300861,7.647537,-2.885550,-9.704973,0.420182
0.020000,13.848743,20.088925,11.453196,7.585944,-3.079649,-9.704973,0.366170
