dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.621720,8.609760,0.000058,0.005752,0.287584,14.379177,0.002296
0.020000,8.621678,8.609760,0.000099,0.002083,-0.183430,-23.550656,0.002255
0.020000,8.621584,8.609760,0.000193,0.004687,0.130220,15.682483,0.002162
0.020000,8.621418,8.609760,0.000360,0.008335,0.182385,2.608267,0.001997
0.020000,8.621157,8.609759,0.000620,0.013029,0.234669,2.614198,0.001740
0.020000,8.620782,8.609759,0.000996,0.018772,0.287148,2.623914,0.001368
0.020000,8.620270,8.609758,0.001507,0.025570,0.339915,2.638370,0.000862
0.020000,8.619602,8.609758,0.002176,0.033432,0.393086,2.658526,0.000200
0.020000,8.622303,8.609757,0.004877,0.135085,5.082656,234.478520,6.282546
0.020000,8.627006,8.609751,0.009580,0.235116,5.001549,-4.055361,6.281507
0.020000,8.632691,8.609738,0.015265,0.284269,2.457680,-127.193432,6.280246
0.020000,8.639449,8.609713,0.022023,0.337904,2.681758,11.203900,6.278740
0.020000,8.647376,8.609671,0.029950,0.396343,2.921923,12.008228,6.276963
0.020000,8.656555,8.609604,0.039129,0.458967,3.131209,10.464299,6.274890
0.020000,8.667076,8.609504,0.049650,0.526057,3.354500,11.164574,6.272495
0.020000,8.679024,8.609360,0.061600,0.597460,3.570132,10.781570,6.269749
0.020000,8.692437,8.609159,0.075015,0.670754,3.664693,4.728074,6.266634
0.020000,8.707312,8.608887,0.089892,0.743856,3.655128,-0.478271,6.263139
0.020000,8.723627,8.608528,0.106211,0.815932,3.603806,-2.566106,6.259255
0.020000,8.741374,8.608066,0.123964,0.887677,3.587261,-0.827221,6.254967
0.020000,8.760540,8.607480,0.143139,0.958742,3.553216,-1.702256,6.250263
0.020000,8.781105,8.606750,0.163716,1.028877,3.506776,-2.322020,6.245128
0.020000,8.803054,8.605853,0.185684,1.098379,3.475070,-1.585266,6.239544
0.020000,8.826364,8.604764,0.209020,1.166792,3.420646,-2.721204,6.233493
0.020000,8.851012,8.603458,0.233702,1.234111,3.365977,-2.733457,6.226956
0.020000,8.876973,8.601905,0.259709,1.300341,3.311496,-2.724055,6.219909
0.020000,8.904222,8.600076,0.287020,1.365543,3.260087,-2.570453,6.212328
