dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.617124,10.630588,0.000058,0.005787,0.289363,14.468169,0.002252
0.020000,8.617164,10.630589,0.000098,0.002009,-0.188936,-23.914969,0.002212
0.020000,8.617255,10.630589,0.000188,0.004520,0.125563,15.724950,0.002122
0.020000,8.617416,10.630589,0.000349,0.008037,0.175869,2.515285,0.001963
0.020000,8.617667,10.630590,0.000600,0.012563,0.226298,2.521464,0.001715
0.020000,8.618029,10.630590,0.000962,0.018102,0.276930,2.531587,0.001356
0.020000,8.618522,10.630591,0.001456,0.024659,0.327863,2.546653,0.000868
0.020000,8.619167,10.630591,0.002101,0.032243,0.379216,2.567669,0.000230
0.020000,8.623342,10.630590,0.006276,0.208774,8.826510,422.364712,6.282606
0.020000,8.630142,10.630583,0.013076,0.340004,6.561512,-113.249928,6.281604
0.020000,8.638374,10.630564,0.021307,0.411559,3.577767,-149.187227,6.280387
0.020000,8.648175,10.630530,0.031109,0.490086,3.926324,17.427842,6.278933
0.020000,8.659692,10.630471,0.042626,0.575853,4.288383,18.102938,6.277217
0.020000,8.673058,10.630378,0.055992,0.668317,4.623168,16.739262,6.275214
0.020000,8.688418,10.630238,0.071352,0.768002,4.984276,18.055388,6.272900
0.020000,8.705914,10.630035,0.088850,0.874871,5.343424,17.957383,6.270245
0.020000,8.725621,10.629750,0.108559,0.985445,5.528706,9.264145,6.267232
0.020000,8.747559,10.629363,0.130501,1.097097,5.582630,2.696192,6.263847
0.020000,8.771724,10.628850,0.154671,1.208499,5.570076,-0.627716,6.260084
0.020000,8.798144,10.628185,0.181099,1.321428,5.646441,3.818265,6.255925
0.020000,8.826821,10.627337,0.209789,1.434486,5.652909,0.323394,6.251358
0.020000,8.857772,10.626275,0.240758,1.548461,5.698779,2.293492,6.246368
0.020000,8.891011,10.624960,0.274024,1.663268,5.740349,2.078499,6.240935
0.020000,8.926565,10.623352,0.309614,1.779512,5.812199,3.592494,6.235039
0.020000,8.964441,10.621407,0.347540,1.896294,5.839072,1.343641,6.228661
0.020000,9.004669,10.619072,0.387835,2.014792,5.924909,4.291879,6.221774
0.020000,9.047264,10.616295,0.430520,2.134247,5.972758,2.392443,6.214352
0.020000,9.092250,10.613014,0.475626,2.255271,6.051167,3.920424,6.206368
0.020000,9.139649,10.609162,0.523181,2.377782,6.125583,3.720797,6.197790
0.020000,9.189496,10.604664,0.573230,2.502445,6.233128,5.377289,6.188581
0.020000,9.241803,10.599441,0.625798,2.628388,6.297141,3.200657,6.178706
0.020000,9.296614,10.593401,0.680940,2.757115,6.436378,6.961815,6.168122
0.020000,9.353945,10.586447,0.738692,2.887590,6.523742,4.368205,6.156785
0.020000,9.413834,10.578468,0.799110,3.020908,6.665911,7.108432,6.144645
0.020000,9.476303,10.569345,0.862241,3.156541,6.781624,5.785659,6.131651
0.020000,9.541382,10.558946,0.928146,3.295264,6.936190,7.728315,6.117745
0.020000,9.609097,10.547124,0.996886,3.436955,7.084509,7.415930,6.102866
0.020000,9.679471,10.533717,1.068525,3.581989,7.251740,8.361565,6.086948
0.020000,9.752526,10.518550,1.143138,3.730627,7.431859,9.005966,6.069921
0.020000,9.828273,10.501426,1.220796,3.882913,7.614309,9.122506,6.051711
0.020000,9.906721,10.482131,1.301582,4.039312,7.819980,10.283558,6.032239
0.020000,9.987868,10.460431,1.385580,4.199899,8.029325,10.467227,6.011425
0.020000,10.071682,10.436073,1.472863,4.364127,8.211421,9.104786,5.989187
0.020000,10.158136,10.408778,1.563523,4.533002,8.443758,11.616883,5.965443
0.020000,10.247160,10.378250,1.657636,4.705660,8.632872,9.455672,5.940111
0.020000,10.338667,10.344171,1.755283,4.882347,8.834344,10.073587,5.913117
0.020000,10.432522,10.306207,1.856525,5.062110,8.988146,7.690115,5.884396
0.020000,10.528553,10.264015,1.961416,5.244533,9.121173,6.651358,5.853894
0.020000,10.626536,10.217239,2.069992,5.428811,9.213890,4.635825,5.821580
0.020000,10.726187,10.165535,2.182257,5.613264,9.222632,0.437122,5.787445
0.020000,10.827156,10.108572,2.298187,5.796472,9.160443,-3.109456,5.751516
0.020000,10.929030,10.046050,2.417716,5.976460,8.999379,-8.053189,5.713857
0.020000,11.031322,9.977718,2.540732,6.150790,8.716510,-14.143450,5.674578
0.020000,11.133485,9.903393,2.667071,6.316942,8.307582,-20.446388,5.633842
0.020000,11.234926,9.822974,2.796521,6.472527,7.779234,-26.417434,5.591861
0.020000,11.335008,9.736460,2.928813,6.614583,7.102835,-33.819948,5.548898
0.020000,11.433092,9.643957,3.063636,6.741158,6.328733,-38.705092,5.505263
0.020000,11.528549,9.545681,3.200641,6.850234,5.453813,-43.746017,5.461301
0.020000,11.620800,9.441950,3.339458,6.940867,4.531630,-46.109122,5.417378
0.020000,11.709333,9.333172,3.479711,7.012649,3.589122,-47.125397,5.373868
0.020000,11.793731,9.219819,3.621033,7.066115,2.673299,-45.791153,5.331131
0.020000,11.873638,9.102472,3.763002,7.098451,1.616802,-52.824852,5.289532
0.020000,11.948781,8.981800,3.905158,7.107771,0.465989,-57.540670,5.249409
