dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.619399,9.620174,0.000058,0.005787,0.289363,14.468169,0.002252
0.020000,8.619399,9.620174,0.000289,0.017362,0.578727,14.468169,0.002212
0.020000,8.619399,9.620174,0.000810,0.034724,0.868090,14.468169,0.002122
0.020000,8.619399,9.620174,0.001736,0.057873,1.157454,14.468169,0.001963
0.020000,8.619399,9.620174,0.003183,0.086809,1.446817,14.468169,0.001715
0.020000,8.619399,9.620174,0.005266,0.121533,1.736180,14.468169,0.001356
0.020000,8.619399,9.620174,0.008102,0.162043,2.025544,14.468169,0.000868
0.020000,8.619399,9.620174,0.011806,0.208342,2.314907,14.468169,0.000230
0.020000,8.622757,9.620173,0.016494,0.260427,2.604270,14.468169,6.282606
0.020000,8.628544,9.620167,0.022281,0.318300,2.893634,14.468169,6.281604
0.020000,8.635546,9.620152,0.029284,0.381960,3.182997,14.468169,6.280387
0.020000,8.643879,9.620122,0.037617,0.451407,3.472361,14.468169,6.278933
0.020000,8.653661,9.620072,0.047398,0.526641,3.761724,14.468169,6.277217
0.020000,8.665004,9.619993,0.058741,0.607663,4.051087,14.468169,6.275214
0.020000,8.678025,9.619875,0.071762,0.694472,4.340451,14.468169,6.272900
0.020000,8.692839,9.619703,0.086578,0.787068,4.629814,14.468169,6.270245
0.020000,8.709501,9.619462,0.103245,0.879665,4.629814,0.000000,6.267232
0.020000,8.728021,9.619135,0.121764,0.972261,4.629814,-0.000000,6.263847
0.020000,8.748384,9.618703,0.142135,1.064857,4.629814,0.000000,6.260084
0.020000,8.770603,9.618143,0.164358,1.157454,4.629814,0.000000,6.255925
0.020000,8.794668,9.617432,0.188433,1.250050,4.629814,0.000000,6.251358
0.020000,8.820579,9.616543,0.214360,1.342646,4.629814,-0.000000,6.246368
0.020000,8.848334,9.615445,0.242139,1.435242,4.629814,0.000000,6.240935
0.020000,8.877937,9.614107,0.271770,1.527839,4.629814,-0.000000,6.235039
0.020000,8.909376,9.612492,0.303253,1.620435,4.629814,-0.000000,6.228661
0.020000,8.942657,9.610561,0.336587,1.713031,4.629814,0.000000,6.221774
0.020000,8.977769,9.608271,0.371774,1.805627,4.629814,0.000000,6.214352
0.020000,9.014709,9.605577,0.408813,1.898224,4.629814,-0.000000,6.206368
0.020000,9.053469,9.602427,0.447703,1.990820,4.629814,0.000000,6.197790
0.020000,9.094049,9.598766,0.488445,2.083416,4.629814,0.000000,6.188581
0.020000,9.136428,9.594534,0.531040,2.176013,4.629814,-0.000000,6.178706
0.020000,9.180608,9.589666,0.575486,2.268609,4.629814,0.000000,6.168122
0.020000,9.226568,9.584091,0.621784,2.361205,4.629814,0.000000,6.156785
0.020000,9.274298,9.577733,0.669934,2.453801,4.629814,-0.000000,6.144645
0.020000,9.323775,9.570508,0.719936,2.546398,4.629814,0.000000,6.131651
0.020000,9.374980,9.562326,0.771790,2.638994,4.629814,-0.000000,6.117745
0.020000,9.427885,9.553089,0.825496,2.731590,4.629814,0.000000,6.102866
0.020000,9.482460,9.542693,0.881054,2.824187,4.629814,0.000000,6.086948
0.020000,9.538670,9.531024,0.938463,2.916783,4.629814,0.000000,6.069921
0.020000,9.596470,9.517958,0.997725,3.009379,4.629814,-0.000000,6.051711
0.020000,9.655814,9.503363,1.058838,3.101975,4.629814,0.000000,6.032239
0.020000,9.716644,9.487097,1.121804,3.194572,4.629814,-0.000000,6.011425
