dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.621675,8.609760,0.000058,0.005787,0.289363,14.468169,0.002252
0.020000,8.621634,8.609760,0.000098,0.002009,-0.188936,-23.914969,0.002212
0.020000,8.621544,8.609760,0.000188,0.004520,0.125563,15.724950,0.002122
0.020000,8.621383,8.609760,0.000349,0.008037,0.175869,2.515285,0.001963
0.020000,8.621132,8.609759,0.000600,0.012563,0.226298,2.521464,0.001715
0.020000,8.620770,8.609759,0.000962,0.018102,0.276930,2.531587,0.001356
0.020000,8.620277,8.609758,0.001456,0.024659,0.327863,2.546653,0.000868
0.020000,8.619632,8.609758,0.002101,0.032243,0.379216,2.567669,0.000230
0.020000,8.622171,8.609757,0.004640,0.126951,4.735399,217.809155,6.282606
0.020000,8.626946,8.609752,0.009415,0.238765,5.590681,42.764109,6.281604
0.020000,8.632719,8.609739,0.015187,0.288630,2.493277,-154.870209,6.280387
0.020000,8.639582,8.609715,0.022051,0.343152,2.726073,11.639769,6.278933
0.020000,8.647630,8.609674,0.030099,0.402438,2.964319,11.912333,6.277217
0.020000,8.656951,8.609609,0.039420,0.466013,3.178723,10.720165,6.275214
0.020000,8.667633,8.609511,0.050102,0.534130,3.405862,11.356957,6.272900
0.020000,8.679764,8.609370,0.062235,0.606629,3.624928,10.953318,6.270245
0.020000,8.693382,8.609174,0.075854,0.680954,3.716259,4.566528,6.267232
0.020000,8.708483,8.608907,0.090957,0.755160,3.710299,-0.297991,6.263847
0.020000,8.725043,8.608556,0.107521,0.828214,3.652727,-2.878600,6.260084
0.020000,8.743062,8.608102,0.125546,0.901215,3.650031,-0.134805,6.255925
0.020000,8.762515,8.607527,0.145007,0.973073,3.592896,-2.856758,6.251358
0.020000,8.783386,8.606811,0.165891,1.044188,3.555747,-1.857426,6.246368
0.020000,8.805656,8.605930,0.188178,1.114352,3.508220,-2.376341,6.240935
0.020000,8.829308,8.604861,0.211854,1.183810,3.472887,-1.766649,6.235039
0.020000,8.854311,8.603577,0.236890,1.251790,3.399008,-3.693944,6.228661
0.020000,8.880645,8.602049,0.263268,1.318890,3.355018,-2.199497,6.221774
0.020000,8.908274,8.600247,0.290956,1.384412,3.276090,-3.946434,6.214352
0.020000,8.937168,8.598140,0.319927,1.448544,3.206598,-3.474611,6.206368
0.020000,8.967289,8.595692,0.350147,1.511007,3.123121,-4.173826,6.197790
0.020000,8.998601,8.592867,0.381586,1.571974,3.048360,-3.738068,6.188581
0.020000,9.031053,8.589627,0.414199,1.630637,2.933154,-5.760294,6.178706
0.020000,9.064603,8.585931,0.447952,1.687654,2.850859,-4.114754,6.168122
0.020000,9.099191,8.581736,0.482794,1.742086,2.721589,-6.463502,6.156785
0.020000,9.134763,8.576997,0.518680,1.794287,2.610039,-5.577475,6.144645
0.020000,9.171248,8.571670,0.555552,1.843610,2.466189,-7.192523,6.131651
0.020000,9.208578,8.565705,0.593355,1.890177,2.328321,-6.893398,6.117745
0.020000,9.246673,8.559055,0.632027,1.933564,2.169349,-7.948568,6.102866
0.020000,9.285449,8.551670,0.671499,1.973640,2.003796,-8.277651,6.086948
0.020000,9.324814,8.543498,0.711704,2.010206,1.828306,-8.774510,6.069921
0.020000,9.364668,8.534490,0.752563,2.042970,1.638191,-9.505777,6.051711
0.020000,9.404907,8.524595,0.794001,2.071896,1.446327,-9.593204,6.032239
0.020000,9.445420,8.513763,0.835937,2.096797,1.245029,-10.064879,6.011425
0.020000,9.486084,8.501948,0.878282,2.117278,1.024054,-11.048770,5.989187
0.020000,9.526781,8.489101,0.920959,2.133832,0.827706,-9.817373,5.965443
0.020000,9.567385,8.475181,0.963883,2.146206,0.618683,-10.451145,5.940111
