dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.791880,10.723426,0.000058,0.005818,0.290920,14.545976,0.000117
0.020000,3.791886,10.723426,0.000064,0.000298,-0.276003,-28.346148,0.000112
0.020000,3.791899,10.723426,0.000078,0.000671,0.018640,14.732158,0.000098
0.020000,3.791923,10.723426,0.000101,0.001193,0.026081,0.372041,0.000075
0.020000,3.791961,10.723426,0.000139,0.001863,0.033498,0.370884,0.000038
0.020000,3.792619,10.723426,0.000797,0.032918,1.552750,75.962592,6.283170
0.020000,3.795543,10.723425,0.003721,0.146195,5.663859,205.555452,6.283098
0.020000,3.799362,10.723425,0.007540,0.190942,2.237343,-171.325799,6.283004
0.020000,3.804195,10.723424,0.012373,0.241650,2.535404,14.903019,6.282885
0.020000,3.810161,10.723422,0.018339,0.298316,2.833331,14.896348,6.282739
0.020000,3.817380,10.723418,0.025558,0.360938,3.131093,14.888146,6.282562
0.020000,3.825970,10.723411,0.034148,0.429511,3.428647,14.877665,6.282352
0.020000,3.836051,10.723402,0.044229,0.504031,3.725965,14.865896,6.282107
0.020000,3.847740,10.723388,0.055918,0.584490,4.022987,14.851095,6.281824
0.020000,3.861158,10.723367,0.069336,0.670884,4.319673,14.834309,6.281502
0.020000,3.876422,10.723339,0.084600,0.763203,4.615974,14.815082,6.281136
0.020000,3.893591,10.723300,0.101769,0.858459,4.762804,7.341493,6.280728
0.020000,3.912664,10.723249,0.120843,0.953664,4.760260,-0.127216,6.280279
0.020000,3.933641,10.723183,0.141819,1.048813,4.757430,-0.141519,6.279788
0.020000,3.956518,10.723099,0.164697,1.143899,4.754310,-0.155971,6.279258
0.020000,3.981297,10.722995,0.189475,1.238918,4.750915,-0.169750,6.278690
0.020000,4.007973,10.722867,0.216153,1.333862,4.747228,-0.184349,6.278086
0.020000,4.036548,10.722712,0.244727,1.428727,4.743265,-0.198133,6.277446
0.020000,4.067017,10.722527,0.275197,1.523508,4.739012,-0.212686,6.276773
0.020000,4.099380,10.722308,0.307561,1.618197,4.734472,-0.226981,6.276069
0.020000,4.133635,10.722051,0.341817,1.712790,4.729656,-0.240828,6.275334
0.020000,4.169780,10.721754,0.377963,1.807281,4.724546,-0.255457,6.274573
0.020000,4.207811,10.721411,0.415996,1.901664,4.719155,-0.269561,6.273785
0.020000,4.247728,10.721020,0.455915,1.995934,4.713478,-0.283855,6.272975
0.020000,4.289527,10.720575,0.497716,2.090084,4.707520,-0.297888,6.272143
0.020000,4.333207,10.720074,0.541398,2.184110,4.701270,-0.312493,6.271293
0.020000,4.378763,10.719513,0.586959,2.278004,4.694741,-0.326460,6.270427
0.020000,4.426195,10.718887,0.634394,2.371763,4.687924,-0.340877,6.269548
0.020000,4.475497,10.718192,0.683701,2.465379,4.680823,-0.355021,6.268659
0.020000,4.526668,10.717426,0.734878,2.558848,4.673437,-0.369303,6.267762
0.020000,4.579705,10.716584,0.787922,2.652163,4.665767,-0.383513,6.266861
0.020000,4.634604,10.715662,0.842828,2.745320,4.657812,-0.397760,6.265959
0.020000,4.691361,10.714659,0.899594,2.838311,4.649573,-0.411915,6.265058
0.020000,4.749974,10.713570,0.958217,2.931132,4.641050,-0.426180,6.264164
0.020000,4.810438,10.712393,1.018692,3.023777,4.632243,-0.440343,6.263278
0.020000,4.872750,10.711125,1.081017,3.116240,4.623153,-0.454520,6.262404
0.020000,4.936905,10.709763,1.145188,3.208516,4.613779,-0.468705,6.261547
0.020000,5.002901,10.708307,1.211200,3.300598,4.604122,-0.482839,6.260709
0.020000,5.070733,10.706755,1.279049,3.392482,4.594182,-0.497005,6.259896
0.020000,5.140397,10.705104,1.348732,3.484161,4.583959,-0.511149,6.259111
0.020000,5.211888,10.703356,1.420245,3.575630,4.573453,-0.525274,6.258358
0.020000,5.285202,10.701508,1.493583,3.666883,4.562665,-0.539392,6.257641
0.020000,5.360336,10.699563,1.568741,3.757915,4.551594,-0.553578,6.256965
0.020000,5.437283,10.697520,1.645715,3.848720,4.540241,-0.567634,6.256335
0.020000,5.516040,10.695382,1.724501,3.939292,4.528605,-0.581810,6.255754
0.020000,5.596601,10.693150,1.805094,4.029626,4.516686,-0.595926,6.255228
0.020000,5.678963,10.690827,1.887488,4.119715,4.504484,-0.610104,6.254762
0.020000,5.763119,10.688416,1.971679,4.209555,4.492000,-0.624225,6.254359
0.020000,5.849066,10.685923,2.057662,4.299140,4.479231,-0.638446,6.254027
0.020000,5.936798,10.683353,2.145431,4.388464,4.466179,-0.652610,6.253769
0.020000,6.026309,10.680710,2.234982,4.477520,4.452841,-0.666861,6.253591
0.020000,6.117595,10.678003,2.326308,4.566305,4.439220,-0.681083,6.253498
0.020000,6.210650,10.675239,2.419404,4.654811,4.425313,-0.695357,6.253496
0.020000,6.305469,10.672426,2.514265,4.743034,4.411120,-0.709653,6.253590
0.020000,6.402047,10.669576,2.610884,4.830966,4.396640,-0.723961,6.253787
0.020000,6.500377,10.666699,2.709256,4.918604,4.381874,-0.738300,6.254092
0.020000,6.600454,10.663806,2.809375,5.005940,4.366821,-0.752648,6.254510
0.020000,6.702272,10.660912,2.911234,5.092970,4.351482,-0.766962,6.255049
0.020000,6.805825,10.658031,3.014828,5.179687,4.335855,-0.781350,6.255714
0.020000,6.911109,10.655179,3.120150,5.266086,4.319944,-0.795579,6.256511
0.020000,7.018115,10.652373,3.227193,5.352161,4.303745,-0.809921,6.257448
0.020000,7.126839,10.649632,3.335951,5.437906,4.287264,-0.824052,6.258530
0.020000,7.237273,10.646976,3.446417,5.523316,4.270502,-0.838090,6.259763
0.020000,7.349412,10.644425,3.558585,5.608385,4.253461,-0.852054,6.261156
0.020000,7.463248,10.642005,3.672447,5.693108,4.236147,-0.865734,6.262715
0.020000,7.578775,10.639738,3.787997,5.777480,4.218563,-0.879197,6.264446
