dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.791999,9.713009,0.000058,0.005818,0.290920,14.545976,0.000117
0.020000,3.791999,9.713009,0.000291,0.017455,0.581839,14.545976,0.000112
0.020000,3.791999,9.713009,0.000815,0.034910,0.872759,14.545976,0.000098
0.020000,3.791999,9.713009,0.001746,0.058184,1.163678,14.545976,0.000075
0.020000,3.791999,9.713009,0.003200,0.087276,1.454598,14.545976,0.000038
0.020000,3.792603,9.713009,0.005295,0.122186,1.745517,14.545976,6.283170
0.020000,3.795454,9.713009,0.008146,0.162915,2.036437,14.545976,6.283098
0.020000,3.799178,9.713008,0.011870,0.209462,2.327356,14.545976,6.283004
0.020000,3.803891,9.713007,0.016582,0.261828,2.618276,14.545976,6.282885
0.020000,3.809709,9.713005,0.022401,0.320011,2.909195,14.545976,6.282739
0.020000,3.816750,9.713001,0.029441,0.384014,3.200115,14.545976,6.282562
0.020000,3.825128,9.712995,0.037820,0.453834,3.491034,14.545976,6.282352
0.020000,3.834961,9.712986,0.047653,0.529474,3.781954,14.545976,6.282107
0.020000,3.846365,9.712972,0.059057,0.610931,4.072873,14.545976,6.281824
0.020000,3.859457,9.712952,0.072148,0.698207,4.363793,14.545976,6.281502
0.020000,3.874352,9.712924,0.087043,0.791301,4.654712,14.545976,6.281136
0.020000,3.891109,9.712886,0.103800,0.884395,4.654712,0.000000,6.280728
0.020000,3.909727,9.712836,0.122419,0.977490,4.654712,0.000000,6.280279
0.020000,3.930208,9.712772,0.142900,1.070584,4.654712,-0.000000,6.279788
0.020000,3.952551,9.712690,0.165242,1.163678,4.654712,0.000000,6.279258
0.020000,3.976755,9.712588,0.189447,1.256772,4.654712,0.000000,6.278690
0.020000,4.002821,9.712463,0.215513,1.349867,4.654712,-0.000000,6.278086
0.020000,4.030749,9.712312,0.243441,1.442961,4.654712,0.000000,6.277446
0.020000,4.060538,9.712131,0.273232,1.536055,4.654712,-0.000000,6.276773
0.020000,4.092190,9.711917,0.304884,1.629149,4.654712,0.000000,6.276069
0.020000,4.125703,9.711666,0.338398,1.722244,4.654712,-0.000000,6.275334
0.020000,4.161077,9.711374,0.373773,1.815338,4.654712,0.000000,6.274573
0.020000,4.198314,9.711039,0.411011,1.908432,4.654712,-0.000000,6.273785
0.020000,4.237411,9.710656,0.450111,2.001526,4.654712,0.000000,6.272975
0.020000,4.278370,9.710220,0.491072,2.094621,4.654712,-0.000000,6.272143
