dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.792117,8.702592,0.000058,0.005818,0.290920,14.545976,0.000117
0.020000,3.792111,8.702592,0.000064,0.000298,-0.276003,-28.346148,0.000112
0.020000,3.792098,8.702592,0.000078,0.000671,0.018640,14.732158,0.000098
0.020000,3.792074,8.702592,0.000101,0.001193,0.026081,0.372041,0.000075
0.020000,3.792037,8.702592,0.000139,0.001863,0.033498,0.370884,0.000038
0.020000,3.792588,8.702592,0.000690,0.027557,1.284725,62.561329,6.283170
0.020000,3.795366,8.702592,0.003468,0.138906,5.567456,214.136541,6.283098
0.020000,3.798995,8.702592,0.007097,0.181435,2.126449,-172.050338,6.283004
0.020000,3.803588,8.702591,0.011689,0.229640,2.410227,14.188895,6.282885
0.020000,3.809258,8.702588,0.017360,0.283523,2.694138,14.195579,6.282739
0.020000,3.816120,8.702585,0.024222,0.343087,2.978219,14.204042,6.282562
0.020000,3.824287,8.702579,0.032388,0.408337,3.262498,14.213933,6.282352
0.020000,3.833872,8.702570,0.041974,0.479277,3.547029,14.226555,6.282107
0.020000,3.844990,8.702556,0.053092,0.555914,3.831841,14.240611,6.281824
0.020000,3.857755,8.702537,0.065857,0.638254,4.116990,14.257461,6.281502
0.020000,3.872281,8.702510,0.080383,0.726305,4.402531,14.277030,6.281136
0.020000,3.888626,8.702473,0.096728,0.817237,4.546617,7.204298,6.280728
0.020000,3.906791,8.702424,0.114893,0.908220,4.549167,0.127511,6.280279
0.020000,3.926776,8.702361,0.134878,0.999260,4.551999,0.141581,6.279788
0.020000,3.948583,8.702281,0.156685,1.090363,4.555109,0.155527,6.279258
0.020000,3.972213,8.702182,0.180316,1.181533,4.558512,0.170130,6.278690
0.020000,3.997668,8.702060,0.205771,1.272777,4.562191,0.183970,6.278086
0.020000,4.024950,8.701912,0.233053,1.364100,4.566163,0.198600,6.277446
0.020000,4.054060,8.701735,0.262163,1.455508,4.570414,0.212514,6.276773
0.020000,4.084999,8.701525,0.293104,1.547007,4.574947,0.226687,6.276069
0.020000,4.117770,8.701280,0.325876,1.638603,4.579773,0.241300,6.275334
0.020000,4.152375,8.700995,0.360482,1.730300,4.584877,0.255176,6.274573
0.020000,4.188816,8.700667,0.396924,1.822106,4.590268,0.269561,6.273785
0.020000,4.227094,8.700292,0.435204,1.914024,4.595943,0.283770,6.272975
0.020000,4.267213,8.699865,0.475325,2.006063,4.601908,0.298232,6.272143
0.020000,4.309175,8.699384,0.517290,2.098226,4.608151,0.312145,6.271293
0.020000,4.352982,8.698844,0.561100,2.190519,4.614684,0.326668,6.270427
0.020000,4.398637,8.698241,0.606759,2.282949,4.621499,0.340751,6.269548
0.020000,4.446143,8.697572,0.654270,2.375521,4.628601,0.355089,6.268659
0.020000,4.495502,8.696833,0.703635,2.468241,4.635987,0.369282,6.267762
0.020000,4.546718,8.696020,0.754857,2.561114,4.643657,0.383530,6.266861
0.020000,4.599793,8.695129,0.807940,2.654146,4.651612,0.397726,6.265959
0.020000,4.654732,8.694158,0.862887,2.747343,4.659852,0.411993,6.265058
0.020000,4.711536,8.693102,0.919701,2.840711,4.668374,0.426134,6.264164
