dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.621675,10.630588,0.000058,0.005787,0.289363,14.468169,6.280934
0.020000,8.621634,10.630589,0.000098,0.002009,-0.188936,-23.914969,6.280973
0.020000,8.621544,10.630589,0.000188,0.004520,0.125563,15.724950,6.281063
0.020000,8.621383,10.630589,0.000349,0.008037,0.175869,2.515285,6.281222
0.020000,8.621132,10.630590,0.000600,0.012563,0.226298,2.521464,6.281471
0.020000,8.620770,10.630590,0.000962,0.018102,0.276930,2.531587,6.281829
0.020000,8.620277,10.630591,0.001456,0.024659,0.327863,2.546653,6.282317
0.020000,8.619632,10.630591,0.002101,0.032243,0.379216,2.567669,6.282955
0.020000,8.622171,10.630592,0.004640,0.126951,4.735399,217.809155,0.000580
0.020000,8.626946,10.630597,0.009415,0.238765,5.590681,42.764109,0.001582
0.020000,8.632719,10.630610,0.015187,0.288630,2.493277,-154.870209,0.002798
0.020000,8.639582,10.630634,0.022051,0.343152,2.726073,11.639769,0.004252
0.020000,8.647630,10.630675,0.030099,0.402438,2.964319,11.912333,0.005969
0.020000,8.656951,10.630740,0.039420,0.466013,3.178723,10.720165,0.007971
0.020000,8.667633,10.630837,0.050102,0.534130,3.405862,11.356957,0.010285
0.020000,8.679764,10.630978,0.062235,0.606629,3.624928,10.953318,0.012940
0.020000,8.693382,10.631175,0.075854,0.680954,3.716259,4.566528,0.015954
0.020000,8.708483,10.631441,0.090957,0.755160,3.710299,-0.297991,0.019338
0.020000,8.725043,10.631793,0.107521,0.828214,3.652727,-2.878600,0.023102
0.020000,8.743062,10.632246,0.125546,0.901215,3.650031,-0.134805,0.027260
0.020000,8.762515,10.632821,0.145007,0.973073,3.592896,-2.856758,0.031827
0.020000,8.783386,10.633538,0.165891,1.044188,3.555747,-1.857426,0.036818
0.020000,8.805656,10.634418,0.188178,1.114352,3.508220,-2.376341,0.042250
0.020000,8.829308,10.635488,0.211854,1.183810,3.472887,-1.766649,0.048146
0.020000,8.854311,10.636772,0.236890,1.251790,3.399008,-3.693944,0.054524
0.020000,8.880645,10.638300,0.263268,1.318890,3.355018,-2.199497,0.061412
0.020000,8.908274,10.640101,0.290956,1.384412,3.276090,-3.946434,0.068833
0.020000,8.937168,10.642209,0.319927,1.448544,3.206598,-3.474611,0.076817
0.020000,8.967289,10.644656,0.350147,1.511007,3.123121,-4.173826,0.085395
0.020000,8.998601,10.647481,0.381586,1.571974,3.048360,-3.738068,0.094604
0.020000,9.031053,10.650721,0.414199,1.630637,2.933154,-5.760294,0.104479
0.020000,9.064603,10.654418,0.447952,1.687654,2.850859,-4.114754,0.115063
0.020000,9.099191,10.658613,0.482794,1.742086,2.721589,-6.463502,0.126400
0.020000,9.134763,10.663352,0.518680,1.794287,2.610039,-5.577475,0.138540
0.020000,9.171248,10.668679,0.555552,1.843610,2.466189,-7.192523,0.151534
0.020000,9.208578,10.674644,0.593355,1.890177,2.328321,-6.893398,0.165440
0.020000,9.246673,10.681294,0.632027,1.933564,2.169349,-7.948568,0.180319
0.020000,9.285449,10.688679,0.671499,1.973640,2.003796,-8.277651,0.196237
0.020000,9.324814,10.696851,0.711704,2.010206,1.828306,-8.774510,0.213264
0.020000,9.364668,10.705859,0.752563,2.042970,1.638191,-9.505777,0.231474
0.020000,9.404907,10.715754,0.794001,2.071896,1.446327,-9.593204,0.250946
0.020000,9.445420,10.726586,0.835937,2.096797,1.245029,-10.064879,0.271761
0.020000,9.486084,10.738401,0.878282,2.117278,1.024054,-11.048770,0.293998
0.020000,9.526781,10.751247,0.920959,2.133832,0.827706,-9.817373,0.317743
0.020000,9.567385,10.765168,0.963883,2.146206,0.618683,-10.451145,0.343074
0.020000,9.607774,10.780206,1.006981,2.154899,0.434678,-9.200256,0.370068
0.020000,9.647826,10.796403,1.050184,2.160146,0.262335,-8.617161,0.398790
0.020000,9.687429,10.813799,1.093439,2.162768,0.131091,-6.562181,0.429291
0.020000,9.726485,10.832440,1.136715,2.163808,0.052005,-3.954325,0.461606
0.020000,9.764911,10.852372,1.180004,2.164412,0.030207,-1.089901,0.495740
0.020000,9.802648,10.873658,1.223330,2.166321,0.095437,3.261522,0.531669
0.020000,9.839666,10.896372,1.266761,2.171533,0.260619,8.259075,0.569329
0.020000,9.875961,10.920614,1.310407,2.182309,0.538810,13.909576,0.608607
0.020000,9.911562,10.946511,1.354431,2.201197,0.944386,20.278791,0.649343
0.020000,9.946526,10.974229,1.399049,2.230924,1.486340,27.097723,0.691325
0.020000,9.980932,11.003970,1.444528,2.273918,2.149705,33.168252,0.734287
0.020000,10.014870,11.035980,1.491179,2.332575,2.932874,39.158450,0.777922
0.020000,10.048431,11.070537,1.539351,2.408605,3.801502,43.431369,0.821884
0.020000,10.081696,11.107950,1.589415,2.503178,4.728641,46.356976,0.865807
0.020000,10.114724,11.148543,1.641747,2.616582,5.670187,47.077293,0.909318
0.020000,10.147544,11.192636,1.696713,2.748322,6.586986,45.839944,0.952054
0.020000,10.180129,11.240507,1.754622,2.895426,7.355207,38.411059,0.993654
0.020000,10.212406,11.292361,1.815701,3.053973,7.927380,28.608640,1.033777
0.020000,10.244276,11.348347,1.880123,3.221085,8.355597,21.410847,1.072138
0.020000,10.275627,11.408546,1.947996,3.393656,8.628515,13.645895,1.108516
0.020000,10.306340,11.472972,2.019368,3.568588,8.746601,5.904278,1.142749
0.020000,10.336299,11.541575,2.094227,3.742978,8.719517,-1.354176,1.174733
0.020000,10.365405,11.614251,2.172515,3.914399,8.571064,-7.422656,1.204413
0.020000,10.393575,11.690848,2.254128,4.080652,8.312632,-12.921612,1.231776
0.020000,10.420752,11.771180,2.338933,4.240236,7.979188,-16.672161,1.256840
0.020000,10.446902,11.855033,2.426769,4.391786,7.577502,-20.084299,1.279648
0.020000,10.472019,11.942178,2.517461,4.534597,7.140569,-21.846653,1.300261
0.020000,10.496116,12.032374,2.610820,4.667977,6.669007,-23.578135,1.318749
