dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.619399,9.620174,0.000058,0.005787,0.289363,14.468169,6.280934
0.020000,8.619399,9.620174,0.000289,0.017362,0.578727,14.468169,6.280973
0.020000,8.619399,9.620174,0.000810,0.034724,0.868090,14.468169,6.281063
0.020000,8.619399,9.620174,0.001736,0.057873,1.157454,14.468169,6.281222
0.020000,8.619399,9.620174,0.003183,0.086809,1.446817,14.468169,6.281471
0.020000,8.619399,9.620174,0.005266,0.121533,1.736180,14.468169,6.281829
0.020000,8.619399,9.620174,0.008102,0.162043,2.025544,14.468169,6.282317
0.020000,8.619399,9.620174,0.011806,0.208342,2.314907,14.468169,6.282955
0.020000,8.622757,9.620175,0.016494,0.260427,2.604270,14.468169,0.000580
0.020000,8.628544,9.620182,0.022281,0.318300,2.893634,14.468169,0.001582
0.020000,8.635546,9.620197,0.029284,0.381960,3.182997,14.468169,0.002798
0.020000,8.643879,9.620226,0.037617,0.451407,3.472361,14.468169,0.004252
0.020000,8.653661,9.620276,0.047398,0.526641,3.761724,14.468169,0.005969
0.020000,8.665004,9.620355,0.058741,0.607663,4.051087,14.468169,0.007971
0.020000,8.678025,9.620474,0.071762,0.694472,4.340451,14.468169,0.010285
0.020000,8.692839,9.620646,0.086578,0.787068,4.629814,14.468169,0.012940
0.020000,8.709501,9.620887,0.103245,0.879665,4.629814,0.000000,0.015954
0.020000,8.728021,9.621214,0.121764,0.972261,4.629814,-0.000000,0.019338
0.020000,8.748384,9.621646,0.142135,1.064857,4.629814,0.000000,0.023102
0.020000,8.770603,9.622205,0.164358,1.157454,4.629814,0.000000,0.027260
0.020000,8.794668,9.622916,0.188433,1.250050,4.629814,0.000000,0.031827
0.020000,8.820579,9.623806,0.214360,1.342646,4.629814,-0.000000,0.036818
0.020000,8.848334,9.624903,0.242139,1.435242,4.629814,0.000000,0.042250
0.020000,8.877937,9.626242,0.271770,1.527839,4.629814,-0.000000,0.048146
0.020000,8.909376,9.627857,0.303253,1.620435,4.629814,-0.000000,0.054524
0.020000,8.942657,9.629788,0.336587,1.713031,4.629814,0.000000,0.061412
0.020000,8.977769,9.632077,0.371774,1.805627,4.629814,0.000000,0.068833
0.020000,9.014709,9.634772,0.408813,1.898224,4.629814,-0.000000,0.076817
0.020000,9.053469,9.637922,0.447703,1.990820,4.629814,0.000000,0.085395
0.020000,9.094049,9.641583,0.488445,2.083416,4.629814,0.000000,0.094604
0.020000,9.136428,9.645815,0.531040,2.176013,4.629814,-0.000000,0.104479
0.020000,9.180608,9.650683,0.575486,2.268609,4.629814,0.000000,0.115063
0.020000,9.226568,9.656257,0.621784,2.361205,4.629814,0.000000,0.126400
0.020000,9.274298,9.662616,0.669934,2.453801,4.629814,-0.000000,0.138540
0.020000,9.323775,9.669841,0.719936,2.546398,4.629814,0.000000,0.151534
0.020000,9.374980,9.678023,0.771790,2.638994,4.629814,-0.000000,0.165440
0.020000,9.427885,9.687259,0.825496,2.731590,4.629814,0.000000,0.180319
0.020000,9.482460,9.697655,0.881054,2.824187,4.629814,0.000000,0.196237
0.020000,9.538670,9.709325,0.938463,2.916783,4.629814,0.000000,0.213264
0.020000,9.596470,9.722391,0.997725,3.009379,4.629814,-0.000000,0.231474
0.020000,9.655814,9.736986,1.058838,3.101975,4.629814,0.000000,0.250946
0.020000,9.716644,9.753252,1.121804,3.194572,4.629814,-0.000000,0.271761
0.020000,9.778883,9.771338,1.186621,3.287168,4.629814,0.000000,0.293998
0.020000,9.842458,9.791409,1.253291,3.379764,4.629814,0.000000,0.317743
0.020000,9.907273,9.813633,1.321812,3.472361,4.629814,-0.000000,0.343074
0.020000,9.973221,9.838192,1.392185,3.564957,4.629814,0.000000,0.370068
0.020000,10.040174,9.865272,1.464410,3.657553,4.629814,0.000000,0.398790
0.020000,10.107991,9.895067,1.538487,3.750149,4.629814,-0.000000,0.429291
0.020000,10.176511,9.927775,1.614416,3.842746,4.629814,0.000000,0.461606
0.020000,10.245549,9.963593,1.692197,3.935342,4.629814,-0.000000,0.495740
0.020000,10.314902,10.002717,1.771830,4.027938,4.629814,0.000000,0.531669
0.020000,10.384348,10.045336,1.853315,4.120535,4.629814,0.000000,0.569329
0.020000,10.453641,10.091622,1.936651,4.213131,4.629814,0.000000,0.608607
0.020000,10.522523,10.141733,2.021840,4.305727,4.629814,-0.000000,0.649343
0.020000,10.590726,10.195802,2.108880,4.398323,4.629814,0.000000,0.691325
0.020000,10.657970,10.253929,2.197773,4.490920,4.629814,-0.000000,0.734287
0.020000,10.723981,10.316186,2.288517,4.583516,4.629814,0.000000,0.777922
0.020000,10.788490,10.382602,2.381113,4.676112,4.629814,0.000000,0.821884
0.020000,10.851248,10.453174,2.475562,4.768709,4.629814,0.000000,0.865807
0.020000,10.912029,10.527860,2.571862,4.861305,4.629814,-0.000000,0.909318
0.020000,10.970637,10.606583,2.670014,4.953901,4.629814,0.000000,0.952054
0.020000,11.026883,10.689191,2.769960,5.040710,4.340451,-14.468169,0.993654
0.020000,11.080593,10.775455,2.871584,5.121732,4.051087,-14.468169,1.033777
0.020000,11.131650,10.865118,2.974771,5.196966,3.761724,-14.468169,1.072138
