dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.617124,8.609760,0.000058,0.005787,0.289363,14.468169,6.280934
0.020000,8.617164,8.609760,0.000098,0.002009,-0.188936,-23.914969,6.280973
0.020000,8.617255,8.609760,0.000188,0.004520,0.125563,15.724950,6.281063
0.020000,8.617416,8.609760,0.000349,0.008037,0.175869,2.515285,6.281222
0.020000,8.617667,8.609759,0.000600,0.012563,0.226298,2.521464,6.281471
0.020000,8.618029,8.609759,0.000962,0.018102,0.276930,2.531587,6.281829
0.020000,8.618522,8.609758,0.001456,0.024659,0.327863,2.546653,6.282317
0.020000,8.619167,8.609758,0.002101,0.032243,0.379216,2.567669,6.282955
0.020000,8.623342,8.609759,0.006276,0.208774,8.826510,422.364712,0.000580
0.020000,8.630142,8.609766,0.013076,0.340004,6.561512,-113.249928,0.001582
0.020000,8.638374,8.609784,0.021307,0.411559,3.577767,-149.187227,0.002798
0.020000,8.648175,8.609819,0.031109,0.490086,3.926324,17.427842,0.004252
0.020000,8.659692,8.609878,0.042626,0.575853,4.288383,18.102938,0.005969
0.020000,8.673058,8.609971,0.055992,0.668317,4.623168,16.739262,0.007971
0.020000,8.688418,8.610111,0.071352,0.768002,4.984276,18.055388,0.010285
0.020000,8.705914,8.610314,0.088850,0.874871,5.343424,17.957383,0.012940
0.020000,8.725621,8.610599,0.108559,0.985445,5.528706,9.264145,0.015954
0.020000,8.747559,8.610986,0.130501,1.097097,5.582630,2.696192,0.019338
0.020000,8.771724,8.611499,0.154671,1.208499,5.570076,-0.627716,0.023102
0.020000,8.798144,8.612164,0.181099,1.321428,5.646441,3.818265,0.027260
0.020000,8.826821,8.613011,0.209789,1.434486,5.652909,0.323394,0.031827
0.020000,8.857772,8.614074,0.240758,1.548461,5.698779,2.293492,0.036818
0.020000,8.891011,8.615388,0.274024,1.663268,5.740349,2.078499,0.042250
0.020000,8.926565,8.616996,0.309614,1.779512,5.812199,3.592494,0.048146
0.020000,8.964441,8.618942,0.347540,1.896294,5.839072,1.343641,0.054524
0.020000,9.004669,8.621276,0.387835,2.014792,5.924909,4.291879,0.061412
0.020000,9.047264,8.624054,0.430520,2.134247,5.972758,2.392443,0.068833
0.020000,9.092250,8.627335,0.475626,2.255271,6.051167,3.920424,0.076817
0.020000,9.139649,8.631187,0.523181,2.377782,6.125583,3.720797,0.085395
0.020000,9.189496,8.635685,0.573230,2.502445,6.233128,5.377289,0.094604
0.020000,9.241803,8.640908,0.625798,2.628388,6.297141,3.200657,0.104479
0.020000,9.296614,8.646948,0.680940,2.757115,6.436378,6.961815,0.115063
