dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.621646,10.630588,0.000058,0.005786,0.289310,14.465487,6.280962
0.020000,8.621605,10.630589,0.000099,0.002064,-0.186134,-23.772194,6.281003
0.020000,8.621512,10.630589,0.000192,0.004644,0.129002,15.756783,6.281095
0.020000,8.621347,10.630589,0.000357,0.008257,0.180692,2.584510,6.281258
0.020000,8.621088,10.630590,0.000615,0.012908,0.232519,2.591387,6.281514
0.020000,8.620716,10.630590,0.000987,0.018599,0.284573,2.602657,6.281882
0.020000,8.620210,10.630591,0.001494,0.025338,0.336961,2.619433,6.282383
0.020000,8.619547,10.630591,0.002157,0.033135,0.389818,2.642841,6.283039
0.020000,8.622573,10.630592,0.005183,0.151311,5.908825,275.950339,0.000686
0.020000,8.627318,10.630598,0.009928,0.237241,4.296485,-80.617007,0.001716
0.020000,8.633055,10.630611,0.015665,0.286876,2.481731,-90.737707,0.002968
0.020000,8.639872,10.630637,0.022482,0.340843,2.698379,10.832431,0.004464
0.020000,8.647869,10.630679,0.030479,0.399845,2.950115,12.586777,0.006230
0.020000,8.657127,10.630747,0.039737,0.462920,3.153706,10.179556,0.008292
0.020000,8.667736,10.630847,0.050346,0.530448,3.376397,11.134538,0.010677
0.020000,8.679780,10.630992,0.062391,0.602250,3.590141,10.687210,0.013413
0.020000,8.693302,10.631195,0.075915,0.676183,3.696610,5.323435,0.016524
0.020000,8.708285,10.631468,0.090900,0.749262,3.653967,-2.132135,0.020018
0.020000,8.724718,10.631829,0.107337,0.821843,3.629048,-1.245945,0.023909
0.020000,8.742582,10.632295,0.125208,0.893537,3.584703,-2.217227,0.028211
0.020000,8.761864,10.632884,0.144499,0.964540,3.550130,-1.728689,0.032942
0.020000,8.782544,10.633619,0.165191,1.034627,3.504399,-2.286533,0.038118
0.020000,8.804596,10.634522,0.187263,1.103569,3.447086,-2.865667,0.043761
0.020000,8.828000,10.635619,0.210692,1.171445,3.393799,-2.664336,0.049893
0.020000,8.852725,10.636935,0.235452,1.238023,3.328914,-3.244231,0.056539
0.020000,8.878745,10.638501,0.261519,1.303359,3.266776,-3.106934,0.063727
0.020000,8.906022,10.640348,0.288858,1.366949,3.179489,-4.364351,0.071486
0.020000,8.934517,10.642508,0.317435,1.428864,3.095742,-4.187316,0.079851
0.020000,8.964195,10.645016,0.347219,1.489195,3.016593,-3.957451,0.088860
0.020000,8.995000,10.647910,0.378160,1.547013,2.890873,-6.286020,0.098551
0.020000,9.026885,10.651230,0.410217,1.602860,2.792338,-4.926733,0.108970
0.020000,9.059793,10.655015,0.443342,1.656243,2.669169,-6.158460,0.120167
0.020000,9.093661,10.659310,0.477481,1.706966,2.536129,-6.651999,0.132194
0.020000,9.128413,10.664158,0.512570,1.754451,2.374255,-8.093690,0.145110
0.020000,9.163979,10.669605,0.548550,1.799001,2.227511,-7.337187,0.158979
0.020000,9.200267,10.675699,0.585347,1.839848,2.042375,-9.256822,0.173871
0.020000,9.237186,10.682486,0.622885,1.876880,1.851595,-9.538996,0.189860
0.020000,9.274638,10.690014,0.661086,1.910049,1.658418,-9.658869,0.207030
0.020000,9.312507,10.698329,0.699856,1.938538,1.424445,-11.698636,0.225464
0.020000,9.350675,10.707478,0.739106,1.962486,1.197426,-11.350932,0.245259
0.020000,9.389014,10.717504,0.778734,1.981399,0.945645,-12.589074,0.266510
0.020000,9.427391,10.728448,0.818640,1.995317,0.695902,-12.487166,0.289320
0.020000,9.465661,10.740345,0.858717,2.003854,0.426830,-13.453588,0.313792
0.020000,9.503680,10.753230,0.898860,2.007141,0.164354,-13.123765,0.340029
0.020000,9.541304,10.767132,0.938971,2.005539,-0.080072,-12.221323,0.368134
0.020000,9.578390,10.782073,0.978954,1.999131,-0.320406,-12.016698,0.398195
0.020000,9.614808,10.798077,1.018733,1.988949,-0.509123,-9.435876,0.430294
0.020000,9.650438,10.815165,1.058249,1.975805,-0.657203,-7.403970,0.464482
0.020000,9.685190,10.833365,1.097477,1.961428,-0.718839,-3.081812,0.500788
0.020000,9.719000,10.852714,1.136433,1.947762,-0.683297,1.777090,0.539196
0.020000,9.751844,10.873271,1.175180,1.937359,-0.520133,8.158215,0.579643
0.020000,9.783740,10.895124,1.213843,1.933180,-0.208980,15.557659,0.622004
0.020000,9.814749,10.918401,1.252617,1.938693,0.275675,24.232736,0.666089
0.020000,9.844970,10.943284,1.291764,1.957344,0.932522,32.842338,0.711637
0.020000,9.874535,10.970008,1.331617,1.992646,1.765113,41.629570,0.758318
0.020000,9.903588,10.998871,1.372570,2.047632,2.749292,49.208933,0.805743
0.020000,9.932272,11.030221,1.415062,2.124616,3.849204,54.995622,0.853477
0.020000,9.960709,11.064445,1.459559,2.224863,5.012377,58.158655,0.901059
0.020000,9.988984,11.101952,1.506529,2.348512,6.182435,58.502863,0.948025
0.020000,10.017115,11.143117,1.556388,2.492938,7.221312,51.943868,0.993909
0.020000,10.045056,11.188251,1.609471,2.654144,8.060279,41.948339,1.038261
0.020000,10.072718,11.237598,1.666043,2.828582,8.721921,33.082127,1.080708
0.020000,10.099979,11.291322,1.726287,3.012214,9.181607,22.984296,1.120952
0.020000,10.126697,11.349497,1.790305,3.200886,9.433601,12.599704,1.158778
0.020000,10.152730,11.412116,1.858120,3.390751,9.493212,2.980536,1.194049
0.020000,10.177946,11.479095,1.929688,3.578404,9.382666,-5.527315,1.226694
0.020000,10.202233,11.550287,2.004909,3.761044,9.132006,-12.532968,1.256698
0.020000,10.225506,11.625499,2.083639,3.936500,8.772777,-17.961467,1.284088
0.020000,10.247711,11.704502,2.165702,4.103190,8.334502,-21.913750,1.308924
0.020000,10.268825,11.787045,2.250903,4.260050,7.843030,-24.573589,1.331285
0.020000,10.288854,11.872868,2.339032,4.406445,7.319731,-26.164940,1.351265
0.020000,10.307831,11.961705,2.429874,4.542074,6.781437,-26.914694,1.368961
0.020000,10.325813,12.053293,2.523211,4.666844,6.238531,-27.145301,1.384473
0.020000,10.342877,12.147378,2.618830,4.780981,5.706820,-26.585576,1.397898
0.020000,10.359108,12.243664,2.716475,4.882213,5.061618,-32.260092,1.409323
0.020000,10.374608,12.341861,2.815888,4.970661,4.422398,-31.961000,1.418830
0.020000,10.389496,12.441742,2.916872,5.049204,3.927159,-24.761932,1.426503
0.020000,10.403901,12.543088,3.019236,5.118222,3.450871,-23.814405,1.432414
0.020000,10.417956,12.645692,3.122799,5.178152,2.996499,-22.718619,1.436629
0.020000,10.431798,12.749361,3.227388,5.229427,2.563792,-21.635371,1.439204
0.020000,10.445569,12.853906,3.332836,5.272419,2.149570,-20.711091,1.440190
0.020000,10.459410,12.959150,3.438986,5.307478,1.752970,-19.829998,1.439628
0.020000,10.473462,13.064918,3.545684,5.334913,1.371739,-19.061528,1.437556
0.020000,10.487865,13.171046,3.652784,5.355003,1.004505,-18.361716,1.434003
0.020000,10.502759,13.277366,3.760143,5.367925,0.646071,-17.921673,1.428997
0.020000,10.518278,13.383717,3.867620,5.373866,0.297071,-17.450039,1.422562
0.020000,10.534553,13.489935,3.975077,5.372872,-0.049681,-17.337589,1.414720
0.020000,10.551708,13.595854,4.082377,5.364993,-0.393966,-17.214252,1.405493
0.020000,10.569862,13.701306,4.189381,5.350164,-0.741460,-17.374691,1.394905
0.020000,10.589122,13.806116,4.295945,5.328224,-1.096976,-17.775779,1.382981
0.020000,10.609599,13.910162,4.401987,5.302084,-1.307023,-10.502395,1.369745
0.020000,10.631406,14.013383,4.507486,5.274961,-1.356153,-2.456473,1.355213
0.020000,10.654653,14.115717,4.612428,5.247105,-1.392784,-1.831545,1.339400
0.020000,10.679443,14.217096,4.716794,5.218274,-1.441576,-2.439599,1.322324
0.020000,10.705871,14.317441,4.820561,5.188358,-1.495799,-2.711168,1.304009
0.020000,10.734022,14.416667,4.923703,5.157091,-1.563351,-3.377610,1.284479
0.020000,10.763971,14.514676,5.026185,5.124118,-1.648624,-4.263638,1.263769
0.020000,10.795780,14.611360,5.127967,5.089127,-1.749555,-5.046528,1.241919
0.020000,10.829495,14.706597,5.228996,5.051438,-1.884467,-6.745612,1.218982
0.020000,10.865144,14.800255,5.329209,5.010659,-2.038940,-7.723670,1.195020
0.020000,10.902734,14.892191,5.428533,4.966175,-2.224180,-9.261965,1.170106
0.020000,10.942251,14.982249,5.526880,4.917333,-2.442099,-10.895948,1.144326
