dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.619399,9.620174,0.000058,0.005786,0.289310,14.465487,6.280962
0.020000,8.619399,9.620174,0.000289,0.017359,0.578619,14.465487,6.281003
0.020000,8.619399,9.620174,0.000810,0.034717,0.867929,14.465487,6.281095
0.020000,8.619399,9.620174,0.001736,0.057862,1.157239,14.465487,6.281258
0.020000,8.619399,9.620174,0.003182,0.086793,1.446549,14.465487,6.281514
0.020000,8.619399,9.620174,0.005265,0.121510,1.735858,14.465487,6.281882
0.020000,8.619399,9.620174,0.008101,0.162013,2.025168,14.465487,6.282383
0.020000,8.619399,9.620174,0.011804,0.208303,2.314478,14.465487,6.283039
0.020000,8.623267,9.620176,0.016491,0.260379,2.603788,14.465487,0.000686
0.020000,8.629052,9.620183,0.022277,0.318241,2.893097,14.465487,0.001716
0.020000,8.636054,9.620199,0.029278,0.381889,3.182407,14.465487,0.002968
0.020000,8.644382,9.620230,0.037610,0.451323,3.471717,14.465487,0.004464
0.020000,8.654164,9.620282,0.047389,0.526544,3.761027,14.465487,0.006230
0.020000,8.665506,9.620365,0.058730,0.607550,4.050336,14.465487,0.008292
0.020000,8.678523,9.620488,0.071749,0.694343,4.339646,14.465487,0.010677
0.020000,8.693333,9.620666,0.086561,0.786922,4.628956,14.465487,0.013413
0.020000,8.709997,9.620916,0.103226,0.879502,4.628956,-0.000000,0.016524
0.020000,8.728510,9.621254,0.121742,0.972081,4.628956,0.000000,0.020018
0.020000,8.748873,9.621701,0.142109,1.064660,4.628956,0.000000,0.023909
0.020000,8.771084,9.622280,0.164328,1.157239,4.628956,-0.000000,0.028211
0.020000,8.795143,9.623016,0.188398,1.249818,4.628956,0.000000,0.032942
0.020000,8.821050,9.623936,0.214321,1.342397,4.628956,0.000000,0.038118
0.020000,8.848799,9.625073,0.242094,1.434976,4.628956,0.000000,0.043761
0.020000,8.878391,9.626459,0.271720,1.527555,4.628956,-0.000000,0.049893
0.020000,8.909822,9.628133,0.303197,1.620134,4.628956,0.000000,0.056539
0.020000,8.943092,9.630136,0.336525,1.712714,4.628956,0.000000,0.063727
0.020000,8.978191,9.632512,0.371705,1.805293,4.628956,-0.000000,0.071486
0.020000,9.015115,9.635310,0.408737,1.897872,4.628956,0.000000,0.079851
0.020000,9.053863,9.638586,0.447620,1.990451,4.628956,-0.000000,0.088860
0.020000,9.094416,9.642396,0.488355,2.083030,4.628956,0.000000,0.098551
0.020000,9.136772,9.646806,0.530941,2.175609,4.628956,-0.000000,0.108970
0.020000,9.180919,9.651885,0.575379,2.268188,4.628956,0.000000,0.120167
0.020000,9.226843,9.657709,0.621669,2.360767,4.628956,0.000000,0.132194
0.020000,9.274521,9.664361,0.669810,2.453347,4.628956,0.000000,0.145110
0.020000,9.323938,9.671931,0.719803,2.545926,4.628956,-0.000000,0.158979
0.020000,9.375066,9.680517,0.771647,2.638505,4.628956,0.000000,0.173871
0.020000,9.427874,9.690225,0.825343,2.731084,4.628956,0.000000,0.189860
0.020000,9.482333,9.701174,0.880890,2.823663,4.628956,-0.000000,0.207030
0.020000,9.538395,9.713486,0.938289,2.916242,4.628956,0.000000,0.225464
0.020000,9.596012,9.727299,0.997540,3.008821,4.628956,-0.000000,0.245259
0.020000,9.655123,9.742759,1.058642,3.101400,4.628956,0.000000,0.266510
0.020000,9.715663,9.760026,1.121596,3.193979,4.628956,0.000000,0.289320
0.020000,9.777543,9.779267,1.186401,3.286559,4.628956,-0.000000,0.313792
0.020000,9.840668,9.800665,1.253058,3.379138,4.628956,0.000000,0.340029
0.020000,9.904928,9.824412,1.321567,3.471717,4.628956,0.000000,0.368134
0.020000,9.970185,9.850709,1.391927,3.564296,4.628956,0.000000,0.398195
0.020000,10.036291,9.879767,1.464139,3.656875,4.628956,-0.000000,0.430294
0.020000,10.103064,9.911799,1.538202,3.749454,4.628956,0.000000,0.464482
0.020000,10.170308,9.947023,1.614117,3.842033,4.628956,0.000000,0.500788
0.020000,10.237794,9.985654,1.691883,3.934612,4.628956,-0.000000,0.539196
0.020000,10.305275,10.027898,1.771501,4.027191,4.628956,0.000000,0.579643
0.020000,10.372474,10.073945,1.852971,4.119771,4.628956,0.000000,0.622004
0.020000,10.439101,10.123967,1.936292,4.212350,4.628956,-0.000000,0.666089
0.020000,10.504847,10.178101,2.021465,4.304929,4.628956,0.000000,0.711637
0.020000,10.569400,10.236452,2.108489,4.397508,4.628956,0.000000,0.758318
0.020000,10.632447,10.299081,2.197365,4.490087,4.628956,0.000000,0.805743
0.020000,10.693692,10.366006,2.288093,4.582666,4.628956,-0.000000,0.853477
