dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.617153,8.609760,0.000058,0.005786,0.289310,14.465487,6.280962
0.020000,8.617194,8.609760,0.000099,0.002064,-0.186134,-23.772194,6.281003
0.020000,8.617287,8.609760,0.000192,0.004644,0.129002,15.756783,6.281095
0.020000,8.617452,8.609760,0.000357,0.008257,0.180692,2.584510,6.281258
0.020000,8.617710,8.609759,0.000615,0.012908,0.232519,2.591387,6.281514
0.020000,8.618082,8.609759,0.000987,0.018599,0.284573,2.602657,6.281882
0.020000,8.618589,8.609758,0.001494,0.025338,0.336961,2.619433,6.282383
0.020000,8.619252,8.609758,0.002157,0.033135,0.389818,2.642841,6.283039
0.020000,8.623960,8.609759,0.006865,0.235423,10.114418,486.229993,0.000686
0.020000,8.630787,8.609767,0.013691,0.341312,5.294423,-240.999734,0.001716
0.020000,8.639053,8.609787,0.021958,0.413330,3.600895,-84.676392,0.002968
0.020000,8.648892,8.609823,0.031797,0.491962,3.931602,16.535317,0.004464
0.020000,8.660459,8.609885,0.043364,0.578348,4.319338,19.386807,0.006230
0.020000,8.673884,8.609983,0.056789,0.671253,4.645218,16.293999,0.008292
0.020000,8.689311,8.610129,0.072217,0.771409,5.007799,18.129034,0.010677
0.020000,8.706885,8.610341,0.089793,0.878773,5.368237,18.021943,0.013413
0.020000,8.726692,8.610637,0.109602,0.990454,5.584015,10.788857,0.016524
0.020000,8.748735,8.611040,0.131648,1.102296,5.592126,0.405574,0.020018
0.020000,8.773029,8.611573,0.155948,1.215015,5.635925,2.189964,0.023909
0.020000,8.799585,8.612265,0.182513,1.328244,5.661489,1.278168,0.028211
0.020000,8.828421,8.613147,0.211363,1.442499,5.712713,2.561216,0.032942
0.020000,8.859555,8.614254,0.242517,1.557689,5.759504,2.339529,0.038118
0.020000,8.893002,8.615624,0.275991,1.673726,5.801872,2.118431,0.043761
0.020000,8.928783,8.617300,0.311812,1.791015,5.864459,3.129330,0.049893
0.020000,8.966919,8.619331,0.350002,1.909513,5.924867,3.020435,0.056539
0.020000,9.007439,8.621770,0.390595,2.029643,6.006513,4.082287,0.063727
0.020000,9.050360,8.624676,0.433615,2.150994,6.067529,3.050775,0.071486
0.020000,9.095712,8.628113,0.479096,2.274072,6.153931,4.320118,0.079851
0.020000,9.143531,8.632156,0.527086,2.399477,6.270233,5.815097,0.088860
0.020000,9.193833,8.636883,0.577610,2.526192,6.335761,3.276388,0.098551
0.020000,9.246660,8.642383,0.630722,2.655620,6.471411,6.782505,0.108970
0.020000,9.302045,8.648755,0.686473,2.787542,6.596059,6.232381,0.120167
0.020000,9.360026,8.656108,0.744918,2.922258,6.735816,6.987893,0.132194
0.020000,9.420628,8.664564,0.806107,3.059458,6.859986,6.208502,0.145110
0.020000,9.483898,8.674256,0.870115,3.200397,7.046979,9.349619,0.158979
0.020000,9.549864,8.685335,0.937005,3.344512,7.205759,7.939021,0.173871
0.020000,9.618561,8.697965,1.006853,3.492407,7.394754,9.449736,0.189860
0.020000,9.690028,8.712334,1.079751,3.644866,7.622921,11.408355,0.207030
0.020000,9.764283,8.728643,1.155775,3.801205,7.816968,9.702366,0.225464
0.020000,9.841349,8.747119,1.235025,3.962512,8.065353,12.419226,0.245259
0.020000,9.921233,8.768014,1.317596,4.128559,8.302332,11.848952,0.266510
0.020000,10.003935,8.791604,1.403597,4.300038,8.573949,13.580867,0.289320
0.020000,10.089426,8.818189,1.493127,4.476483,8.822251,12.415078,0.313792
0.020000,10.177657,8.848100,1.586289,4.658123,9.082014,12.988143,0.340029
0.020000,10.268551,8.881693,1.683193,4.845200,9.353845,13.591563,0.368134
0.020000,10.361980,8.919345,1.783923,5.036498,9.564911,10.553319,0.398195
0.020000,10.457774,8.961456,1.888565,5.232070,9.778599,10.684394,0.430294
0.020000,10.555691,9.008432,1.997167,5.430114,9.902176,6.178844,0.464482
0.020000,10.655426,9.060681,2.109759,5.629620,9.975299,3.656156,0.500788
0.020000,10.756589,9.118593,2.226326,5.828365,9.937255,-1.902192,0.539196
0.020000,10.858706,9.182524,2.346804,6.023886,9.776066,-8.059488,0.579643
0.020000,10.961208,9.252767,2.471065,6.213039,9.457639,-15.921329,0.622004
0.020000,11.063453,9.329532,2.598920,6.392766,8.986352,-23.564356,0.666089
0.020000,11.164724,9.412919,2.730104,6.559173,8.320344,-33.300383,0.711637
0.020000,11.264264,9.502896,2.864283,6.708980,7.490370,-41.498723,0.758318
0.020000,11.361307,9.599291,3.001065,6.839099,6.505934,-49.221805,0.805743
0.020000,11.455113,9.701791,3.140011,6.947269,5.408484,-54.872476,0.853477
0.020000,11.545011,9.809952,3.280653,7.032137,4.243396,-58.254418,0.901059
0.020000,11.630436,9.923224,3.422527,7.093677,3.077035,-58.318043,0.948025
0.020000,11.710905,10.040918,3.565100,7.128642,1.748221,-66.440716,0.993909
0.020000,11.786050,10.162236,3.707805,7.135273,0.331580,-70.832051,1.038261
0.020000,11.855682,10.286384,3.850148,7.117125,-0.907409,-61.949427,1.080708
0.020000,11.919769,10.412612,3.991713,7.078244,-1.944072,-51.833173,1.120952
0.020000,11.978416,10.540236,4.132167,7.022692,-2.777599,-41.676307,1.158778
0.020000,12.031835,10.668656,4.271255,6.954409,-3.414112,-31.825684,1.194049
0.020000,12.080316,10.797364,4.408790,6.876773,-3.881803,-23.384532,1.226694
0.020000,12.124198,10.925933,4.544642,6.792571,-4.210108,-16.415273,1.256698
0.020000,12.163849,11.054015,4.678721,6.703975,-4.429833,-10.986253,1.284088
0.020000,12.199648,11.181329,4.810972,6.612566,-4.570453,-7.030972,1.308924
0.020000,12.231972,11.307647,4.941361,6.519410,-4.657754,-4.365048,1.331285
0.020000,12.261186,11.432785,5.069864,6.425149,-4.713066,-2.765591,1.351265
0.020000,12.287642,11.556592,5.196465,6.330084,-4.753234,-2.008427,1.368961
0.020000,12.311670,11.678939,5.321149,6.234204,-4.794034,-2.039985,1.384473
0.020000,12.333580,11.799717,5.443899,6.137488,-4.835774,-2.087030,1.397898
0.020000,12.353653,11.918769,5.564631,6.036589,-5.044977,-10.460126,1.409323
0.020000,12.372152,12.035944,5.683257,5.931307,-5.264104,-10.956341,1.418830
0.020000,12.389328,12.151159,5.799746,5.824438,-5.343421,-3.965867,1.426503
0.020000,12.405416,12.264331,5.914055,5.715484,-5.447702,-5.214028,1.432414
0.020000,12.420628,12.375375,6.026136,5.604026,-5.572912,-6.260532,1.436629
0.020000,12.435160,12.484202,6.135929,5.489673,-5.717648,-7.236765,1.439204
0.020000,12.449191,12.590722,6.243370,5.372022,-5.882530,-8.244116,1.440190
0.020000,12.462884,12.694840,6.348384,5.250726,-6.064824,-9.114725,1.439628
0.020000,12.476383,12.796457,6.450894,5.125473,-6.262656,-9.891562,1.437556
0.020000,12.489821,12.895470,6.550814,4.996018,-6.472759,-10.505163,1.434003
0.020000,12.503310,12.991772,6.648057,4.862119,-6.694908,-11.107461,1.428997
0.020000,12.516949,13.085255,6.742530,4.723662,-6.922870,-11.398104,1.422562
0.020000,12.530822,13.175809,6.834140,4.580523,-7.156958,-11.704393,1.414720
0.020000,12.544995,13.263324,6.922795,4.432719,-7.390214,-11.662816,1.405493
0.020000,12.559516,13.347689,7.008401,4.280313,-7.620264,-11.502461,1.394905
0.020000,12.574418,13.428801,7.090870,4.123451,-7.843140,-11.143804,1.382981
0.020000,12.589727,13.506603,7.170164,3.964693,-7.937871,-4.736583,1.369745
0.020000,12.605460,13.581091,7.246295,3.806582,-7.905542,1.616451,1.355213
0.020000,12.621625,13.652265,7.319282,3.649346,-7.861820,2.186133,1.339400
0.020000,12.638215,13.720126,7.389142,3.492980,-7.818287,2.176620,1.322324
0.020000,12.655212,13.784681,7.455896,3.337714,-7.763331,2.747828,1.304009
0.020000,12.672587,13.845940,7.519572,3.183798,-7.695755,3.378763,1.284479
0.020000,12.690302,13.903926,7.580204,3.031563,-7.611765,4.199514,1.263769
0.020000,12.708308,13.958670,7.637833,2.881480,-7.504147,5.380930,1.241919
0.020000,12.726550,14.010216,7.692512,2.733924,-7.377807,6.316966,1.218982
0.020000,12.744969,14.058621,7.744302,2.589530,-7.219687,7.906014,1.195020
0.020000,12.763501,14.103957,7.793280,2.448877,-7.032670,9.350828,1.170106
0.020000,12.782081,14.146312,7.839531,2.312567,-6.815478,10.859603,1.144326
0.020000,12.800645,14.185790,7.883155,2.181216,-6.567590,12.394398,1.117779
0.020000,12.819132,14.222507,7.924265,2.055461,-6.287720,13.993536,1.090576
0.020000,12.837486,14.256597,7.962981,1.935821,-5.981985,15.286728,1.062836
0.020000,12.855659,14.288200,7.999437,1.822787,-5.651736,16.512469,1.034692
0.020000,12.873610,14.317468,8.033771,1.716708,-5.303918,17.390881,1.006281
0.020000,12.891305,14.344557,8.066127,1.617826,-4.944104,17.990707,0.977744
0.020000,12.908721,14.369625,8.096652,1.526220,-4.580292,18.190587,0.949227
0.020000,12.925841,14.392830,8.125488,1.441829,-4.219594,18.034896,0.920872
0.020000,12.942655,14.414323,8.152777,1.364434,-3.869749,17.492280,0.892817
0.020000,12.959159,14.434250,8.178651,1.293684,-3.537467,16.614101,0.865195
0.020000,12.975350,14.452746,8.203233,1.229101,-3.229152,15.415741,0.838126
0.020000,12.991231,14.469935,8.226635,1.170105,-2.949789,13.968133,0.811722
0.020000,13.006799,14.485931,8.248956,1.116077,-2.701421,12.418418,0.786082
0.020000,13.022055,14.500834,8.270283,1.066317,-2.487987,10.671700,0.761288
0.020000,13.036992,14.514732,8.290686,1.020151,-2.308290,8.984867,0.737414
0.020000,13.051604,14.527702,8.310224,0.976897,-2.162744,7.277266,0.714515
0.020000,13.065877,14.539812,8.328942,0.935895,-2.050072,5.633598,0.692637
0.020000,13.079795,14.551118,8.346873,0.896580,-1.965778,4.214691,0.671814
0.020000,13.093337,14.561669,8.364041,0.858369,-1.910540,2.761910,0.652067
0.020000,13.106478,14.571509,8.380457,0.820837,-1.876592,1.697390,0.633409
0.020000,13.119191,14.580673,8.396129,0.783570,-1.863352,0.662018,0.615846
0.020000,13.131444,14.589194,8.411053,0.746219,-1.867544,-0.209606,0.599376
0.020000,13.143205,14.597097,8.425223,0.708500,-1.885954,-0.920506,0.583993
0.020000,13.154441,14.604407,8.438628,0.670260,-1.911984,-1.301460,0.569684
0.020000,13.165118,14.611146,8.451253,0.631245,-1.950741,-1.937850,0.556436
0.020000,13.175200,14.617332,8.463082,0.591448,-1.989870,-1.956450,0.544233
0.020000,13.184655,14.622982,8.474097,0.550740,-2.035406,-2.276831,0.533056
0.020000,13.193451,14.628112,8.484279,0.509117,-2.081139,-2.286655,0.522887
0.020000,13.201556,14.632734,8.493609,0.466501,-2.130790,-2.482551,0.513708
0.020000,13.208941,14.636861,8.502070,0.423022,-2.173971,-2.159045,0.505501
0.020000,13.215581,14.640505,8.509644,0.378695,-2.216365,-2.119691,0.498248
0.020000,13.221475,14.643687,8.516342,0.334918,-2.188854,1.375537,0.491908
0.020000,13.226655,14.646444,8.522210,0.293395,-2.076133,5.636086,0.486411
0.020000,13.231155,14.648810,8.527294,0.254212,-1.959131,5.850069,0.481692
0.020000,13.235016,14.650819,8.531646,0.217597,-1.830773,6.417905,0.477684
0.020000,13.238280,14.652501,8.535318,0.183594,-1.700119,6.532708,0.474325
0.020000,13.240992,14.653889,8.538364,0.152315,-1.563964,6.807750,0.471554
0.020000,13.243197,14.655010,8.540839,0.123723,-1.429611,6.717634,0.469314
0.020000,13.244949,14.655897,8.542802,0.098170,-1.277667,7.597186,0.467543
0.020000,13.246294,14.656575,8.544309,0.075321,-1.142438,6.761473,0.466189
0.020000,13.247288,14.657074,8.545420,0.055575,-0.987303,7.756750,0.465191
0.020000,13.247981,14.657422,8.546196,0.038785,-0.839488,7.390749,0.464497
0.020000,13.248428,14.657645,8.546696,0.024986,-0.689933,7.477770,0.464049
0.020000,13.248682,14.657773,8.546980,0.014204,-0.539127,7.540296,0.463795
0.020000,13.248797,14.657830,8.547109,0.006453,-0.387549,7.578882,0.463680
0.020000,13.248828,14.657846,8.547143,0.001742,-0.235563,7.599293,0.463649
0.020000,13.248830,14.657847,8.547145,0.000073,-0.083414,7.607440,0.463648
0.020000,13.248830,14.657847,8.547145,0.000000,-0.003662,3.987642,0.463648
