dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001006,1.010416,0.000058,0.005825,0.291252,14.562613,6.282189
0.020000,0.000995,1.010416,0.000070,0.000587,-0.261882,-27.656710,6.282201
0.020000,0.000968,1.010416,0.000096,0.001322,0.036715,14.929868,6.282227
0.020000,0.000921,1.010416,0.000143,0.002350,0.051409,0.734658,6.282274
0.020000,0.000848,1.010416,0.000217,0.003672,0.066112,0.735195,6.282346
0.020000,0.000742,1.010416,0.000323,0.005289,0.080834,0.736074,6.282451
0.020000,0.000598,1.010416,0.000467,0.007200,0.095582,0.737382,6.282593
0.020000,0.000410,1.010417,0.000655,0.009408,0.110366,0.739205,6.282780
0.020000,0.000172,1.010417,0.000893,0.011912,0.125198,0.741630,6.283015
0.020000,0.002305,1.010417,0.003026,0.106658,4.737307,230.605414,0.000121
0.020000,0.008998,1.010419,0.009719,0.334663,11.400241,333.146730,0.000474
0.020000,0.016960,1.010424,0.017681,0.398098,3.171762,-411.423940,0.000894
0.020000,0.026307,1.010435,0.027028,0.467331,3.461663,14.495012,0.001388
0.020000,0.037142,1.010453,0.037864,0.541776,3.722237,13.028731,0.001962
0.020000,0.049584,1.010482,0.050305,0.622076,4.014980,14.637127,0.002622
0.020000,0.063735,1.010524,0.064457,0.707595,4.275977,13.049882,0.003374
0.020000,0.079654,1.010584,0.080375,0.795913,4.415900,6.996107,0.004223
0.020000,0.097338,1.010667,0.098060,0.884237,4.416192,0.014612,0.005168
0.020000,0.116789,1.010778,0.117511,0.972537,4.415006,-0.059288,0.006210
0.020000,0.138004,1.010922,0.138726,1.060784,4.412333,-0.133669,0.007352
0.020000,0.160982,1.011105,0.161705,1.148947,4.408163,-0.208504,0.008592
0.020000,0.185721,1.011334,0.186445,1.236997,4.402487,-0.283763,0.009934
0.020000,0.212222,1.011617,0.212948,1.325136,4.406963,0.223797,0.011377
0.020000,0.240482,1.011960,0.241210,1.413110,4.398705,-0.412933,0.012922
0.020000,0.270501,1.012373,0.271231,1.501065,4.397760,-0.047207,0.014573
0.020000,0.302273,1.012864,0.303008,1.588822,4.387822,-0.496942,0.016329
0.020000,0.335802,1.013442,0.336542,1.676703,4.394064,0.312119,0.018192
0.020000,0.371084,1.014119,0.371830,1.764404,4.385051,-0.450674,0.020164
0.020000,0.408115,1.014904,0.408870,1.851980,4.378818,-0.311610,0.022247
0.020000,0.446894,1.015810,0.447659,1.939462,4.374094,-0.236232,0.024443
0.020000,0.487418,1.016847,0.488196,2.026873,4.370556,-0.176891,0.026753
0.020000,0.529687,1.018030,0.530482,2.114283,4.370474,-0.004070,0.029180
0.020000,0.573694,1.019370,0.574509,2.201371,4.354431,-0.802152,0.031726
0.020000,0.619439,1.020883,0.620279,2.288469,4.354886,0.022752,0.034393
0.020000,0.666916,1.022583,0.667786,2.375373,4.345180,-0.485337,0.037184
0.020000,0.716124,1.024485,0.717032,2.462278,4.345258,0.003922,0.040102
0.020000,0.767058,1.026606,0.768010,2.548887,4.330459,-0.739984,0.043149
0.020000,0.819713,1.028964,0.820718,2.635402,4.325741,-0.235853,0.046328
0.020000,0.874086,1.031574,0.875153,2.721785,4.319129,-0.330617,0.049642
0.020000,0.930172,1.034458,0.931313,2.807996,4.310592,-0.426855,0.053095
0.020000,0.987965,1.037633,0.989193,2.893998,4.300102,-0.524478,0.056690
0.020000,1.047459,1.041121,1.048789,2.979796,4.289903,-0.509995,0.060430
0.020000,1.108652,1.044943,1.110101,3.065617,4.291014,0.055582,0.064319
0.020000,1.171532,1.049120,1.173120,3.150913,4.264830,-1.309231,0.068362
0.020000,1.236097,1.053677,1.237846,3.236289,4.268801,0.198570,0.072561
0.020000,1.302337,1.058637,1.304272,3.321305,4.250770,-0.901564,0.076923
0.020000,1.370246,1.064025,1.372393,3.406081,4.238803,-0.598321,0.081451
0.020000,1.439814,1.069868,1.442206,3.490642,4.228082,-0.536061,0.086149
0.020000,1.511032,1.076193,1.513705,3.574943,4.215050,-0.651605,0.091024
0.020000,1.583891,1.083029,1.586884,3.658937,4.199676,-0.768701,0.096080
0.020000,1.658383,1.090405,1.661740,3.742816,4.193935,-0.287028,0.101323
0.020000,1.734494,1.098352,1.738265,3.826228,4.170595,-1.166998,0.106758
0.020000,1.812214,1.106902,1.816454,3.909452,4.161222,-0.468681,0.112391
0.020000,1.891528,1.116087,1.896298,3.992236,4.139202,-1.100973,0.118229
0.020000,1.972425,1.125944,1.977794,4.074766,4.126486,-0.635817,0.124279
0.020000,2.054891,1.136508,2.060933,4.156986,4.111034,-0.772582,0.130546
0.020000,2.138911,1.147816,2.145710,4.238843,4.092820,-0.910742,0.137039
0.020000,2.224466,1.159907,2.232116,4.320279,4.071824,-1.049784,0.143765
0.020000,2.311538,1.172821,2.320141,4.401240,4.048041,-1.189134,0.150731
0.020000,2.400112,1.186600,2.409780,4.481969,4.036441,-0.580004,0.157946
0.020000,2.490164,1.201287,2.501021,4.562064,4.004740,-1.585077,0.165418
0.020000,2.581675,1.216927,2.593860,4.641918,3.992690,-0.602470,0.173156
0.020000,2.674622,1.233567,2.688284,4.721209,3.964560,-1.406529,0.181169
0.020000,2.768978,1.251254,2.784284,4.799991,3.939089,-1.273531,0.189467
0.020000,2.864720,1.270040,2.881851,4.878351,3.918011,-1.053906,0.198059
0.020000,2.961818,1.289975,2.980974,4.956183,3.891628,-1.319156,0.206956
0.020000,3.060241,1.311112,3.081641,5.033340,3.857836,-1.689587,0.216168
0.020000,3.159960,1.333508,3.183845,5.110173,3.841652,-0.809212,0.225707
0.020000,3.260940,1.357219,3.287570,5.186291,3.805917,-1.786709,0.235583
0.020000,3.363143,1.382303,3.392807,5.261838,3.777315,-1.430106,0.245808
0.020000,3.466532,1.408822,3.499543,5.336788,3.747516,-1.489960,0.256394
0.020000,3.571065,1.436838,3.607765,5.411091,3.715154,-1.618123,0.267353
0.020000,3.676701,1.466415,3.717464,5.484950,3.692969,-1.109254,0.278698
0.020000,3.783390,1.497620,3.828622,5.557921,3.648511,-2.222885,0.290441
0.020000,3.891084,1.530521,3.941230,5.630409,3.624429,-1.204088,0.302594
0.020000,3.999732,1.565187,4.055275,5.702225,3.590773,-1.682814,0.315171
0.020000,4.109277,1.601691,4.170742,5.773344,3.555946,-1.741326,0.328184
0.020000,4.219663,1.640105,4.287621,5.843944,3.530012,-1.296740,0.341646
0.020000,4.330825,1.680503,4.405896,5.913755,3.490560,-1.972592,0.355570
0.020000,4.442699,1.722964,4.525557,5.983057,3.465089,-1.273523,0.369967
0.020000,4.555216,1.767563,4.646591,6.051697,3.432016,-1.653645,0.384850
0.020000,4.668305,1.814381,4.768987,6.119820,3.406164,-1.292637,0.400229
0.020000,4.781888,1.863498,4.892735,6.187416,3.379785,-1.318910,0.416115
0.020000,4.895887,1.914994,5.017825,6.254492,3.353771,-1.300708,0.432517
0.020000,5.010218,1.968952,5.144250,6.321240,3.337422,-0.817466,0.449444
0.020000,5.124795,2.025454,5.272001,6.387545,3.315261,-1.108069,0.466902
0.020000,5.239482,2.084560,5.401023,6.451101,3.177778,-6.874144,0.484890
0.020000,5.354099,2.146302,5.531212,6.509437,2.916827,-13.047543,0.503395
0.020000,5.468466,2.210706,5.662465,6.562680,2.662130,-12.734832,0.522402
0.020000,5.582404,2.277789,5.794685,6.610978,2.414883,-12.362383,0.541895
0.020000,5.695739,2.347563,5.927777,6.654589,2.180550,-11.716650,0.561850
0.020000,5.808300,2.420033,6.061649,6.693593,1.950224,-11.516280,0.582243
0.020000,5.919920,2.495192,6.196215,6.728306,1.735646,-10.728894,0.603045
0.020000,6.030435,2.573030,6.331390,6.758764,1.522882,-10.638193,0.624224
0.020000,6.139690,2.653522,6.467094,6.785214,1.322522,-10.018010,0.645743
0.020000,6.247533,2.736640,6.603251,6.807817,1.130138,-9.619184,0.667565
0.020000,6.353819,2.822342,6.739785,6.826724,0.945353,-9.239263,0.689646
0.020000,6.458412,2.910580,6.876627,6.842093,0.768439,-8.845723,0.711943
0.020000,6.561183,3.001294,7.013707,6.854000,0.595375,-8.653185,0.734407
