dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000058,0.005825,0.291252,14.562613,6.282189
0.020000,0.000000,0.000000,0.000291,0.017475,0.582505,14.562613,6.282201
0.020000,0.000000,0.000000,0.000816,0.034950,0.873757,14.562613,6.282227
0.020000,0.000000,0.000000,0.001748,0.058250,1.165009,14.562613,6.282274
0.020000,0.000000,0.000000,0.003204,0.087376,1.456261,14.562613,6.282346
0.020000,0.000000,0.000000,0.005301,0.122326,1.747514,14.562613,6.282451
0.020000,0.000000,0.000000,0.008155,0.163101,2.038766,14.562613,6.282593
0.020000,0.000000,0.000000,0.011883,0.209702,2.330018,14.562613,6.282780
0.020000,0.000000,0.000000,0.016601,0.262127,2.621270,14.562613,6.283015
0.020000,0.002427,0.000000,0.022426,0.320377,2.912523,14.562613,0.000121
0.020000,0.009477,0.000002,0.029475,0.384453,3.203775,14.562613,0.000474
0.020000,0.017864,0.000008,0.037863,0.454354,3.495027,14.562613,0.000894
0.020000,0.027709,0.000019,0.047707,0.530079,3.786279,14.562613,0.001388
0.020000,0.039125,0.000038,0.059124,0.611630,4.077532,14.562613,0.001962
0.020000,0.052233,0.000068,0.072231,0.699005,4.368784,14.562613,0.002622
0.020000,0.067145,0.000113,0.087143,0.792206,4.660036,14.562613,0.003374
0.020000,0.083920,0.000177,0.103919,0.885407,4.660036,0.000000,0.004223
0.020000,0.102560,0.000264,0.122559,0.978608,4.660036,-0.000000,0.005168
0.020000,0.123064,0.000381,0.143063,1.071808,4.660036,0.000000,0.006210
0.020000,0.145432,0.000533,0.165431,1.165009,4.660036,0.000000,0.007352
0.020000,0.169664,0.000726,0.189663,1.258210,4.660036,0.000000,0.008592
0.020000,0.195758,0.000968,0.215760,1.351411,4.660036,-0.000000,0.009934
0.020000,0.223717,0.001265,0.243720,1.444611,4.660036,0.000000,0.011377
0.020000,0.253539,0.001628,0.273544,1.537812,4.660036,0.000000,0.012922
0.020000,0.285225,0.002063,0.305232,1.631013,4.660036,0.000000,0.014573
0.020000,0.318771,0.002582,0.338785,1.724213,4.660036,-0.000000,0.016329
0.020000,0.354183,0.003193,0.374201,1.817414,4.660036,0.000000,0.018192
0.020000,0.391457,0.003908,0.411481,1.910615,4.660036,0.000000,0.020164
0.020000,0.430592,0.004738,0.450626,2.003816,4.660036,0.000000,0.022247
0.020000,0.471589,0.005695,0.491634,2.097016,4.660036,0.000000,0.024443
0.020000,0.514447,0.006792,0.534506,2.190217,4.660036,-0.000000,0.026753
