dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001006,-1.010416,0.000058,0.005825,0.291252,14.562613,6.282189
0.020000,-0.000995,-1.010416,0.000070,0.000587,-0.261882,-27.656710,6.282201
0.020000,-0.000968,-1.010416,0.000096,0.001322,0.036715,14.929868,6.282227
0.020000,-0.000921,-1.010416,0.000143,0.002350,0.051409,0.734658,6.282274
0.020000,-0.000848,-1.010416,0.000217,0.003672,0.066112,0.735195,6.282346
0.020000,-0.000742,-1.010416,0.000323,0.005289,0.080834,0.736074,6.282451
0.020000,-0.000598,-1.010416,0.000467,0.007200,0.095582,0.737382,6.282593
0.020000,-0.000410,-1.010417,0.000655,0.009408,0.110366,0.739205,6.282780
0.020000,-0.000172,-1.010417,0.000893,0.011912,0.125198,0.741630,6.283015
0.020000,0.002550,-1.010416,0.003615,0.136091,6.208972,304.188700,0.000121
0.020000,0.009956,-1.010414,0.011021,0.370310,11.710958,275.099269,0.000474
0.020000,0.018767,-1.010408,0.019832,0.440554,3.512201,-409.937837,0.000894
0.020000,0.029112,-1.010396,0.030177,0.517243,3.834438,16.111853,0.001388
0.020000,0.041107,-1.010376,0.042172,0.599736,4.124651,14.510634,0.001962
0.020000,0.054882,-1.010345,0.055947,0.688756,4.450977,16.316309,0.002622
0.020000,0.070554,-1.010298,0.071619,0.783611,4.742747,14.588532,0.003374
0.020000,0.088187,-1.010231,0.089252,0.881632,4.901047,7.914998,0.004223
0.020000,0.107781,-1.010139,0.108846,0.979736,4.905213,0.208266,0.005168
0.020000,0.129339,-1.010016,0.130404,1.077900,4.908195,0.149093,0.006210
0.020000,0.152860,-1.009857,0.153926,1.176099,4.909989,0.089704,0.007352
0.020000,0.178346,-1.009654,0.179413,1.274311,4.910592,0.030144,0.008592
0.020000,0.205795,-1.009399,0.206863,1.372511,4.910001,-0.029545,0.009934
0.020000,0.235212,-1.009086,0.236282,1.470935,4.921165,0.558210,0.011377
0.020000,0.266596,-1.008705,0.267668,1.569309,4.918701,-0.123204,0.012922
0.020000,0.299949,-1.008246,0.301024,1.667806,4.924871,0.308488,0.014573
0.020000,0.335269,-1.007700,0.336349,1.766238,4.921574,-0.164850,0.016329
0.020000,0.372563,-1.007057,0.373648,1.864974,4.936809,0.761749,0.018192
0.020000,0.411830,-1.006303,0.412922,1.963687,4.935646,-0.058105,0.020164
0.020000,0.453069,-1.005429,0.454171,2.062450,4.938148,0.125077,0.022247
0.020000,0.496284,-1.004420,0.497397,2.161308,4.942921,0.238663,0.024443
0.020000,0.541475,-1.003263,0.542603,2.260301,4.949634,0.335658,0.026753
0.020000,0.588647,-1.001943,0.589793,2.359518,4.960848,0.560696,0.029180
0.020000,0.637796,-1.000446,0.638966,2.458616,4.954907,-0.297088,0.031726
0.020000,0.688928,-0.998755,0.690125,2.557977,4.968059,0.657645,0.034393
0.020000,0.742042,-0.996854,0.743273,2.657388,4.970571,0.125598,0.037184
0.020000,0.797142,-0.994723,0.798415,2.757084,4.984767,0.709760,0.040102
0.020000,0.854228,-0.992346,0.855550,2.856745,4.983070,-0.084818,0.043149
0.020000,0.913301,-0.989702,0.914682,2.956614,4.993450,0.519001,0.046328
0.020000,0.974364,-0.986769,0.975815,3.056665,5.002537,0.454310,0.049642
0.020000,1.037418,-0.983528,1.038953,3.156871,5.010320,0.389189,0.053095
0.020000,1.102464,-0.979954,1.104097,3.257207,5.016795,0.323754,0.056690
0.020000,1.169503,-0.976024,1.171251,3.357697,5.024515,0.385981,0.060430
0.020000,1.238541,-0.971712,1.240423,3.458617,5.045963,1.072409,0.064319
0.020000,1.309571,-0.966993,1.311610,3.559369,5.037624,-0.416977,0.068362
0.020000,1.382603,-0.961839,1.384823,3.660657,5.064369,1.337256,0.072561
0.020000,1.457633,-0.956221,1.460064,3.762004,5.067354,0.149246,0.076923
0.020000,1.534662,-0.950109,1.537335,3.863570,5.078315,0.548043,0.081451
0.020000,1.613692,-0.943471,1.616643,3.965407,5.091870,0.677778,0.086149
0.020000,1.694723,-0.936274,1.697993,4.067488,5.104034,0.608216,0.091024
0.020000,1.777754,-0.928484,1.781389,4.169784,5.114806,0.538563,0.096080
0.020000,1.862789,-0.920064,1.866839,4.272542,5.137899,1.154650,0.101323
0.020000,1.949823,-0.910977,1.954347,4.375388,5.142298,0.219970,0.106758
0.020000,2.038860,-0.901182,2.043921,4.478670,5.164079,1.089024,0.112391
0.020000,2.129894,-0.890639,2.135563,4.582127,5.172873,0.439716,0.118229
0.020000,2.222926,-0.879303,2.229283,4.686005,5.193869,1.049803,0.124279
0.020000,2.317955,-0.867130,2.325089,4.790271,5.213347,0.973887,0.130546
0.020000,2.414978,-0.854072,2.422987,4.894898,5.231305,0.897913,0.137039
0.020000,2.513991,-0.840079,2.522984,4.999853,5.247750,0.822263,0.143765
0.020000,2.614988,-0.825100,2.625086,5.105107,5.262697,0.747356,0.150731
0.020000,2.717969,-0.809079,2.729305,5.210978,5.293588,1.544517,0.157946
0.020000,2.822923,-0.791962,2.835646,5.317038,5.302973,0.469262,0.165418
0.020000,2.929848,-0.773687,2.944122,5.423780,5.337119,1.707324,0.173156
0.020000,3.038735,-0.754193,3.054739,5.530869,5.354447,0.866387,0.181169
0.020000,3.149572,-0.733416,3.167507,5.638405,5.376788,1.117031,0.189467
0.020000,3.262352,-0.711287,3.282438,5.746530,5.406249,1.473039,0.198059
0.020000,3.377063,-0.687736,3.399541,5.855159,5.431443,1.259726,0.206956
0.020000,3.493687,-0.662689,3.518824,5.964154,5.449781,0.916905,0.216168
0.020000,3.612213,-0.636069,3.640303,6.073972,5.490883,2.055119,0.225707
0.020000,3.732622,-0.607796,3.763987,6.184185,5.510659,0.988786,0.235583
0.020000,3.854893,-0.577786,3.889887,6.294998,5.540637,1.498878,0.245808
0.020000,3.979004,-0.545952,4.018015,6.406415,5.570837,1.510032,0.256394
0.020000,4.104928,-0.512203,4.148383,6.518404,5.599451,1.430655,0.267353
0.020000,4.232641,-0.476443,4.281008,6.631237,5.641672,2.111054,0.278698
0.020000,4.362104,-0.438576,4.415896,6.744398,5.658050,0.818932,0.290441
0.020000,4.493287,-0.398499,4.553064,6.858395,5.699842,2.089593,0.302594
0.020000,4.626148,-0.356107,4.692524,6.973004,5.730475,1.531665,0.315171
0.020000,4.760641,-0.311289,4.834288,7.088197,5.759642,1.458320,0.328184
0.020000,4.896720,-0.263933,4.978372,7.204182,5.799238,1.979789,0.341646
0.020000,5.034326,-0.213923,5.124784,7.320604,5.821101,1.093167,0.355570
0.020000,5.173402,-0.161138,5.273539,7.437773,5.858448,1.867333,0.369967
0.020000,5.313877,-0.105456,5.424648,7.555450,5.883844,1.269820,0.384850
0.020000,5.455680,-0.046749,5.578123,7.673746,5.914802,1.547900,0.400229
0.020000,5.598729,0.015110,5.733974,7.792560,5.940710,1.295405,0.416115
0.020000,5.742934,0.080252,5.892210,7.911791,5.961525,1.040773,0.432517
0.020000,5.888200,0.148810,6.052841,8.031547,5.987819,1.314665,0.449444
0.020000,6.034417,0.220917,6.215872,8.151520,5.998660,0.542066,0.466902
0.020000,6.181415,0.296676,6.381243,8.268554,5.851702,-7.347905,0.484890
0.020000,6.328953,0.376153,6.548826,8.379187,5.531661,-16.002028,0.503395
0.020000,6.476788,0.459405,6.718491,8.483222,5.201706,-16.497756,0.522402
0.020000,6.624669,0.546474,6.890100,8.580467,4.862254,-16.972593,0.541895
0.020000,6.772343,0.637391,7.063517,8.670858,4.519550,-17.135247,0.561850
0.020000,6.919553,0.732169,7.238599,8.754086,4.161433,-17.905825,0.582243
0.020000,7.066041,0.830809,7.415202,8.830146,3.802964,-17.923432,0.603045
0.020000,7.211547,0.933291,7.593175,8.898666,3.426040,-18.846210,0.624224
0.020000,7.355812,1.039578,7.772367,8.959568,3.045067,-19.048663,0.645743
0.020000,7.498581,1.149616,7.952620,9.012673,2.655253,-19.490693,0.667565
0.020000,7.639604,1.263328,8.133777,9.057824,2.257562,-19.884542,0.689646
0.020000,7.778635,1.380619,8.315675,9.094910,1.854289,-20.163647,0.711943
